Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;32,00;115,20;94,72;42,24;42,24;10,67;42,67;21,33;21,33;32,00;42,00;32,00;11,00;0,00;21,00;11,00;21,00;0,00;0,00;32,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00
2020-01-12;21,00;53,81;43,31;85,31;43,31;63,00;52,50;10,50;42,00;52,00;21,00;31,00;0,00;11,00;0,00;0,00;42,00;0,00;21,00;0,00;0,00;11,00;10,00;0,00;10,00;0,00;0,00;0,00
2020-01-19;44,00;22,00;54,35;54,35;44,00;10,56;33,44;33,44;10,56;0,00;11,00;22,00;11,00;11,00;22,00;11,00;11,00;22,00;22,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00
2020-01-26;21,00;61,76;123,53;82,76;92,65;119,00;85,75;21,00;43,75;21,00;11,00;43,00;32,00;11,00;11,00;11,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;32,00;21,76;42,24;85,76;21,76;55,11;21,33;76,44;65,78;21,00;21,00;11,00;32,00;0,00;0,00;0,00;0,00;11,00;22,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;21,00;21,00;50,65;30,88;19,76;10,50;75,25;54,25;42,00;32,00;42,00;11,00;21,00;0,00;11,00;21,00;21,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00
2020-02-16;74,00;42,84;74,00;42,84;20,77;42,29;21,14;21,14;52,86;0,00;21,00;11,00;11,00;0,00;0,00;0,00;32,00;0,00;21,00;11,00;21,00;11,00;11,00;10,00;10,00;0,00;0,00;0,00
2020-02-23;21,00;42,00;53,81;42,00;74,81;52,50;42,00;21,00;0,00;10,00;21,00;10,00;0,00;0,00;21,00;21,00;10,00;0,00;0,00;0,00;0,00;10,00;21,00;10,00;0,00;0,00;0,00;0,00
2020-03-01;42,00;127,31;85,31;64,31;74,81;42,00;94,50;0,00;0,00;0,00;21,00;10,00;10,00;10,00;0,00;0,00;10,00;21,00;31,00;21,00;32,00;21,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;41,00;123,00;92,25;92,25;71,75;170,83;41,00;30,75;51,25;0,00;0,00;61,00;31,00;10,00;0,00;21,00;31,00;21,00;10,00;21,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;41,00;71,75;20,50;51,25;10,25;70,04;20,50;10,25;30,75;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;16,00;8,00;0,00;8,00;6,00;6,00;6,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;8,00;15,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;31,00;10,33;10,33;0,00;0,00;31,00;20,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;10,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;7,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;8,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;10,00;0,00;20,00;10,00;20,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;10,00;0,00;18,75;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;28,00;8,91;8,91;8,91;8,91;0,00;8,75;8,75;0,00;28,00;19,00;0,00;19,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;18,00;0,00;9,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;46,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00
2020-06-14;9,00;0,00;9,00;9,00;56,57;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;10,00;0,00;0,00;10,00;10,00;0,00;0,00;18,33;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;69,00;10,42;19,53;19,53;40,36;10,62;0,00;10,62;10,62;20,00;20,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;62,00;0,00;51,67;31,00;10,33;0,00;21,26;0,00;0,00;21,00;0,00;10,00;0,00;0,00;21,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;100,00;21,79;11,54;21,79;11,54;10,53;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;33,00;11,00;0,00;0,00;0,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2020-07-19;47,00;0,00;11,75;0,00;35,25;34,81;22,63;12,19;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2020-07-26;34,00;11,77;34,00;22,23;22,23;23,26;0,00;0,00;10,74;34,00;11,00;11,00;11,00;0,00;0,00;0,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-02;0,00;25,00;33,00;0,00;17,00;0,00;0,00;12,00;0,00;21,00;11,00;11,00;0,00;0,00;0,00;22,00;0,00;11,00;0,00;0,00;0,00;0,00;21,00;21,00;0,00;0,00;0,00;0,00
2020-08-09;41,00;10,58;0,00;21,16;10,58;0,00;10,70;0,00;0,00;20,00;10,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-16;21,00;10,50;10,50;21,00;31,50;0,00;10,50;0,00;0,00;21,00;31,00;10,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;21,00;10,00;0,00;0,00;0,00;0,00
2020-08-23;51,00;0,00;10,20;0,00;20,40;31,66;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;52,00;10,40;20,80;20,80;20,80;20,80;10,40;0,00;0,00;21,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;21,00;0,00;0,00;9,88;9,88;0,00;21,00;0,00;0,00;21,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;10,00;0,00;20,00;10,00;0,00;30,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;21,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;0,00;16,00;0,00;16,00;16,00;6,00;6,00;6,00;6,00;0,00;0,00;0,00;10,00;0,00;21,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;21,00;10,50;0,00;0,00;63,00;31,50;21,00;10,50;0,00;10,00;31,00;0,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
