Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-01-05;40,00;280,00;80,00;34,29;17,14;11,89;22,70;5,41;29,19;17,00;11,00;17,00;11,00
2020-01-12;45,00;219,38;84,38;45,00;39,38;22,50;17,14;34,29;27,86;17,00;0,00;0,00;6,00
2020-01-19;6,00;378,00;126,00;42,00;24,00;64,80;32,40;26,40;19,20;12,00;12,00;6,00;12,00
2020-01-26;11,00;291,50;132,00;11,00;66,00;48,00;38,00;11,00;5,00;0,00;6,00;0,00;0,00
2020-02-02;34,00;334,33;73,67;34,00;11,33;45,69;17,00;11,69;23,38;11,00;6,00;11,00;6,00
2020-02-09;28,00;257,60;100,80;22,40;22,40;38,37;39,41;5,19;0,00;11,00;11,00;11,00;23,00
2020-02-16;56,00;336,00;106,40;33,60;39,20;44,38;22,19;16,91;39,09;11,00;6,00;0,00;6,00
2020-02-23;39,00;245,14;89,14;33,43;16,71;16,86;22,14;16,86;11,59;17,00;0,00;17,00;0,00
2020-03-01;17,00;232,33;107,67;17,00;45,33;39,31;22,31;11,69;17,00;17,00;0,00;6,00;6,00
2020-03-08;27,00;253,80;43,20;16,20;21,60;21,81;27,00;0,00;21,81;5,00;5,00;5,00;0,00
2020-03-15;17,00;164,33;22,67;28,33;5,67;5,31;17,00;10,63;17,00;11,00;22,00;0,00;0,00
2020-03-22;11,00;104,50;22,00;11,00;0,00;22,00;5,50;11,00;0,00;11,00;5,00;0,00;5,00
2020-03-29;26,00;78,00;10,40;10,40;10,40;0,00;10,40;0,00;5,20;0,00;5,00;0,00;5,00
2020-04-05;11,00;71,50;11,00;16,50;5,50;5,50;5,50;17,60;5,50;6,00;0,00;0,00;0,00
2020-04-12;21,00;99,75;10,50;5,25;15,75;15,75;0,00;5,25;0,00;5,00;0,00;0,00;0,00
2020-04-19;21,00;57,75;15,75;10,50;0,00;11,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;11,00;1,00;3,00;1,00;14,00;5,00;5,00;9,00;10,00;0,00;0,00;10,00
2020-05-03;10,00;65,00;5,00;10,00;10,00;5,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00
2020-05-10;21,00;73,50;10,50;15,75;15,75;15,47;16,58;0,00;16,58;0,00;5,00;0,00;0,00
2020-05-17;11,00;77,00;16,50;16,50;11,00;27,50;11,00;16,50;5,50;11,00;5,00;0,00;0,00
2020-05-24;36,00;90,00;60,00;18,00;12,00;21,18;10,59;15,88;15,88;5,00;5,00;5,00;0,00
2020-05-31;40,00;102,86;51,43;11,43;22,86;29,47;9,47;5,26;9,47;5,00;5,00;20,00;10,00
2020-06-07;10,00;140,00;60,00;10,00;10,00;40,00;25,56;10,00;10,00;15,00;5,00;10,00;0,00
2020-06-14;50,00;155,56;72,22;50,00;61,11;34,38;19,79;5,21;30,21;25,00;10,00;10,00;20,00
2020-06-21;32,00;181,33;42,67;16,00;10,67;53,33;26,67;10,67;16,00;0,00;21,00;21,00;0,00
2020-06-28;79,00;225,71;84,64;33,86;22,57;62,99;42,70;21,35;10,68;26,00;0,00;21,00;10,00
2020-07-05;66,00;275,00;104,50;38,50;16,50;81,97;60,68;33,00;5,32;11,00;5,00;5,00;16,00
2020-07-12;89,00;261,44;94,56;16,69;61,19;105,95;47,68;6,36;11,65;12,00;83,00;24,00;6,00
2020-07-19;100,00;235,29;100,00;29,41;52,94;80,85;50,00;12,77;12,77;50,00;37,00;0,00;0,00
2020-07-26;60,00;180,00;84,00;42,00;30,00;60,00;18,21;6,43;11,79;6,00;18,00;24,00;0,00
2020-08-02;23,00;201,25;80,50;28,75;28,75;50,18;39,73;11,50;5,23;11,00;17,00;29,00;17,00
2020-08-09;43,00;231,13;75,25;26,88;21,50;53,49;10,49;10,49;5,24;16,00;5,00;11,00;22,00
2020-08-16;61,00;171,91;127,55;22,18;33,27;82,40;33,18;0,00;5,35;11,00;6,00;17,00;11,00
2020-08-23;33,00;181,50;77,00;33,00;27,50;43,65;38,32;5,32;10,65;11,00;11,00;5,00;5,00
2020-08-30;22,00;170,50;71,50;55,00;27,50;32,48;16,76;0,00;0,00;6,00;0,00;0,00;5,00
2020-09-06;23,00;97,75;63,25;17,25;28,75;0,00;23,00;16,73;16,73;6,00;6,00;0,00;6,00
2020-09-13;22,00;159,50;49,50;11,00;0,00;32,48;16,76;5,24;0,00;6,00;0,00;6,00;6,00
2020-09-20;17,00;181,33;39,67;17,00;28,33;10,63;39,31;0,00;5,31;6,00;11,00;0,00;0,00
2020-09-27;33,00;126,50;49,50;22,00;11,00;17,03;5,32;5,32;5,32;11,00;6,00;6,00;11,00
2020-10-04;40,00;182,86;62,86;11,43;5,71;16,84;5,26;0,00;11,58;6,00;0,00;0,00;6,00
2020-10-11;6,00;96,00;54,00;6,00;18,00;17,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00
2020-10-18;0,00;21,00;8,00;1,00;10,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;34,00;102,00;17,00;0,00;11,33;17,00;11,69;5,31;11,69;0,00;6,00;6,00;0,00
2020-11-01;5,00;65,00;10,00;5,00;15,00;35,00;10,00;5,00;10,00;16,00;5,00;0,00;0,00
2020-11-08;17,00;73,67;5,67;11,33;17,00;5,31;0,00;5,31;17,00;0,00;0,00;0,00;0,00
2020-11-15;11,00;93,50;16,50;0,00;11,00;5,50;5,50;0,00;0,00;6,00;0,00;0,00;0,00
2020-11-22;0,00;22,00;3,00;0,00;1,00;0,00;16,00;0,00;0,00;11,00;6,00;0,00;0,00
2020-11-29;11,00;121,00;27,50;0,00;11,00;0,00;5,50;5,50;0,00;0,00;6,00;11,00;0,00
2020-12-06;11,00;88,00;33,00;5,50;16,50;16,00;11,00;5,00;0,00;6,00;0,00;0,00;0,00
2020-12-13;0,00;21,00;7,00;1,00;2,00;16,00;16,00;5,00;0,00;0,00;0,00;6,00;0,00
2020-12-20;18,00;192,00;18,00;0,00;18,00;6,35;0,00;11,65;0,00;0,00;0,00;6,00;12,00
2020-12-27;6,00;150,00;84,00;12,00;0,00;28,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00
2021-01-03;22,00;88,00;11,00;11,00;27,50;10,48;5,24;5,24;5,24;0,00;0,00;6,00;6,00
2021-01-10;6,00;174,00;12,00;0,00;6,00;19,20;0,00;6,00;0,00;11,00;0,00;0,00;0,00
2021-01-17;22,00;66,00;38,50;0,00;0,00;5,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-24;6,00;90,00;36,00;6,00;6,00;12,00;0,00;13,20;0,00;6,00;0,00;0,00;6,00
2021-01-31;11,00;77,00;16,50;0,00;16,50;5,00;5,00;0,00;0,00;6,00;0,00;0,00;0,00
2021-02-07;6,00;90,00;30,00;12,00;0,00;13,20;6,00;6,00;6,00;0,00;11,00;0,00;0,00
2021-02-14;29,00;63,80;40,60;0,00;17,40;11,81;11,81;5,37;0,00;6,00;0,00;0,00;0,00
2021-02-21;17,00;73,67;51,00;5,67;0,00;11,69;0,00;5,31;0,00;0,00;6,00;12,00;0,00
2021-02-28;23,00;109,25;28,75;17,25;5,75;23,00;0,00;5,23;0,00;0,00;6,00;6,00;0,00
2021-03-07;28,00;134,40;16,80;28,00;5,60;22,62;17,23;5,38;11,85;6,00;0,00;0,00;6,00
2021-03-14;5,00;80,00;45,00;15,00;15,00;10,00;10,00;5,00;5,00;5,00;5,00;5,00;0,00
2021-03-21;6,00;84,00;24,00;12,00;18,00;6,00;26,40;6,00;0,00;6,00;0,00;0,00;11,00
2021-03-28;6,00;66,00;6,00;0,00;18,00;23,00;12,00;0,00;0,00;12,00;0,00;6,00;0,00
2021-04-04;17,00;102,00;17,00;0,00;11,33;17,00;28,69;0,00;0,00;6,00;0,00;6,00;0,00
2021-04-11;17,00;79,33;56,67;22,67;11,33;22,31;17,00;0,00;0,00;11,00;0,00;6,00;0,00
2021-04-18;12,00;90,00;30,00;0,00;6,00;12,00;12,00;0,00;18,55;12,00;12,00;0,00;0,00
2021-04-25;6,00;114,00;12,00;6,00;30,00;19,20;13,20;6,00;0,00;6,00;0,00;0,00;6,00
2021-05-02;22,00;104,50;60,50;5,50;16,50;48,19;16,76;5,24;5,24;0,00;0,00;11,00;0,00
