Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;32,00;62,90;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;31,00;31,00;31,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;120,13;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;62,00
2020-01-19;63,00;31,50;0,00;0,00;0,00;94,50;0,00;0,00;31,50;0,00;63,00;32,52;0,00;0,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;31,00;62,00;0,00;0,00;0,00;31,00;0,00;0,00;31,00;0,00;0,00
2020-02-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00
2020-02-09;32,00;32,00;0,00;32,00;0,00;32,00;0,00;0,00;0,00;0,00;126,00;94,00;0,00;0,00;0,00;0,00;0,00;0,00;33,03;0,00;33,03
2020-02-16;0,00;28,00;28,00;28,00;0,00;0,00;0,00;0,00;19,00;0,00;31,00;31,00;0,00;0,00;0,00;32,00;0,00;32,00;0,00;0,00;0,00
2020-02-23;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;15,00;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00
2020-03-01;0,00;0,00;27,00;0,00;0,00;55,00;0,00;0,00;0,00;0,00;15,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;43,00;0,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;29,00;0,00;29,00;0,00;0,00;0,00;58,00;0,00
2020-04-05;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;29,00;0,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;0,00;29,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;30,00;61,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;30,00;0,00;0,00;0,00
2020-05-17;32,00;0,00;32,00;0,00;32,00;32,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;33,03;0,00
2020-05-24;31,00;31,00;0,00;0,00;0,00;32,72;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;94,03;0,00;0,00;0,00
2020-05-31;0,00;0,00;27,00;27,00;0,00;18,00;0,00;0,00;0,00;15,00;30,00;44,00;15,00;0,00;0,00;30,00;0,00;0,00;30,00;0,00;30,00
2020-06-07;0,00;0,00;0,00;26,00;26,00;18,00;0,00;0,00;18,00;0,00;29,00;58,00;14,00;0,00;0,00;29,00;0,00;0,00;0,00;0,00;58,00
2020-06-14;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;18,00;15,00;29,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;32,00;0,00;0,00;62,90;0,00;97,68;32,00;0,00;65,68;0,00;64,00;158,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;0,00;28,00;0,00;0,00;28,00;19,00;0,00;0,00;19,00;0,00;46,00;46,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;61,00
2020-07-05;98,00;98,00;32,67;32,67;0,00;33,22;0,00;33,22;0,00;0,00;132,71;165,38;0,00;0,00;0,00;65,00;65,00;0,00;0,00;0,00;32,33
2020-07-12;33,00;33,00;66,00;0,00;33,00;66,00;0,00;0,00;0,00;0,00;0,00;128,12;33,00;0,00;0,00;0,00;0,00;66,00;33,00;0,00;0,00
2020-07-19;0,00;0,00;0,00;60,00;0,00;0,00;0,00;0,00;20,00;17,00;100,00;33,00;0,00;0,00;0,00;34,00;34,00;0,00;0,00;33,00;0,00
2020-07-26;0,00;0,00;0,00;31,00;0,00;0,00;0,00;21,00;0,00;0,00;68,00;0,00;17,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;34,00
2020-08-02;0,00;0,00;0,00;59,00;0,00;100,00;0,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;66,00;0,00;33,00;0,00;0,00;33,00
2020-08-09;96,00;32,37;32,37;63,63;0,00;0,00;0,00;0,00;31,45;0,00;65,36;65,36;0,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00
2020-08-16;0,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;62,00;62,00;0,00;0,00;0,00;63,00;0,00;31,00;0,00;0,00;31,00
2020-08-23;0,00;0,00;0,00;0,00;28,00;19,00;0,00;0,00;0,00;0,00;62,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00
2020-08-30;63,00;94,50;31,50;31,50;31,50;0,00;0,00;31,50;0,00;0,00;63,00;0,00;0,00;0,00;0,00;31,00;31,00;0,00;0,00;0,00;31,50
2020-09-06;31,00;31,00;31,00;60,89;0,00;0,00;0,00;31,00;0,00;31,00;0,00;95,07;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,00;15,00;0,00;0,00;0,00;31,00;31,00;0,00;0,00;0,00;0,00
2020-09-20;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;0,00;0,00;57,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00
2020-10-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
