Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;31,00;5,00;5,00;0,00;5,00;10,00;0,00;5,00;5,00;36,00;26,00;10,00;10,00;0,00;5,00;0,00;5,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;81,00;10,00;5,00;5,00;15,00;0,00;0,00;20,00;0,00;20,00;10,00;5,00;10,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;30,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;45,00;0,00;10,00;5,00;5,00;5,00;5,00;15,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;35,00;15,00;5,00;10,00;5,00;0,00;0,00;20,00;0,00;10,00;10,00;10,00;10,00;0,00;5,00;0,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;92,00;0,00;0,00;5,00;5,00;0,00;5,00;5,00;0,00;5,00;5,00;20,00;10,00;0,00;0,00;0,00;15,00;5,00;5,00;5,00;15,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;82,00;5,00;10,00;0,00;0,00;0,00;0,00;26,00;0,00;20,00;0,00;5,00;20,00;0,00;15,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;71,00;0,00;5,00;0,00;5,00;5,00;5,00;5,00;0,00;25,00;10,00;10,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;0,00;15,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;29,00;0,00;0,00;0,00;5,00;10,00;0,00;10,00;0,00;10,00;0,00;10,00;19,00;0,00;10,00;0,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00
2020-03-01;39,00;0,00;10,00;0,00;5,00;10,00;0,00;10,00;0,00;15,00;20,00;5,00;15,00;0,00;5,00;0,00;5,00;0,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;56,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;9,00;28,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
