Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;56,00;70,00;0,00;0,00;14,00;56,00;14,00;0,00;14,00;28,00;28,00;28,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;68,00;14,00;55,00;14,00;0,00;0,00;14,00;0,00;41,00;14,00;27,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;43,00;14,00;14,00;0,00;0,00;14,00;28,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;28,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00
2020-01-26;28,00;14,00;28,00;14,00;0,00;14,00;0,00;0,00;14,00;0,00;14,00;14,00;0,00;0,00;14,00;0,00;28,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;56,00;56,00;14,00;56,00;0,00;28,00;0,00;42,00;0,00;0,00;0,00;14,00;28,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;0,00;27,00;41,00;0,00;0,00;14,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;14,00;14,00;86,00;0,00;14,00;29,00;14,00;14,00;14,00;0,00;0,00;29,00;0,00;14,00;0,00;0,00;0,00;0,00;29,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;27,00;55,00;0,00;0,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;0,00;82,00;55,00;27,00;27,00;0,00;14,00;0,00;27,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;41,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;64,00;26,00;52,00;39,00;39,00;13,00;13,00;0,00;13,00;0,00;13,00;26,00;0,00;26,00;13,00;0,00;26,00;0,00;26,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;38,00;13,00;13,00;13,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;25,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;13,00;13,00;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;13,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;13,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;13,00;0,00;13,00;0,00;0,00;13,00;13,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;13,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;39,00;13,00;0,00;0,00;0,00;0,00;13,00;26,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
