Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;22,00;44,00;37,89;37,89;0,00;22,00;11,00;5,00;11,00
2020-01-12;27,00;31,91;54,00;90,82;0,00;0,00;5,00;11,00;11,00
2020-01-19;28,00;32,87;32,87;121,74;6,09;0,00;6,00;6,00;0,00
2020-01-26;17,00;32,79;32,79;66,79;0,00;6,00;28,00;0,00;0,00
2020-02-02;11,00;26,89;15,89;44,00;0,00;0,00;33,00;0,00;5,00
2020-02-09;16,00;27,08;32,00;32,00;0,00;11,00;0,00;5,00;5,00
2020-02-16;50,00;28,05;39,02;45,12;0,00;0,00;17,00;6,00;6,00
2020-02-23;21,00;30,33;4,67;40,83;0,00;0,00;11,00;0,00;0,00
2020-03-01;21,00;36,17;10,50;56,00;0,00;0,00;16,00;0,00;5,00
2020-03-08;10,00;36,25;5,00;67,50;5,00;0,00;10,00;10,00;5,00
2020-03-15;20,00;46,25;10,00;51,25;5,00;10,00;10,00;5,00;5,00
2020-03-22;10,00;15,00;5,00;35,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;10,00;15,00;5,00;61,25;5,00;0,00;15,00;10,00;15,00
2020-04-05;11,00;15,89;4,89;22,00;0,00;5,00;0,00;0,00;0,00
2020-04-12;21,00;16,06;4,94;37,06;0,00;0,00;26,00;5,00;5,00
2020-04-19;25,00;29,76;9,52;34,52;9,52;5,00;10,00;15,00;0,00
2020-04-26;15,00;15,00;20,00;30,00;5,00;0,00;5,00;5,00;10,00
2020-05-03;5,00;15,00;5,00;36,25;0,00;0,00;5,00;5,00;10,00
2020-05-10;10,00;31,25;20,00;56,25;10,00;0,00;5,00;0,00;10,00
2020-05-17;10,00;43,33;10,00;47,78;0,00;0,00;16,00;5,00;0,00
2020-05-24;21,00;16,06;9,88;16,06;4,94;5,00;15,00;10,00;5,00
2020-05-31;10,00;21,25;0,00;10,00;0,00;5,00;5,00;15,00;10,00
2020-06-07;25,00;25,00;4,76;20,24;0,00;5,00;5,00;5,00;5,00
2020-06-14;100,00;9,76;4,88;35,37;0,00;5,00;20,00;5,00;0,00
2020-06-21;21,00;10,50;4,67;40,83;0,00;0,00;0,00;0,00;5,00
2020-06-28;10,00;5,00;10,00;26,25;0,00;0,00;5,00;5,00;0,00
2020-07-05;11,00;15,89;20,78;42,78;0,00;0,00;11,00;11,00;0,00
2020-07-12;17,00;34,00;6,07;72,86;0,00;0,00;11,00;6,00;6,00
2020-07-19;17,00;10,93;0,00;23,07;0,00;0,00;6,00;0,00;6,00
2020-07-26;6,00;10,80;16,80;16,80;6,00;0,00;11,00;0,00;6,00
2020-08-02;6,00;22,80;16,80;33,60;6,00;11,00;0,00;0,00;0,00
2020-08-09;33,00;22,00;0,00;50,11;0,00;0,00;5,00;0,00;0,00
2020-08-16;11,00;6,11;6,11;39,11;11,00;0,00;11,00;0,00;6,00
2020-08-23;17,00;21,86;6,07;55,86;6,07;0,00;6,00;0,00;6,00
2020-08-30;22,00;17,11;11,00;33,00;0,00;6,00;6,00;6,00;6,00
2020-09-06;50,00;21,95;17,07;60,98;0,00;0,00;0,00;6,00;0,00
2020-09-13;11,00;6,11;6,11;50,11;6,11;0,00;0,00;6,00;11,00
2020-09-20;11,00;0,00;0,00;44,00;0,00;5,00;5,00;5,00;0,00
2020-09-27;27,00;31,70;10,57;37,57;0,00;0,00;5,00;0,00;0,00
2020-10-04;17,00;10,93;17,00;38,86;0,00;0,00;6,00;0,00;6,00
2020-10-11;11,00;6,11;0,00;40,33;0,00;0,00;6,00;0,00;11,00
2020-10-18;11,00;6,11;6,11;0,00;0,00;11,00;6,00;6,00;6,00
2020-10-25;11,00;11,00;6,11;44,00;0,00;0,00;22,00;0,00;0,00
2020-11-01;5,00;20,00;10,00;20,00;5,00;0,00;0,00;0,00;10,00
2020-11-08;49,00;26,95;11,03;15,93;0,00;0,00;11,00;11,00;0,00
2020-11-15;22,00;17,11;6,11;39,11;0,00;0,00;5,00;0,00;5,00
2020-11-22;11,00;22,00;17,11;11,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;16,00;4,92;11,08;4,92;0,00;0,00;5,00;5,00;5,00
2020-12-06;5,00;21,25;0,00;32,50;5,00;0,00;11,00;16,00;0,00
2020-12-13;21,00;21,00;21,00;46,67;0,00;0,00;5,00;32,00;0,00
2020-12-20;19,00;0,00;0,00;39,27;0,00;0,00;6,00;0,00;12,00
2020-12-27;35,00;18,10;12,07;53,10;0,00;0,00;6,00;18,00;0,00
2021-01-03;11,00;4,89;26,89;31,78;4,89;11,00;11,00;21,00;11,00
2021-01-10;10,00;18,89;18,89;14,44;0,00;5,00;5,00;0,00;0,00
2021-01-17;31,00;26,04;16,12;52,08;0,00;5,00;5,00;0,00;0,00
2021-01-24;30,00;39,60;15,60;60,00;0,00;0,00;5,00;5,00;0,00
2021-01-31;15,00;4,62;24,23;43,85;0,00;5,00;10,00;5,00;5,00
2021-02-07;16,00;4,92;11,08;80,00;0,00;0,00;11,00;5,00;11,00
2021-02-14;38,00;15,94;4,90;26,97;4,90;0,00;0,00;5,00;5,00
2021-02-21;11,00;11,00;11,00;26,89;4,89;0,00;0,00;5,00;0,00
2021-02-28;16,00;11,08;11,08;43,08;0,00;5,00;0,00;11,00;5,00
2021-03-07;5,00;10,00;10,00;37,50;0,00;0,00;0,00;5,00;5,00
2021-03-14;34,00;14,57;0,00;29,14;0,00;0,00;0,00;0,00;5,00
2021-03-21;5,00;21,25;5,00;27,50;0,00;0,00;5,00;0,00;0,00
2021-03-28;12,00;6,00;12,00;22,80;6,00;6,00;12,00;12,00;6,00
2021-04-04;27,00;0,00;4,91;33,14;0,00;0,00;0,00;0,00;0,00
2021-04-11;31,00;10,73;25,04;15,50;0,00;5,00;16,00;5,00;5,00
2021-04-18;32,00;4,92;4,92;27,08;0,00;5,00;0,00;0,00;0,00
2021-04-25;10,00;14,44;4,44;14,44;4,44;0,00;0,00;10,00;0,00
2021-05-02;5,00;5,00;0,00;36,25;0,00;0,00;5,00;5,00;5,00
2021-05-09;5,00;16,25;16,25;53,75;0,00;0,00;5,00;5,00;0,00
2021-05-16;25,00;25,00;25,00;25,00;4,76;10,00;5,00;0,00;0,00
2021-05-23;5,00;11,25;22,50;32,50;27,50;11,00;0,00;0,00;0,00
2021-05-30;11,00;0,00;17,11;45,22;11,00;0,00;6,00;11,00;6,00
2021-06-06;27,00;22,09;11,05;44,18;4,91;5,00;16,00;5,00;0,00
2021-06-13;5,00;5,00;9,00;27,00;0,00;5,00;22,00;5,00;0,00
2021-06-20;11,00;28,11;28,11;72,11;6,11;5,00;28,00;11,00;0,00
2021-06-27;28,00;0,00;10,96;32,87;6,09;5,00;0,00;0,00;0,00
2021-07-04;51,00;6,07;23,07;23,07;0,00;0,00;23,00;6,00;0,00
2021-07-11;40,00;10,91;16,97;23,03;6,06;6,00;6,00;0,00;0,00
2021-07-18;0,00;20,00;0,00;20,00;5,00;0,00;6,00;0,00;0,00
2021-07-25;12,00;6,00;6,00;18,00;0,00;0,00;6,00;6,00;6,00
2021-08-01;18,00;34,80;18,00;46,80;0,00;0,00;6,00;0,00;0,00
2021-08-08;31,00;31,00;12,40;44,64;6,20;0,00;6,00;6,00;6,00
2021-08-15;36,00;24,00;6,00;42,00;0,00;0,00;0,00;6,00;6,00
2021-08-22;19,00;0,00;39,27;70,93;0,00;0,00;0,00;6,00;0,00
2021-08-29;6,00;25,20;12,00;49,20;0,00;0,00;0,00;0,00;6,00
2021-09-05;0,00;10,00;10,00;47,00;0,00;0,00;6,00;0,00;6,00
2021-09-12;6,00;6,00;12,00;49,20;0,00;6,00;0,00;0,00;0,00
2021-09-19;6,00;12,00;12,00;75,60;0,00;13,00;0,00;0,00;0,00
2021-09-26;0,00;25,00;15,00;55,00;5,00;0,00;0,00;0,00;0,00
2021-10-03;18,00;9,60;13,20;63,60;0,00;5,00;9,00;5,00;9,00
2021-10-10;4,00;28,00;18,67;65,33;0,00;0,00;8,00;8,00;4,00
2021-10-17;21,00;24,71;29,65;101,29;0,00;0,00;0,00;4,00;0,00
2021-10-24;25,00;30,00;12,50;38,75;3,75;4,00;12,00;12,00;0,00
2021-10-31;41,00;45,97;33,55;41,00;3,73;0,00;4,00;20,00;0,00
2021-11-07;4,00;22,67;26,67;53,33;0,00;0,00;0,00;4,00;8,00
2021-11-14;32,00;24,62;12,31;56,62;0,00;0,00;4,00;0,00;0,00
2021-11-21;43,00;66,34;23,34;46,69;0,00;0,00;0,00;4,00;4,00
2021-11-28;12,00;34,80;15,60;50,40;7,20;0,00;4,00;8,00;0,00
2021-12-05;20,00;16,25;16,25;78,75;0,00;0,00;0,00;4,00;4,00
2021-12-12;30,00;8,40;16,80;38,40;4,80;4,00;13,00;9,00;17,00
2021-12-19;27,00;15,95;38,05;92,05;4,91;5,00;5,00;16,00;0,00
2021-12-26;37,00;21,48;15,52;78,77;0,00;5,00;5,00;11,00;11,00
2022-01-02;9,00;30,38;25,88;56,25;0,00;5,00;0,00;14,00;5,00
2022-01-09;10,00;21,25;37,50;80,00;0,00;10,00;0,00;10,00;0,00
