Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;24,00;49,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,57;24,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;25,00;31,00;0,00;0,00;0,00;98,00;0,00;0,00;0,00;22,00;0,00
2020-01-19;22,00;44,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88,00;44,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;22,00
2020-01-26;23,00;90,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;145,67;72,83;0,00;0,00;0,00;90,65;0,00;0,00;0,00;0,00;0,00
2020-02-02;46,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;92,00;21,23;0,00;0,00;0,00;90,65;0,00;0,00;0,00;0,00;0,00
2020-02-09;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;95,83;72,83;0,00;0,00;0,00;135,29;0,00;0,00;0,00;23,00;23,00
2020-02-16;46,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;113,23;67,23;0,00;0,00;0,00;67,65;0,00;0,00;0,00;0,00;0,00
2020-02-23;22,00;45,69;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;69,67;0,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;36,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;22,00;22,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;44,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;40,00;60,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,82;40,00;0,00;0,00;0,00;60,69;0,00;0,00;0,00;0,00;0,00
2020-03-29;60,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,18;21,18;38,82;0,00;0,00;0,00;39,55;0,00;0,00;0,00;0,00;0,00
2020-04-05;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;40,69;0,00;0,00;0,00;0,00;0,00
2020-04-12;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;56,67;0,00;0,00;0,00;58,67;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00
2020-04-26;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;61,43;0,00;0,00;0,00;0,00;0,00
2020-05-10;20,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;41,43;0,00;0,00;0,00;0,00;20,00
2020-05-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;0,00;24,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;29,00;15,00;0,00;0,00;0,00;0,00
2020-06-07;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41,00;41,00;0,00;0,00;0,00;61,50;0,00;0,00;0,00;0,00;0,00
2020-06-14;22,00;66,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;44,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;22,00
2020-06-21;23,00;69,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;23,00;72,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00
2020-06-28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;6,00;13,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;25,00;50,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;25,00;50,00;0,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;25,00;25,00;0,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00
2020-07-26;25,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;75,00;0,00;0,00;0,00;25,00;25,00;0,00;0,00;0,00;25,00
2020-08-02;50,00;75,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75,00;0,00;0,00;0,00;24,32;0,00;0,00;0,00;0,00;25,00
2020-08-09;0,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;18,00;0,00;25,00;0,00;0,00;25,00
2020-08-16;100,00;75,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00;100,00;0,00;0,00;0,00;75,34;0,00;0,00;0,00;0,00;0,00
2020-08-23;49,00;49,00;25,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70,00;24,50;0,00;0,00;0,00;24,50;0,00;0,00;0,00;24,00;24,00
2020-08-30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,85;0,00;0,00;0,00;0,00;23,31;0,00;0,00;0,00;0,00;24,00
2020-09-13;46,00;23,00;23,00;0,00;23,00;0,00;0,00;0,00;23,00;0,00;0,00;46,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;23,00;46,00
2020-09-20;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;23,00;0,00;0,00;0,00;44,65;0,00;0,00;0,00;0,00;23,00
2020-09-27;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;23,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;24,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00
2020-11-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;24,00;24,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;68,57;44,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00
2020-11-22;23,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;23,00;0,00;23,00;23,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00
2020-11-29;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;44,57;0,00;0,00;0,00;24,00;24,00;0,00;0,00;0,00;0,00
2020-12-06;24,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;44,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-12-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;24,00
2020-12-20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;26,00
2020-12-27;25,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;23,68;0,00;0,00;0,00;0,00;0,00
2021-01-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;13,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2021-01-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;18,00;0,00;24,00;0,00;0,00;0,00
