Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;27,00;27,00;18,00;43,88;0,00;9,00;0,00;9,00;9,00
2020-01-12;25,00;7,95;17,05;32,95;0,00;0,00;0,00;0,00;17,00
2020-01-19;25,00;0,00;32,95;7,95;0,00;8,00;0,00;17,00;0,00
2020-01-26;17,00;0,00;9,07;17,00;0,00;0,00;9,00;0,00;0,00
2020-02-02;35,00;9,33;17,50;44,33;9,33;9,00;0,00;17,00;9,00
2020-02-09;17,00;0,00;9,07;17,00;0,00;0,00;0,00;0,00;9,00
2020-02-16;35,00;9,33;17,50;17,50;9,33;0,00;17,00;0,00;9,00
2020-02-23;17,00;17,00;0,00;7,93;0,00;0,00;8,00;0,00;8,00
2020-03-01;16,00;0,00;16,00;8,00;16,00;0,00;0,00;33,00;8,00
2020-03-08;8,00;0,00;16,00;49,14;0,00;0,00;17,00;25,00;8,00
2020-03-15;8,00;16,00;0,00;40,00;0,00;0,00;16,00;0,00;0,00
2020-03-22;15,00;15,00;8,08;23,08;8,08;0,00;8,00;0,00;0,00
2020-03-29;38,00;8,06;23,03;44,91;0,00;8,00;8,00;0,00;15,00
2020-04-05;16,00;16,00;0,00;56,00;0,00;8,00;8,00;8,00;8,00
2020-04-12;77,00;0,00;8,04;31,03;0,00;0,00;8,00;15,00;0,00
2020-04-19;30,00;0,00;0,00;15,00;8,08;0,00;0,00;0,00;0,00
2020-04-26;31,00;0,00;0,00;14,93;8,04;0,00;0,00;15,00;0,00
2020-05-03;30,00;6,92;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;37,00;15,03;15,03;15,03;6,94;0,00;0,00;22,00;0,00
2020-05-17;48,00;0,00;8,00;8,00;0,00;0,00;24,00;8,00;8,00
2020-05-24;64,00;16,00;8,00;0,00;0,00;0,00;0,00;0,00;24,00
2020-05-31;38,00;8,06;8,06;8,06;8,06;0,00;0,00;8,00;0,00
2020-06-07;23,00;23,00;0,00;23,00;14,95;0,00;8,00;0,00;8,00
2020-06-14;66,00;7,97;7,97;33,00;7,97;0,00;8,00;8,00;0,00
2020-06-21;26,00;0,00;9,04;9,04;0,00;9,00;0,00;9,00;0,00
2020-06-28;43,00;0,00;0,00;17,43;8,14;0,00;0,00;17,00;0,00
2020-07-05;44,00;0,00;9,03;9,03;9,03;0,00;9,00;0,00;0,00
2020-07-12;28,00;0,00;18,67;0,00;9,33;0,00;0,00;0,00;0,00
2020-07-19;19,00;0,00;0,00;19,00;0,00;0,00;9,00;9,00;9,00
2020-07-26;28,00;8,96;0,00;36,96;0,00;0,00;0,00;0,00;0,00
2020-08-02;38,00;0,00;19,58;9,21;0,00;0,00;10,00;10,00;0,00
2020-08-09;0,00;8,00;8,00;24,00;0,00;0,00;0,00;0,00;9,00
2020-08-16;66,00;0,00;18,21;28,45;0,00;9,00;0,00;0,00;0,00
2020-08-23;9,00;9,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00
2020-08-30;28,00;9,33;9,33;28,00;9,33;0,00;0,00;0,00;9,00
2020-09-06;18,00;9,00;34,88;18,00;9,00;0,00;0,00;9,00;9,00
2020-09-13;9,00;9,00;9,00;9,00;0,00;0,00;9,00;9,00;9,00
2020-09-20;9,00;0,00;9,00;47,57;0,00;0,00;17,00;0,00;9,00
2020-09-27;9,00;25,88;9,00;34,88;0,00;0,00;9,00;0,00;18,00
2020-10-04;27,00;18,00;9,00;27,00;0,00;0,00;0,00;0,00;18,00
