Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-01-05;60,00;17,00;9,00;32,00;9,00;24,00;11,00;23,00;2,00;5,00;3,00;4,00;4,00;3,00;0,50;1,00;2,00;2,00;1,00;0,50;1,00
2020-01-12;62,00;16,00;9,00;29,00;7,00;25,00;6,00;28,00;1,00;4,00;3,00;5,00;5,00;3,00;1,00;2,00;4,00;2,00;0,50;0,50;1,00
2020-01-19;67,00;20,00;10,00;33,00;9,00;23,00;8,00;29,00;1,00;6,00;4,00;6,00;3,00;4,00;1,00;2,00;2,00;2,00;0,50;0,00;1,00
2020-01-26;53,00;18,00;9,00;29,00;8,00;24,00;11,00;29,00;2,00;4,00;2,00;4,00;4,00;5,00;1,00;1,00;2,00;2,00;0,50;0,00;0,50
2020-02-02;60,00;24,00;10,00;35,00;10,00;27,00;8,00;22,00;2,00;3,00;4,00;5,00;3,00;4,00;1,00;1,00;3,00;1,00;1,00;2,00;2,00
2020-02-09;70,00;24,00;15,00;33,00;10,00;28,00;10,00;28,00;3,00;7,00;5,00;5,00;3,00;4,00;2,00;2,00;3,00;2,00;0,50;1,00;1,00
2020-02-16;60,00;24,00;15,00;37,00;9,00;28,00;11,00;27,00;2,00;6,00;6,00;6,00;6,00;8,00;1,00;2,00;3,00;3,00;0,50;1,00;1,00
2020-02-23;61,00;23,00;17,00;36,00;12,00;23,00;10,00;20,00;1,00;4,00;4,00;4,00;3,00;7,00;0,50;1,00;1,00;3,00;1,00;1,00;1,00
2020-03-01;52,00;18,00;11,00;30,00;7,00;21,00;9,00;26,00;1,00;5,00;1,00;3,00;4,00;4,00;1,00;2,00;3,00;2,00;0,50;0,50;0,50
2020-03-08;50,00;19,00;9,00;26,00;8,00;20,00;9,00;23,00;2,00;4,00;4,00;4,00;3,00;3,00;1,00;2,00;1,00;2,00;0,50;1,00;1,00
