Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;62,00;198,40;179,80;310,00;12,40;7,00;41,00;18,00;14,00
2020-01-12;56,00;217,78;161,78;255,11;6,22;6,00;44,00;15,00;12,00
2020-01-19;61,00;213,50;146,40;280,60;6,10;7,00;31,00;10,00;12,00
2020-01-26;48,00;204,00;156,00;282,00;6,00;11,00;56,00;13,00;8,00
2020-02-02;57,00;190,00;133,00;291,33;12,67;10,00;40,00;10,00;8,00
2020-02-09;63,00;195,30;151,20;308,70;6,30;6,00;64,00;15,00;13,00
2020-02-16;55,00;195,56;146,67;281,11;12,22;9,00;39,00;14,00;10,00
2020-02-23;52,00;179,11;132,89;242,67;5,78;8,00;55,00;10,00;3,00
2020-03-01;49,00;165,38;140,88;251,13;12,25;9,00;51,00;16,00;6,00
2020-03-08;41,00;146,43;146,43;269,43;5,86;4,00;49,00;12,00;8,00
2020-03-15;44,00;138,29;94,29;238,86;12,57;6,00;43,00;3,00;7,00
2020-03-22;37,00;92,50;55,50;228,17;3,08;6,00;45,00;2,00;11,00
2020-03-29;57,00;82,33;57,00;209,00;12,67;5,00;53,00;6,00;8,00
2020-04-05;63,00;75,60;37,80;195,30;6,30;2,00;43,00;5,00;9,00
2020-04-12;57,00;82,33;57,00;228,00;6,33;0,00;37,00;0,00;1,00
2020-04-19;51,00;82,88;70,13;229,50;12,75;3,00;38,00;8,00;8,00
2020-04-26;56,00;68,44;56,00;242,67;12,44;1,00;48,00;11,00;7,00
2020-05-03;53,00;82,44;64,78;170,78;11,78;1,00;100,00;7,00;10,00
2020-05-10;48,00;96,00;66,00;180,00;6,00;6,00;88,00;13,00;11,00
2020-05-17;46,00;92,00;80,50;195,50;11,50;7,00;58,00;9,00;10,00
2020-05-24;37,00;117,17;74,00;178,83;6,17;2,00;66,00;5,00;8,00
2020-05-31;54,00;90,00;60,00;180,00;12,00;5,00;50,00;8,00;6,00
2020-06-07;39,00;97,50;71,50;195,00;6,50;6,00;48,00;7,00;7,00
2020-06-14;39,00;130,00;91,00;240,50;13,00;0,00;59,00;7,00;11,00
2020-06-21;50,00;150,00;87,50;250,00;18,75;3,00;59,00;9,00;9,00
2020-06-28;46,00;92,00;92,00;178,25;11,50;1,00;59,00;8,00;12,00
2020-07-05;59,00;112,10;70,80;230,10;11,80;6,00;43,00;10,00;6,00
2020-07-12;69,00;131,73;69,00;232,09;6,27;9,00;43,00;9,00;4,00
2020-07-19;74,00;111,00;98,67;228,17;6,17;7,00;43,00;13,00;11,00
2020-07-26;63,00;126,00;69,30;245,70;6,30;7,00;42,00;19,00;3,00
2020-08-02;67,00;127,91;73,09;219,27;6,09;4,00;51,00;11,00;8,00
2020-08-09;58,00;116,00;104,40;214,60;5,80;8,00;26,00;12,00;3,00
2020-08-16;76,00;140,31;93,54;216,31;2,92;5,00;47,00;11,00;4,00
2020-08-23;75,00;125,00;100,00;256,25;6,25;10,00;45,00;6,00;9,00
2020-08-30;64,00;110,55;98,91;244,36;5,82;6,00;45,00;6,00;10,00
2020-09-06;64,00;116,36;87,27;221,09;5,82;8,00;37,00;10,00;6,00
2020-09-13;54,00;114,00;96,00;204,00;6,00;3,00;39,00;11,00;4,00
2020-09-20;51,00;133,88;89,25;255,00;12,75;8,00;29,00;5,00;1,00
2020-09-27;50,00;118,75;75,00;275,00;6,25;7,00;41,00;5,00;5,00
2020-10-04;51,00;114,75;89,25;274,13;6,38;8,00;33,00;7,00;14,00
2020-10-11;43,00;122,86;92,14;288,71;12,29;4,00;39,00;7,00;8,00
2020-10-18;64,00;133,82;110,55;221,09;5,82;5,00;44,00;4,00;7,00
2020-10-25;48,00;126,00;78,00;252,00;6,00;5,00;57,00;6,00;8,00
2020-11-01;40,00;74,29;57,14;177,14;5,71;5,00;28,00;9,00;13,00
2020-11-08;45,00;90,00;64,29;218,57;12,86;10,00;31,00;7,00;2,00
2020-11-15;63,00;132,30;75,60;233,10;12,60;4,00;34,00;6,00;6,00
2020-11-22;41,00;140,57;82,00;228,43;2,93;2,00;49,00;9,00;4,00
2020-11-29;24,00;132,00;102,00;216,00;12,00;11,00;46,00;6,00;4,00
2020-12-06;48,00;156,00;162,00;288,00;6,00;14,00;47,00;23,00;7,00
2020-12-13;56,00;267,56;236,44;348,44;6,22;14,00;65,00;25,00;10,00
2020-12-20;55,00;220,00;171,11;287,22;6,11;9,00;23,00;30,00;14,00
2020-12-27;66,00;270,00;210,00;324,00;6,00;11,00;38,00;24,00;16,00
2021-01-03;59,00;354,00;253,70;348,10;5,90;10,00;61,00;22,00;8,00
2021-01-10;69,00;345,00;257,18;627,27;6,27;9,00;51,00;35,00;3,00
2021-01-17;54,00;384,00;246,00;396,00;6,00;17,00;50,00;26,00;6,00
2021-01-24;46,00;218,50;143,75;304,75;5,75;4,00;76,00;15,00;11,00
2021-01-31;27,00;236,25;135,00;270,00;6,75;9,00;80,00;13,00;10,00
2021-02-07;48,00;174,00;102,00;234,00;6,00;8,00;50,00;4,00;10,00
2021-02-14;63,00;182,70;126,00;270,90;12,60;4,00;35,00;5,00;8,00
2021-02-21;37,00;154,17;104,83;246,67;6,17;8,00;83,00;10,00;8,00
2021-02-28;40,00;114,29;80,00;245,71;11,43;3,00;55,00;9,00;12,00
2021-03-07;37,00;123,33;98,67;259,00;3,08;8,00;41,00;8,00;5,00
2021-03-14;52,00;127,11;92,44;196,44;5,78;2,00;38,00;7,00;5,00
2021-03-21;42,00;120,00;90,00;240,00;12,00;3,00;40,00;12,00;5,00
2021-03-28;39,00;91,00;84,50;201,50;6,50;3,00;46,00;0,00;3,00
2021-04-04;45,00;102,86;51,43;180,00;6,43;5,00;45,00;8,00;3,00
2021-04-11;40,00;108,57;97,14;211,43;11,43;7,00;40,00;17,00;8,00
2021-04-18;54,00;114,00;96,00;228,00;6,00;7,00;43,00;12,00;11,00
2021-04-25;38,00;126,67;82,33;215,33;6,33;2,00;58,00;11,00;7,00
2021-05-02;64,00;133,82;104,73;226,91;11,64;0,00;44,00;14,00;1,00
2021-05-09;36,00;150,00;96,00;216,00;6,00;3,00;31,00;8,00;9,00
2021-05-16;63,00;119,70;75,60;226,80;6,30;9,00;45,00;9,00;3,00
2021-05-23;40,00;120,00;91,43;211,43;5,71;4,00;45,00;11,00;1,00
2021-05-30;51,00;153,00;102,00;255,00;6,38;5,00;47,00;11,00;9,00
2021-06-06;40,00;137,14;102,86;222,86;5,71;11,00;46,00;21,00;10,00
2021-06-13;49,00;134,75;122,50;275,63;6,13;4,00;49,00;17,00;12,00
2021-06-20;55,00;146,67;103,89;244,44;12,22;4,00;50,00;11,00;7,00
2021-06-27;61,00;140,30;115,90;244,00;6,10;5,00;77,00;13,00;5,00
2021-07-04;45,00;154,29;122,14;270,00;6,43;7,00;64,00;11,00;7,00
2021-07-11;59,00;135,70;153,40;359,90;11,80;6,00;48,00;11,00;1,00
2021-07-18;64,00;162,91;122,18;267,64;5,82;3,00;28,00;7,00;9,00
2021-07-25;95,00;225,63;160,31;380,00;2,97;6,00;47,00;17,00;7,00
2021-08-01;69,00;232,09;125,45;263,45;6,27;9,00;52,00;16,00;6,00
2021-08-08;97,00;248,56;127,31;303,13;6,06;9,00;54,00;11,00;3,00
2021-08-15;95,00;154,38;118,75;273,13;5,94;3,00;46,00;9,00;6,00
2021-08-22;93,00;142,60;93,00;303,80;12,40;5,00;52,00;26,00;8,00
2021-08-29;55,00;110,00;97,78;281,11;3,06;3,00;50,00;12,00;10,00
2021-09-05;64,00;104,73;81,45;232,73;5,82;7,00;44,00;3,00;10,00
2021-09-12;45,00;122,14;83,57;276,43;12,86;12,00;50,00;16,00;10,00
2021-09-19;54,00;132,00;78,00;294,00;6,00;1,00;59,00;12,00;12,00
2021-09-26;35,00;151,67;87,50;280,00;11,67;1,00;29,00;4,00;4,00
2021-10-03;54,00;114,00;102,00;246,00;6,00;10,00;35,00;14,00;2,00
2021-10-10;41,00;123,00;93,71;228,43;5,86;5,00;56,00;5,00;3,00
2021-10-17;39,00;133,71;83,57;245,14;5,57;9,00;53,00;9,00;4,00
2021-10-24;41,00;158,14;105,43;246,00;5,86;11,00;48,00;13,00;6,00
2021-10-31;51,00;210,38;108,38;267,75;12,75;10,00;44,00;25,00;8,00
2021-11-07;55,00;183,33;128,33;268,89;6,11;10,00;55,00;16,00;2,00
2021-11-14;35,00;198,33;116,67;239,17;5,83;10,00;46,00;9,00;7,00
2021-11-21;45,00;385,71;141,43;250,71;6,43;7,00;54,00;13,00;9,00
2021-11-28;43,00;159,71;73,71;245,71;6,14;8,00;38,00;12,00;7,00
2021-12-05;41,00;123,00;70,29;205,00;5,86;8,00;44,00;11,00;5,00
2021-12-12;33,00;151,80;99,00;270,60;13,20;6,00;48,00;11,00;16,00
2021-12-19;38,00;158,33;120,33;278,67;6,33;17,00;50,00;7,00;5,00
2021-12-26;43,00;190,43;129,00;374,71;6,14;28,00;43,00;20,00;8,00
2022-01-02;49,00;238,88;140,88;251,13;6,13;61,00;43,00;25,00;5,00
2022-01-09;40,00;177,14;125,71;251,43;5,71;10,00;48,00;14,00;10,00
