Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-01-05;43,00;286,67;35,83;43,00;68,08;61,00;42,00;18,00;38,00;18,43;33,17;6,14;6,14
2020-01-12;45,00;315,00;33,75;41,25;71,25;54,00;44,00;22,00;36,00;22,50;36,25;3,75;7,50
2020-01-19;48,00;302,77;29,54;44,31;70,15;49,00;41,00;18,00;39,00;25,85;33,23;6,15;6,15
2020-01-26;38,00;285,00;38,00;53,20;64,60;48,00;37,00;21,00;37,00;23,29;30,65;6,13;8,58
2020-02-02;43,00;290,25;39,42;53,75;64,50;55,00;34,00;22,00;45,00;23,34;36,86;7,37;7,37
2020-02-09;51,00;309,64;32,79;51,00;61,93;55,00;38,00;22,00;42,00;28,61;36,07;7,46;8,71
2020-02-16;43,00;297,42;35,83;43,00;78,83;57,00;45,00;22,00;39,00;23,34;35,63;8,60;8,60
2020-02-23;44,00;286,00;36,67;51,33;66,00;52,00;40,00;26,00;35,00;30,17;36,46;8,80;7,54
2020-03-01;38,00;269,80;30,40;45,60;60,80;45,00;33,00;22,00;29,00;22,80;26,60;6,33;7,60
2020-03-08;36,00;234,00;25,20;36,00;46,80;39,00;30,00;16,00;29,00;22,34;24,83;6,21;6,21
2020-03-15;26,00;152,29;11,14;22,29;29,71;23,00;14,00;10,00;16,00;11,14;12,38;3,71;4,95
2020-03-22;16,00;96,00;8,00;16,00;12,00;14,00;7,00;8,00;7,00;7,38;6,15;1,23;3,69
2020-03-29;12,00;92,00;8,00;12,00;16,00;13,00;7,00;10,00;9,00;6,00;6,00;2,40;3,60
2020-04-05;13,00;65,00;6,50;13,00;13,00;11,00;8,00;9,00;8,00;4,73;7,09;1,18;3,55
2020-04-12;10,00;60,00;6,67;10,00;13,33;14,00;7,00;9,00;7,00;6,25;6,25;1,25;5,00
2020-04-19;9,00;81,00;9,00;13,50;18,00;17,00;8,00;11,00;9,00;6,43;7,71;1,29;2,57
2020-04-26;13,00;68,25;6,50;13,00;13,00;12,00;9,00;8,00;9,00;5,20;6,50;1,30;5,20
2020-05-03;14,00;80,50;7,00;14,00;17,50;17,00;10,00;10,00;13,00;7,00;7,00;3,50;4,67
2020-05-10;21,00;98,00;10,50;21,00;21,00;25,00;16,00;12,00;14,00;9,88;9,88;3,71;4,94
2020-05-17;20,00;128,00;16,00;28,00;32,00;30,00;17,00;15,00;15,00;16,25;12,50;3,75;5,00
2020-05-24;23,00;145,67;15,33;23,00;34,50;34,00;17,00;17,00;18,00;14,53;16,95;6,05;6,05
2020-05-31;30,00;165,00;22,50;30,00;41,25;48,00;24,00;20,00;22,00;21,25;17,50;6,25;8,75
2020-06-07;34,00;185,11;26,44;34,00;45,33;42,00;26,00;21,00;24,00;21,86;21,86;6,07;8,50
2020-06-14;37,00;196,10;25,90;37,00;48,10;51,00;29,00;23,00;28,00;27,13;22,20;7,40;13,57
2020-06-21;42,00;203,00;28,00;35,00;45,50;61,00;34,00;24,00;26,00;24,71;22,24;7,41;6,18
2020-06-28;42,00;217,64;30,55;45,82;64,91;73,00;37,00;22,00;36,00;28,00;24,18;7,64;8,91
2020-07-05;46,00;233,54;31,85;46,00;60,15;81,00;41,00;24,00;34,00;34,81;24,86;11,19;7,46
2020-07-12;56,00;245,00;28,00;38,50;59,50;80,00;43,00;27,00;37,00;33,60;124,44;11,20;9,96
2020-07-19;51,00;225,86;29,14;36,43;54,64;70,00;43,00;28,00;34,00;33,59;59,71;11,20;7,46
2020-07-26;51,00;222,21;25,50;43,71;58,29;76,00;42,00;27,00;34,00;37,32;38,56;8,71;9,95
2020-08-02;60,00;240,00;28,24;38,82;60,00;98,00;49,00;22,00;43,00;47,50;33,75;11,25;8,75
2020-08-09;60,00;232,94;28,24;35,29;63,53;91,00;46,00;25,00;35,00;45,00;31,25;11,25;11,25
2020-08-16;57,00;224,44;32,06;39,19;57,00;78,00;44,00;26,00;32,00;42,13;32,22;7,43;7,43
2020-08-23;56,00;216,53;29,87;48,53;52,27;58,00;34,00;25,00;31,00;32,36;22,40;8,71;6,22
2020-08-30;39,00;195,00;24,82;39,00;46,09;47,00;35,00;23,00;24,00;25,16;21,39;6,29;10,06
2020-09-06;36,00;194,40;28,80;39,60;54,00;43,00;40,00;21,00;27,00;23,59;24,83;7,45;7,45
2020-09-13;35,00;199,50;28,00;35,00;42,00;49,00;30,00;21,00;22,00;21,72;19,31;7,24;6,03
2020-09-20;30,00;180,00;26,25;41,25;45,00;33,00;31,00;20,00;24,00;22,50;21,25;7,50;6,25
2020-09-27;43,00;168,42;21,50;35,83;43,00;31,00;25,00;19,00;19,00;18,97;16,44;6,32;7,59
2020-10-04;30,00;180,00;30,00;48,75;41,25;32,00;25,00;21,00;24,00;21,25;20,00;5,00;7,50
2020-10-11;27,00;177,43;23,14;42,43;46,29;30,00;26,00;22,00;21,00;15,95;15,95;6,14;8,59
2020-10-18;26,00;178,29;26,00;78,00;78,00;29,00;31,00;22,00;19,00;17,33;19,81;4,95;6,19
2020-10-25;33,00;143,00;14,67;29,33;29,33;26,00;20,00;14,00;17,00;10,15;13,96;5,08;6,35
2020-11-01;14,00;73,50;10,50;21,00;17,50;48,00;11,00;13,00;10,00;7,64;7,64;1,27;2,55
2020-11-08;15,00;82,50;7,50;22,50;18,75;15,00;10,00;11,00;12,00;8,75;8,75;2,50;5,00
2020-11-15;13,00;74,75;9,75;19,50;19,50;15,00;12,00;12,00;11,00;7,80;9,10;2,60;3,90
2020-11-22;15,00;101,25;11,25;30,00;22,50;19,00;15,00;12,00;13,00;13,75;12,50;3,75;5,00
2020-11-29;16,00;99,20;9,60;22,40;25,60;22,00;17,00;13,00;15,00;11,08;12,31;3,69;6,15
2020-12-06;19,00;125,40;11,40;26,60;30,40;23,00;16,00;11,00;12,00;11,40;12,67;2,53;6,33
2020-12-13;26,00;137,43;18,57;29,71;37,14;34,00;18,00;13,00;16,00;13,62;12,38;3,71;6,19
2020-12-20;27,00;200,57;23,14;30,86;34,71;28,00;28,00;16,00;15,00;16,71;14,14;5,14;7,71
2020-12-27;23,00;164,83;15,33;30,67;38,33;33,00;17,00;12,00;15,00;15,33;15,33;6,39;6,39
2021-01-03;23,00;153,33;19,17;26,83;38,33;27,00;21,00;15,00;18,00;14,53;14,53;4,84;6,05
2021-01-10;19,00;152,00;19,00;30,40;30,40;29,00;17,00;14,00;19,00;13,93;11,40;5,07;5,07
