Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2020-01-05;50,00;0,00;0,00;10,00;0,00;30,00;0,00;0,00;20,00;0,00;20,00;70,00;0,00;0,00;0,00;89,13;0,00;0,00;10,00;0,00;10,00
2020-01-12;49,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;59,00;0,00;0,00;0,00;39,20;0,00;0,00;0,00;10,00;0,00
2020-01-19;31,00;0,00;21,00;0,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;52,00;0,00;0,00;0,00;71,62;0,00;0,00;0,00;10,00;0,00
2020-01-26;61,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;20,00;51,00;0,00;0,00;0,00;30,50;9,80;0,00;10,00;0,00;0,00
2020-02-02;62,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;42,00;0,00;0,00;0,00;71,79;0,00;0,00;0,00;10,00;10,00
2020-02-09;69,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;30,00;0,00;9,86;0,00;29,57;0,00;0,00;0,00;0,00;10,00
2020-02-16;49,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;20,00;10,00;40,00;0,00;0,00;0,00;19,60;0,00;0,00;0,00;0,00;10,00
2020-02-23;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;68,00;0,00;10,00;0,00;30,00;0,00;0,00;10,00;19,00;10,00
2020-03-01;39,00;10,00;10,00;10,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;69,00;0,00;0,00;0,00;29,25;0,00;0,00;0,00;0,00;10,00
2020-03-08;38,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;86,00;0,00;0,00;0,00;28,23;0,00;0,00;0,00;9,00;9,00
2020-03-15;19,00;0,00;9,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;19,00;19,00;0,00;0,00;0,00;29,06;0,00;0,00;0,00;0,00;0,00
2020-03-22;18,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;45,00;0,00;0,00;0,00;28,13;0,00;0,00;0,00;0,00;0,00
2020-03-29;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;9,00;9,00;0,00;0,00;27,27;0,00;0,00;0,00;0,00;9,00
2020-04-05;18,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;37,00;0,00;0,00;0,00;18,00;0,00;0,00;9,00;9,00;0,00
2020-04-12;37,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;8,97;0,00;0,00;0,00;0,00;0,00
2020-04-19;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;27,00;0,00;9,00;9,00;9,00;0,00;0,00;9,00;9,00;0,00
2020-04-26;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;8,67;0,00;26,00;0,00;0,00;0,00;0,00;9,00
2020-05-03;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;37,13;0,00;0,00;0,00;9,00;0,00
2020-05-10;26,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;18,00;0,00;0,00;0,00;26,00;8,67;0,00;9,00;18,00;9,00
2020-05-17;36,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;8,73;8,73;0,00;0,00;0,00;9,00
2020-05-24;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;38,00;0,00;9,00;0,00;17,00;9,00;0,00;0,00;0,00;0,00
2020-05-31;35,00;0,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;18,00;44,00;0,00;0,00;0,00;17,50;0,00;0,00;9,00;0,00;17,00
