Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-01-05;96,00;45,00;63,00;45,00;72,00;51,00;6,00;27,00;21,00;3,24;107,87;15,10;30,20;0,00;21,00;6,00;12,00;0,00;36,00;15,00;9,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;73,00;32,00;61,00;29,00;38,00;15,00;15,00;23,00;29,00;25,76;105,21;8,59;17,18;0,00;6,00;9,00;23,00;3,00;23,00;26,00;15,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2020-01-19;100,00;47,00;22,00;41,00;53,00;34,00;12,00;22,00;9,00;16,13;90,32;0,00;18,28;0,00;19,00;6,00;16,00;0,00;44,00;19,00;6,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00
2020-01-26;55,00;21,00;49,00;33,00;55,00;36,00;9,00;15,00;9,00;21,57;60,39;8,63;21,57;3,00;12,00;6,00;18,00;0,00;46,00;34,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;68,00;31,00;28,00;40,00;53,00;19,00;9,00;16,00;16,00;9,71;89,59;6,48;28,06;0,00;16,00;12,00;19,00;0,00;34,00;9,00;16,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00
2020-02-09;74,00;18,00;33,00;21,00;68,00;38,00;12,00;15,00;15,00;6,43;40,75;8,58;17,16;3,00;24,00;3,00;6,00;0,00;27,00;9,00;0,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00
2020-02-16;89,00;45,00;36,00;33,00;24,00;50,00;9,00;27,00;9,00;8,58;97,58;5,36;26,81;3,00;3,00;6,00;6,00;0,00;18,00;27,00;6,00;0,00;6,00;3,00;0,00;0,00;3,00;0,00
2020-02-23;81,00;43,00;35,00;26,00;46,00;23,00;12,00;17,00;15,00;3,24;58,32;8,64;22,68;0,00;23,00;3,00;14,00;0,00;23,00;32,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;56,00;32,00;53,00;23,00;47,00;26,00;6,00;21,00;9,00;3,23;61,38;3,23;11,85;0,00;0,00;6,00;0,00;0,00;18,00;18,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;43,00;57,00;40,00;43,00;65,00;43,00;3,00;37,00;6,00;8,60;102,13;3,23;20,43;0,00;11,00;6,00;9,00;0,00;29,00;20,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;23,00;20,00;11,00;11,00;34,00;17,00;0,00;11,00;6,00;3,29;37,24;3,29;8,76;0,00;6,00;0,00;3,00;0,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;5,00;5,00;3,00;3,00;3,00;8,00;5,00;5,00;3,00;2,00;12,00;2,00;5,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;16,00;5,00;19,00;0,00;8,00;3,00;0,00;0,00;5,00;2,13;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;8,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;8,00;5,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;8,00;11,00;0,00;8,00;5,00;0,00;0,00;0,00;3,00;10,00;3,00;5,00;0,00;3,00;0,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;5,00;0,00;8,00;0,00;8,00;3,00;0,00;3,00;0,00;0,00;13,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;8,00;13,00;8,00;0,00;5,00;5,00;0,00;8,00;3,00;2,29;8,00;0,00;8,00;0,00;3,00;0,00;0,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;13,00;8,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;5,42;16,25;0,00;2,17;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;19,00;8,00;8,00;3,00;8,00;3,00;0,00;5,00;5,00;5,59;2,24;0,00;2,24;0,00;5,00;0,00;3,00;0,00;5,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;5,00;5,00;5,00;3,00;8,00;0,00;0,00;0,00;3,00;0,00;8,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;5,00;3,00;5,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;9,00;0,00;3,00;0,00;8,00;6,00;3,00;6,00;0,00;0,00;12,38;0,00;3,38;0,00;0,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;13,00;0,00;3,00;5,00;3,00;5,00;5,00;0,00;0,00;2,17;18,42;0,00;5,42;0,00;3,00;3,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-06-07;8,00;3,00;3,00;5,00;5,00;3,00;3,00;5,00;0,00;5,71;11,43;0,00;5,71;0,00;8,00;0,00;0,00;0,00;3,00;5,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;11,00;3,00;13,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;16,50;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;30,00;8,00;5,00;5,00;14,00;8,00;5,00;0,00;0,00;3,21;10,71;0,00;0,00;0,00;0,00;0,00;3,00;0,00;11,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;16,00;3,00;11,00;0,00;0,00;0,00;3,00;3,00;5,00;0,00;16,00;2,13;2,13;0,00;3,00;0,00;0,00;0,00;11,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;22,00;3,00;8,00;0,00;8,00;6,00;0,00;0,00;6,00;0,00;27,24;0,00;10,48;0,00;6,00;0,00;6,00;0,00;11,00;8,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-07-12;23,00;6,00;6,00;0,00;6,00;3,00;3,00;9,00;3,00;5,23;14,64;0,00;8,36;0,00;6,00;6,00;3,00;0,00;9,00;9,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;36,00;6,00;15,00;15,00;9,00;0,00;3,00;0,00;0,00;3,27;30,55;6,55;8,73;3,00;0,00;3,00;3,00;0,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;12,00;3,00;0,00;9,00;6,00;3,00;3,00;3,00;0,00;0,00;24,00;3,27;12,00;0,00;3,00;0,00;6,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2020-08-02;21,00;18,00;0,00;0,00;9,00;3,00;0,00;3,00;6,00;3,32;21,00;0,00;3,32;0,00;0,00;0,00;3,00;0,00;9,00;9,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-08-09;24,00;12,00;3,00;0,00;3,00;0,00;0,00;6,00;9,00;0,00;32,73;3,27;3,27;0,00;0,00;6,00;0,00;0,00;3,00;3,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00
2020-08-16;21,00;12,00;6,00;15,00;3,00;6,00;0,00;6,00;0,00;0,00;27,63;3,32;5,53;0,00;0,00;0,00;3,00;0,00;6,00;6,00;0,00;0,00;0,00;9,00;3,00;0,00;0,00;0,00
2020-08-23;35,00;6,00;12,00;0,00;6,00;9,00;0,00;3,00;9,00;3,18;25,45;0,00;8,48;0,00;9,00;0,00;3,00;0,00;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2020-08-30;12,00;6,00;12,00;6,00;12,00;6,00;0,00;3,00;0,00;6,55;8,73;3,27;12,00;0,00;12,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;39,00;0,00;3,00;3,00;6,00;3,00;3,00;0,00;0,00;8,67;15,17;0,00;6,50;0,00;3,00;0,00;3,00;0,00;0,00;6,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-09-13;9,00;6,00;15,00;0,00;9,00;0,00;0,00;3,00;0,00;3,38;9,00;0,00;3,38;0,00;6,00;6,00;3,00;0,00;9,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;24,00;6,00;9,00;3,00;18,00;3,00;3,00;3,00;9,00;0,00;6,55;0,00;3,27;0,00;6,00;0,00;0,00;0,00;21,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;15,00;12,00;9,00;9,00;9,00;3,00;0,00;6,00;0,00;0,00;15,00;0,00;6,43;0,00;6,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;15,00;9,00;18,00;3,00;3,00;3,00;3,00;3,00;6,00;8,57;11,79;0,00;0,00;0,00;0,00;3,00;3,00;0,00;6,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-11;9,00;6,00;13,00;6,00;6,00;6,00;0,00;0,00;6,00;3,00;9,00;0,00;9,00;0,00;3,00;6,00;0,00;3,00;3,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-18;28,00;0,00;6,00;3,00;6,00;3,00;0,00;3,00;0,00;0,00;12,92;0,00;12,92;0,00;3,00;0,00;9,00;0,00;9,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-25;15,00;6,00;15,00;6,00;12,00;3,00;3,00;3,00;3,00;0,00;8,57;0,00;6,43;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;3,00;3,00;3,00;3,00;9,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;18,00;6,00;6,00;9,00;6,00;0,00;0,00;6,00;3,00;3,38;15,75;0,00;9,00;0,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;9,00;9,00;3,00;0,00;15,00;12,00;0,00;9,00;3,00;0,00;19,13;3,38;0,00;0,00;6,00;6,00;3,00;0,00;6,00;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;6,00;6,00;9,00;6,00;15,00;9,00;0,00;6,00;0,00;0,00;9,60;0,00;0,00;0,00;3,00;6,00;3,00;0,00;6,00;15,00;9,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
