Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;44,00;61,88;44,00;31,63;0,00;38,00;19,00;25,00;13,00
2020-01-12;49,00;49,00;43,40;43,40;0,00;31,00;0,00;18,00;12,00
2020-01-19;46,00;58,55;39,03;78,06;0,00;13,00;13,00;13,00;20,00
2020-01-26;45,00;45,00;57,66;32,34;0,00;13,00;13,00;32,00;0,00
2020-02-02;39,00;78,00;6,96;26,46;0,00;13,00;13,00;52,00;13,00
2020-02-09;69,00;56,33;12,67;12,67;0,00;6,00;0,00;19,00;0,00
2020-02-16;56,00;43,40;18,20;37,80;0,00;19,00;12,00;25,00;25,00
2020-02-23;49,00;54,60;23,80;23,80;0,00;12,00;6,00;18,00;18,00
2020-03-01;49,00;25,20;18,20;37,80;12,60;25,00;0,00;25,00;12,00
2020-03-08;36,00;29,08;12,46;30,46;0,00;24,00;18,00;48,00;0,00
2020-03-15;47,00;41,47;11,06;17,97;0,00;6,00;0,00;18,00;24,00
2020-03-22;45,00;33,75;16,88;16,88;5,63;6,00;11,00;11,00;0,00
2020-03-29;17,00;17,00;17,00;28,33;0,00;11,00;11,00;0,00;6,00
2020-04-05;46,00;22,30;11,15;16,73;0,00;12,00;12,00;35,00;0,00
2020-04-12;58,00;24,05;11,32;11,32;0,00;12,00;17,00;0,00;17,00
2020-04-19;34,00;28,33;5,67;22,67;5,67;11,00;11,00;17,00;17,00
2020-04-26;99,00;33,46;5,58;16,73;0,00;6,00;0,00;28,00;11,00
2020-05-03;56,00;16,80;16,80;16,80;0,00;6,00;6,00;11,00;6,00
2020-05-10;50,00;16,67;11,11;5,56;11,11;6,00;0,00;17,00;22,00
2020-05-17;34,00;55,76;34,00;27,20;5,44;6,00;0,00;0,00;0,00
2020-05-24;18,00;23,54;36,00;18,00;5,54;12,00;6,00;0,00;24,00
2020-05-31;28,00;50,40;16,80;16,80;11,20;11,00;6,00;11,00;6,00
2020-06-07;33,00;22,96;17,22;11,48;0,00;0,00;0,00;16,00;5,00
2020-06-14;62,00;28,18;16,91;16,91;0,00;11,00;11,00;11,00;0,00
2020-06-21;35,00;23,80;11,20;16,80;5,60;12,00;0,00;23,00;17,00
2020-06-28;39,00;27,86;16,71;27,86;0,00;17,00;0,00;22,00;45,00
2020-07-05;53,00;23,71;34,87;34,87;5,58;24,00;6,00;6,00;12,00
2020-07-12;62,00;18,32;5,64;18,32;0,00;25,00;0,00;12,00;6,00
2020-07-19;50,00;18,06;12,50;43,06;12,50;0,00;0,00;0,00;6,00
2020-07-26;44,00;18,45;25,55;12,77;0,00;13,00;6,00;19,00;13,00
2020-08-02;63,00;44,80;19,60;25,20;7,00;13,00;13,00;13,00;0,00
2020-08-09;31,00;38,05;56,36;25,36;0,00;25,00;6,00;25,00;6,00
2020-08-16;56,00;18,20;25,20;49,00;5,60;6,00;0,00;25,00;25,00
2020-08-23;37,00;42,48;37,00;47,96;0,00;18,00;6,00;12,00;12,00
2020-08-30;25,00;25,00;31,94;12,50;0,00;13,00;0,00;6,00;0,00
2020-09-06;56,00;18,20;30,80;18,20;5,60;25,00;0,00;13,00;6,00
2020-09-13;32,00;70,96;44,52;38,96;6,96;6,00;0,00;0,00;19,00
2020-09-20;50,00;50,00;25,00;12,50;0,00;0,00;6,00;25,00;13,00
2020-09-27;13,00;46,22;7,22;20,22;7,22;19,00;0,00;0,00;6,00
2020-10-04;83,00;6,92;24,90;12,45;0,00;13,00;6,00;6,00;6,00
2020-10-11;13,00;13,00;24,70;31,20;0,00;33,00;0,00;27,00;7,00
2020-10-18;26,00;26,00;19,16;69,79;6,84;13,00;0,00;20,00;20,00
2020-10-25;58,00;12,73;45,27;32,54;12,73;0,00;6,00;26,00;0,00
2020-11-01;25,00;18,06;0,00;0,00;5,56;19,00;0,00;6,00;12,00
2020-11-08;37,00;30,15;24,67;5,48;0,00;25,00;6,00;19,00;6,00
2020-11-15;44,00;12,77;38,32;31,23;5,68;0,00;6,00;6,00;25,00
2020-11-22;19,00;5,85;13,15;5,85;13,15;25,00;0,00;19,00;0,00
2020-11-29;70,00;44,80;19,60;32,20;7,00;13,00;0,00;6,00;13,00
2020-12-06;20,00;7,14;20,00;12,86;0,00;7,00;0,00;13,00;0,00
2020-12-13;47,00;19,94;34,18;142,42;0,00;27,00;0,00;13,00;13,00
2020-12-20;22,00;42,63;13,75;93,50;0,00;14,00;0,00;22,00;0,00
2020-12-27;26,00;26,00;12,32;57,47;0,00;26,00;0,00;7,00;13,00
2021-01-03;25,00;87,50;5,56;43,06;0,00;37,00;0,00;12,00;12,00
2021-01-10;37,00;56,92;18,50;37,00;5,69;12,00;0,00;6,00;6,00
2021-01-17;69,00;30,98;18,31;30,98;5,63;31,00;0,00;12,00;12,00
2021-01-24;44,00;102,19;18,45;25,55;0,00;25,00;6,00;19,00;0,00
2021-01-31;56,00;93,80;0,00;30,80;0,00;12,00;6,00;6,00;0,00
2021-02-07;44,00;56,38;19,25;24,75;0,00;0,00;0,00;32,00;0,00
2021-02-14;72,00;38,77;12,46;19,38;6,92;0,00;0,00;0,00;0,00
2021-02-21;32,00;25,04;6,96;12,52;6,96;6,00;0,00;0,00;6,00
2021-02-28;39,00;19,50;6,96;25,07;0,00;6,00;0,00;13,00;6,00
2021-03-07;46,00;39,03;0,00;26,48;0,00;13,00;7,00;13,00;7,00
2021-03-14;51,00;45,33;32,58;19,83;0,00;13,00;0,00;19,00;6,00
2021-03-21;27,00;39,79;12,79;12,79;0,00;7,00;0,00;13,00;20,00
2021-03-28;7,00;7,00;7,00;7,00;0,00;14,00;0,00;0,00;0,00
2021-04-04;87,00;33,14;40,05;26,24;0,00;0,00;0,00;7,00;0,00
2021-04-11;21,00;14,00;28,00;21,00;0,00;7,00;0,00;21,00;14,00
2021-04-18;36,00;13,85;13,85;13,85;6,92;14,00;0,00;7,00;0,00
2021-04-25;14,00;21,00;7,00;0,00;0,00;0,00;0,00;14,00;0,00
2021-05-02;13,00;7,22;13,00;20,22;0,00;0,00;0,00;7,00;7,00
2021-05-09;14,00;7,00;21,00;26,60;0,00;0,00;0,00;27,00;14,00
2021-05-16;7,00;7,00;7,00;14,00;0,00;7,00;7,00;0,00;7,00
2021-05-23;29,00;21,75;7,25;37,70;0,00;0,00;14,00;7,00;0,00
2021-05-30;22,00;0,00;15,13;28,88;0,00;15,00;0,00;0,00;7,00
2021-06-06;28,00;21,00;14,00;35,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;21,00;0,00;0,00;7,00;0,00;7,00;7,00;7,00;0,00
2021-06-20;28,00;49,00;0,00;21,00;0,00;0,00;7,00;7,00;0,00
2021-06-27;41,00;13,67;13,67;13,67;0,00;0,00;0,00;14,00;7,00
2021-07-04;14,00;21,00;0,00;35,00;0,00;7,00;0,00;7,00;14,00
2021-07-11;7,00;29,40;29,40;36,40;7,00;7,00;0,00;29,00;0,00
2021-07-18;37,00;22,77;22,77;29,88;0,00;0,00;7,00;7,00;0,00
2021-07-25;64,00;20,87;13,91;41,74;0,00;7,00;14,00;14,00;0,00
2021-08-01;43,00;6,94;22,19;43,00;0,00;7,00;29,00;36,00;7,00
2021-08-08;43,00;29,13;0,00;56,87;0,00;0,00;7,00;22,00;0,00
2021-08-15;57,00;13,90;6,95;13,90;0,00;14,00;0,00;21,00;14,00
2021-08-22;8,00;30,67;8,00;22,67;0,00;16,00;8,00;32,00;0,00
2021-08-29;61,00;7,09;0,00;31,21;0,00;23,00;0,00;15,00;15,00
2021-09-05;38,00;14,93;23,07;67,86;0,00;100,00;0,00;0,00;0,00
2021-09-12;0,00;22,00;16,00;11,00;0,00;15,00;0,00;30,00;8,00
2021-09-19;60,00;30,70;15,35;30,70;0,00;0,00;8,00;38,00;8,00
2021-09-26;7,00;29,40;0,00;22,40;0,00;15,00;0,00;0,00;0,00
2021-10-03;17,00;22,67;11,33;34,00;0,00;6,00;6,00;6,00;11,00
2021-10-10;27,00;38,37;11,37;5,68;0,00;11,00;0,00;11,00;11,00
2021-10-17;36,00;9,69;20,77;36,00;0,00;10,00;0,00;15,00;10,00
2021-10-24;47,00;68,36;5,70;15,67;5,70;0,00;10,00;10,00;10,00
2021-10-31;32,00;26,43;20,87;36,17;5,57;16,00;11,00;5,00;5,00
2021-11-07;41,00;15,55;0,00;15,55;0,00;15,00;0,00;15,00;20,00
2021-11-14;30,00;24,55;9,55;19,09;0,00;5,00;0,00;5,00;5,00
2021-11-21;20,00;55,71;30,00;15,71;0,00;10,00;5,00;10,00;5,00
2021-11-28;25,00;44,44;19,44;9,72;0,00;15,00;0,00;0,00;10,00
2021-12-05;47,00;20,74;9,68;30,41;0,00;16,00;5,00;10,00;21,00
2021-12-12;22,00;22,00;16,50;42,63;0,00;5,00;0,00;5,00;71,00
2021-12-19;44,00;12,77;18,45;25,55;0,00;19,00;0,00;0,00;6,00
2021-12-26;40,00;107,59;5,52;51,03;0,00;34,00;0,00;29,00;6,00
2022-01-02;48,00;83,66;5,49;20,57;0,00;38,00;0,00;27,00;5,00
2022-01-09;99,00;30,68;12,55;48,80;5,58;43,00;12,00;18,00;0,00
