Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2020-01-05;77,00;0,00;3,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00
2020-01-12;54,00;0,00;0,00;3,00;3,00;3,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;65,00;0,00;3,00;0,00;12,00;3,00;6,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;36,00;0,00;0,00;0,00;6,00;6,00;12,00;3,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;53,00;9,00;0,00;0,00;3,00;0,00;18,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;52,00;3,00;0,00;3,00;0,00;6,00;9,00;6,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;61,00;9,00;0,00;0,00;3,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;52,00;3,00;0,00;0,00;6,00;6,00;3,00;23,00;0,00;0,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;37,00;3,00;3,00;6,00;0,00;3,00;0,00;9,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;44,00;0,00;3,00;3,00;5,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;36,00;0,00;3,00;0,00;5,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;13,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;11,00;0,00;3,00;3,00;3,00;0,00;5,00;0,00;0,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;6,00;0,00;3,00;0,00;22,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;0,00;0,00;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;16,00;5,00;0,00;0,00;8,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;11,00;3,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;14,00;3,00;0,00;0,00;6,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;14,00;0,00;3,00;8,00;8,00;3,00;0,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;9,00;0,00;0,00;0,00;9,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2020-05-24;9,00;6,00;3,00;3,00;9,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;31,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;37,00;0,00;0,00;0,00;8,00;6,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;39,00;3,00;0,00;3,00;0,00;3,00;18,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;31,00;9,00;6,00;6,00;15,00;0,00;3,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;64,00;0,00;3,00;0,00;12,00;6,00;15,00;30,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;57,00;9,00;0,00;6,00;6,00;6,00;19,00;28,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-07-12;57,00;0,00;0,00;0,00;13,00;9,00;13,00;16,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00
2020-07-19;68,00;10,00;0,00;10,00;3,00;6,00;16,00;10,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;53,00;3,00;0,00;3,00;13,00;3,00;13,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-08-02;52,00;13,00;0,00;0,00;10,00;3,00;10,00;19,00;0,00;0,00;0,00;26,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
