Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;44,00;53,00;18,00;26,00;9,00;0,00;9,00;35,00;53,00
2020-01-12;41,00;33,00;33,00;25,00;0,00;8,00;8,00;25,00;8,00
2020-01-19;43,00;60,00;9,00;43,00;0,00;0,00;0,00;9,00;9,00
2020-01-26;25,00;17,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00
2020-02-02;73,00;49,00;8,00;0,00;0,00;0,00;0,00;16,00;90,00
2020-02-09;25,00;25,00;42,00;17,00;17,00;0,00;8,00;34,00;0,00
2020-02-16;34,00;0,00;34,00;8,00;8,00;25,00;8,00;25,00;8,00
2020-02-23;16,00;16,00;39,00;16,00;8,00;8,00;0,00;8,00;24,00
2020-03-01;24,00;24,00;24,00;24,00;8,00;0,00;8,00;0,00;24,00
2020-03-08;0,00;31,00;0,00;23,00;0,00;0,00;0,00;8,00;0,00
2020-03-15;0,00;31,00;0,00;23,00;8,00;8,00;23,00;0,00;15,00
2020-03-22;36,00;21,00;7,00;14,00;14,00;7,00;14,00;0,00;0,00
2020-03-29;30,00;7,00;15,00;0,00;0,00;7,00;7,00;0,00;0,00
2020-04-05;46,00;0,00;8,00;0,00;0,00;0,00;0,00;15,00;15,00
2020-04-12;31,00;16,00;16,00;16,00;16,00;0,00;0,00;0,00;0,00
2020-04-19;30,00;7,00;7,00;7,00;0,00;0,00;0,00;7,00;7,00
2020-04-26;30,00;0,00;15,00;22,00;0,00;0,00;0,00;15,00;0,00
2020-05-03;46,00;23,00;8,00;0,00;8,00;0,00;0,00;31,00;0,00
2020-05-10;38,00;0,00;15,00;23,00;23,00;0,00;0,00;15,00;0,00
2020-05-17;40,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2020-05-24;24,00;8,00;0,00;0,00;32,00;0,00;8,00;0,00;8,00
2020-05-31;16,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;32,00
2020-06-07;39,00;8,00;0,00;16,00;0,00;0,00;0,00;0,00;16,00
2020-06-14;8,00;0,00;25,00;8,00;25,00;8,00;0,00;0,00;17,00
2020-06-21;43,00;0,00;9,00;9,00;9,00;9,00;0,00;26,00;9,00
2020-06-28;17,00;0,00;25,00;25,00;0,00;8,00;0,00;0,00;0,00
2020-07-05;9,00;9,00;17,00;26,00;0,00;9,00;9,00;0,00;0,00
2020-07-12;44,00;9,00;17,00;17,00;0,00;0,00;9,00;17,00;9,00
2020-07-19;27,00;9,00;9,00;0,00;0,00;0,00;9,00;9,00;9,00
2020-07-26;46,00;9,00;9,00;9,00;0,00;9,00;0,00;18,00;0,00
2020-08-02;45,00;9,00;9,00;18,00;0,00;18,00;0,00;9,00;27,00
2020-08-09;48,00;19,00;39,00;19,00;19,00;0,00;19,00;0,00;0,00
2020-08-16;28,00;0,00;9,00;9,00;0,00;19,00;9,00;9,00;19,00
2020-08-23;35,00;27,00;0,00;9,00;35,00;0,00;0,00;9,00;80,00
2020-08-30;8,00;8,00;25,00;25,00;17,00;8,00;0,00;0,00;8,00
2020-09-06;17,00;25,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00
2020-09-13;25,00;0,00;8,00;25,00;42,00;0,00;8,00;0,00;8,00
2020-09-20;8,00;16,00;0,00;8,00;0,00;0,00;16,00;8,00;8,00
2020-09-27;17,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;9,00;9,00;18,00;0,00;18,00;0,00;0,00;0,00;35,00
2020-10-11;18,00;0,00;0,00;18,00;36,00;0,00;0,00;9,00;0,00
2020-10-18;27,00;0,00;18,00;9,00;9,00;0,00;18,00;0,00;9,00
2020-10-25;18,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00
2020-11-01;8,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00
2020-11-08;34,00;17,00;8,00;25,00;8,00;8,00;0,00;0,00;17,00
2020-11-15;100,00;25,00;17,00;42,00;17,00;8,00;0,00;0,00;8,00
2020-11-22;33,00;17,00;17,00;0,00;0,00;0,00;0,00;17,00;17,00
2020-11-29;16,00;8,00;8,00;16,00;0,00;8,00;0,00;8,00;0,00
2020-12-06;25,00;8,00;8,00;8,00;25,00;8,00;0,00;17,00;25,00
2020-12-13;9,00;9,00;0,00;26,00;17,00;9,00;0,00;0,00;0,00
2020-12-20;29,00;10,00;19,00;38,00;0,00;0,00;0,00;19,00;0,00
2020-12-27;19,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00
2021-01-03;25,00;17,00;17,00;17,00;8,00;0,00;0,00;0,00;8,00
2021-01-10;35,00;0,00;9,00;17,00;0,00;0,00;0,00;0,00;9,00
2021-01-17;34,00;17,00;8,00;42,00;0,00;0,00;0,00;0,00;0,00
2021-01-24;35,00;9,00;43,00;17,00;9,00;9,00;17,00;0,00;17,00
2021-01-31;18,00;0,00;27,00;35,00;0,00;9,00;9,00;0,00;9,00
2021-02-07;34,00;17,00;0,00;9,00;0,00;0,00;0,00;9,00;17,00
2021-02-14;18,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00
2021-02-21;9,00;0,00;0,00;9,00;0,00;0,00;18,00;0,00;9,00
2021-02-28;9,00;9,00;26,00;0,00;0,00;0,00;0,00;0,00;9,00
2021-03-07;51,00;9,00;0,00;17,00;17,00;0,00;0,00;0,00;0,00
2021-03-14;16,00;8,00;0,00;8,00;8,00;0,00;8,00;0,00;0,00
2021-03-21;35,00;26,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00
2021-03-28;28,00;0,00;37,00;0,00;18,00;0,00;0,00;0,00;0,00
