Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-01-05;77,00;750,75;9,63;19,25;19,25;41,00;25,00;16,00;19,00;10,00;10,00;3,00;0,00
2020-01-12;54,00;1161,00;13,50;27,00;27,00;18,00;29,00;6,00;15,00;0,00;12,00;0,00;0,00
2020-01-19;65,00;801,67;10,83;21,67;21,67;22,00;25,00;9,00;9,00;0,00;15,00;0,00;0,00
2020-01-26;36,00;630,00;9,00;18,00;18,00;15,00;30,00;0,00;18,00;9,00;3,00;0,00;0,00
2020-02-02;53,00;715,50;0,00;26,50;13,25;44,00;20,00;9,00;18,00;9,00;12,00;3,00;0,00
2020-02-09;52,00;884,00;0,00;13,00;26,00;39,00;12,00;0,00;18,00;9,00;21,00;0,00;0,00
2020-02-16;61,00;650,67;10,17;10,17;20,33;30,00;18,00;6,00;21,00;3,00;15,00;3,00;0,00
2020-02-23;52,00;728,00;13,00;26,00;52,00;14,00;9,00;0,00;9,00;3,00;0,00;0,00;3,00
2020-03-01;37,00;425,50;0,00;9,25;18,50;20,00;3,00;3,00;11,00;6,00;3,00;0,00;6,00
2020-03-08;44,00;330,00;0,00;22,00;22,00;17,00;0,00;3,00;11,00;0,00;0,00;0,00;3,00
2020-03-15;36,00;252,00;9,00;9,00;9,00;6,00;0,00;5,00;6,00;3,00;0,00;0,00;3,00
2020-03-22;13,00;130,00;6,50;6,50;6,50;5,00;3,00;3,00;8,00;5,00;0,00;0,00;0,00
2020-03-29;11,00;264,00;0,00;0,00;11,00;5,00;5,00;5,00;3,00;8,00;3,00;0,00;0,00
2020-04-05;6,00;108,00;0,00;6,00;6,00;11,00;0,00;0,00;6,00;0,00;3,00;0,00;3,00
2020-04-12;11,00;99,00;5,50;5,50;5,50;6,00;3,00;0,00;6,00;0,00;6,00;0,00;0,00
2020-04-19;16,00;144,00;0,00;8,00;8,00;16,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00
2020-04-26;11,00;154,00;0,00;11,00;11,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;14,00;112,00;0,00;7,00;14,00;6,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-05-10;14,00;140,00;0,00;7,00;7,00;8,00;0,00;5,00;3,00;0,00;0,00;0,00;0,00
2020-05-17;9,00;180,00;0,00;9,00;0,00;9,00;3,00;3,00;3,00;3,00;3,00;3,00;0,00
2020-05-24;9,00;162,00;0,00;9,00;18,00;12,00;9,00;6,00;3,00;3,00;6,00;0,00;0,00
2020-05-31;31,00;310,00;15,50;15,50;15,50;11,00;6,00;3,00;9,00;3,00;0,00;0,00;3,00
2020-06-07;37,00;185,00;0,00;9,25;18,50;11,00;6,00;6,00;6,00;3,00;0,00;0,00;0,00
2020-06-14;39,00;214,50;9,75;9,75;19,50;6,00;3,00;3,00;0,00;3,00;0,00;3,00;0,00
2020-06-21;31,00;310,00;15,50;15,50;15,50;22,00;3,00;0,00;3,00;12,00;3,00;6,00;0,00
2020-06-28;64,00;234,67;10,67;21,33;21,33;24,00;6,00;6,00;18,00;3,00;3,00;3,00;3,00
2020-07-05;57,00;209,00;0,00;19,00;19,00;22,00;16,00;0,00;3,00;9,00;9,00;0,00;3,00
2020-07-12;57,00;266,00;0,00;9,50;19,00;19,00;9,00;13,00;3,00;0,00;22,00;9,00;0,00
2020-07-19;68,00;272,00;11,33;11,33;22,67;16,00;13,00;6,00;0,00;3,00;16,00;3,00;0,00
2020-07-26;53,00;371,00;0,00;13,25;13,25;26,00;0,00;7,00;13,00;0,00;23,00;3,00;3,00
2020-08-02;52,00;338,00;0,00;26,00;26,00;13,00;0,00;3,00;3,00;6,00;6,00;3,00;3,00
2020-08-09;88,00;374,00;11,00;11,00;22,00;17,00;14,00;0,00;7,00;0,00;3,00;3,00;0,00
2020-08-16;58,00;232,00;0,00;9,67;19,33;24,00;14,00;0,00;10,00;0,00;3,00;3,00;0,00
2020-08-23;29,00;406,00;14,50;14,50;29,00;0,00;10,00;0,00;3,00;0,00;0,00;3,00;3,00
2020-08-30;24,00;288,00;0,00;12,00;12,00;3,00;0,00;3,00;6,00;3,00;3,00;6,00;6,00
2020-09-06;28,00;280,00;0,00;14,00;14,00;6,00;0,00;6,00;3,00;0,00;9,00;0,00;0,00
2020-09-13;15,00;150,00;0,00;15,00;7,50;15,00;9,00;3,00;3,00;6,00;12,00;0,00;0,00
2020-09-20;23,00;414,00;11,50;0,00;23,00;12,00;9,00;9,00;9,00;6,00;3,00;0,00;3,00
2020-09-27;12,00;168,00;0,00;12,00;0,00;9,00;3,00;0,00;3,00;3,00;6,00;3,00;0,00
2020-10-04;26,00;364,00;0,00;13,00;26,00;6,00;3,00;0,00;3,00;0,00;6,00;3,00;0,00
2020-10-11;13,00;143,00;0,00;13,00;6,50;16,00;0,00;6,00;3,00;0,00;3,00;3,00;0,00
2020-10-18;6,00;144,00;6,00;6,00;6,00;10,00;3,00;3,00;3,00;0,00;6,00;0,00;0,00
2020-10-25;45,00;337,50;0,00;11,25;11,25;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00
2020-11-01;15,00;615,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-08;15,00;210,00;7,50;7,50;0,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00
2020-11-15;6,00;96,00;0,00;6,00;12,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-22;9,00;198,00;0,00;18,00;0,00;9,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00
2020-11-29;12,00;132,00;6,00;6,00;6,00;6,00;6,00;3,00;0,00;0,00;6,00;0,00;0,00
2020-12-06;12,00;132,00;0,00;12,00;6,00;9,00;0,00;6,00;3,00;3,00;0,00;3,00;0,00
2020-12-13;19,00;190,00;0,00;9,50;9,50;13,00;3,00;3,00;3,00;0,00;3,00;0,00;3,00
2020-12-20;17,00;187,00;0,00;8,50;8,50;3,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00
2020-12-27;10,00;240,00;10,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;6,00;144,00;0,00;6,00;6,00;9,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00
2021-01-10;22,00;286,00;11,00;11,00;11,00;12,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00
2021-01-17;12,00;132,00;0,00;6,00;6,00;12,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00
2021-01-24;16,00;160,00;0,00;0,00;8,00;12,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00
2021-01-31;3,00;60,00;0,00;3,00;3,00;10,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;12,00;96,00;0,00;6,00;6,00;6,00;0,00;3,00;12,00;0,00;3,00;0,00;0,00
2021-02-14;13,00;117,00;0,00;6,50;6,50;13,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2021-02-21;23,00;207,00;0,00;11,50;11,50;7,00;7,00;0,00;7,00;7,00;0,00;0,00;0,00
2021-02-28;16,00;144,00;0,00;8,00;8,00;10,00;9,00;3,00;0,00;0,00;6,00;0,00;0,00
2021-03-07;3,00;66,00;0,00;3,00;6,00;9,00;3,00;3,00;3,00;3,00;6,00;3,00;0,00
2021-03-14;9,00;180,00;0,00;9,00;9,00;20,00;3,00;0,00;9,00;0,00;6,00;0,00;0,00
2021-03-21;13,00;117,00;0,00;6,50;6,50;16,00;3,00;3,00;0,00;0,00;6,00;0,00;0,00
2021-03-28;13,00;91,00;6,50;0,00;13,00;10,00;7,00;10,00;3,00;0,00;3,00;3,00;0,00
2021-04-04;23,00;230,00;0,00;11,50;11,50;13,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00
2021-04-11;6,00;108,00;0,00;6,00;6,00;6,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00
2021-04-18;13,00;117,00;0,00;6,50;6,50;9,00;3,00;0,00;13,00;3,00;6,00;0,00;0,00
2021-04-25;23,00;253,00;11,50;11,50;0,00;16,00;10,00;6,00;13,00;3,00;0,00;0,00;0,00
2021-05-02;16,00;160,00;8,00;16,00;8,00;13,00;7,00;0,00;7,00;0,00;3,00;0,00;0,00
2021-05-09;34,00;153,00;0,00;8,50;8,50;16,00;15,00;3,00;6,00;3,00;3,00;3,00;0,00
2021-05-16;29,00;348,00;0,00;14,50;783,00;6,00;16,00;6,00;10,00;3,00;3,00;0,00;0,00
2021-05-23;26,00;286,00;13,00;0,00;52,00;10,00;7,00;3,00;10,00;0,00;7,00;3,00;3,00
2021-05-30;27,00;540,00;0,00;13,50;13,50;20,00;7,00;3,00;7,00;3,00;0,00;0,00;0,00
2021-06-06;27,00;459,00;0,00;13,50;13,50;13,00;3,00;7,00;7,00;3,00;7,00;3,00;0,00
2021-06-13;45,00;337,50;11,25;11,25;22,50;28,00;7,00;3,00;7,00;3,00;0,00;3,00;0,00
2021-06-20;55,00;311,67;9,17;9,17;9,17;21,00;24,00;10,00;7,00;0,00;7,00;3,00;0,00
2021-06-27;28,00;476,00;0,00;0,00;14,00;31,00;14,00;7,00;14,00;3,00;7,00;0,00;0,00
2021-07-04;53,00;371,00;0,00;13,25;13,25;24,00;21,00;3,00;0,00;0,00;3,00;7,00;0,00
2021-07-11;31,00;558,00;15,50;0,00;31,00;24,00;3,00;0,00;3,00;7,00;0,00;0,00;0,00
2021-07-18;42,00;357,00;0,00;10,50;10,50;21,00;17,00;0,00;17,00;10,00;0,00;3,00;0,00
2021-07-25;100,00;320,00;10,00;0,00;20,00;27,00;14,00;3,00;7,00;3,00;14,00;0,00;0,00
2021-08-01;84,00;378,00;0,00;21,00;10,50;42,00;7,00;7,00;3,00;14,00;3,00;7,00;10,00
2021-08-08;45,00;675,00;11,25;22,50;22,50;41,00;26,00;7,00;7,00;0,00;11,00;0,00;0,00
2021-08-15;59,00;393,33;9,83;9,83;19,67;26,00;4,00;4,00;4,00;4,00;7,00;4,00;0,00
2021-08-22;54,00;675,00;13,50;13,50;27,00;25,00;4,00;0,00;11,00;0,00;7,00;0,00;0,00
2021-08-29;46,00;575,00;0,00;23,00;23,00;39,00;14,00;0,00;14,00;0,00;7,00;0,00;0,00
2021-09-05;43,00;559,00;0,00;10,75;21,50;39,00;18,00;7,00;7,00;4,00;7,00;0,00;0,00
2021-09-12;50,00;675,00;0,00;12,50;25,00;18,00;11,00;7,00;11,00;4,00;4,00;0,00;0,00
2021-09-19;62,00;578,67;10,33;20,67;20,67;7,00;14,00;0,00;4,00;0,00;7,00;4,00;0,00
2021-09-26;36,00;594,00;9,00;9,00;18,00;32,00;7,00;11,00;14,00;7,00;7,00;4,00;0,00
2021-10-03;59,00;550,67;9,83;19,67;9,83;16,00;3,00;3,00;3,00;3,00;8,00;5,00;8,00
2021-10-10;46,00;667,00;11,50;23,00;23,00;15,00;8,00;13,00;18,00;3,00;3,00;3,00;3,00
2021-10-17;33,00;544,50;8,25;16,50;8,25;15,00;5,00;2,00;8,00;0,00;5,00;0,00;2,00
2021-10-24;37,00;573,50;9,25;18,50;18,50;20,00;15,00;2,00;7,00;2,00;5,00;10,00;2,00
2021-10-31;51,00;2550,00;0,00;25,50;25,50;10,00;0,00;3,00;13,00;0,00;8,00;0,00;0,00
2021-11-07;53,00;1033,50;13,25;26,50;26,50;20,00;7,00;2,00;7,00;0,00;2,00;2,00;0,00
2021-11-14;38,00;570,00;0,00;19,00;19,00;18,00;0,00;3,00;5,00;0,00;5,00;0,00;2,00
2021-11-21;47,00;611,00;11,75;23,50;23,50;20,00;2,00;0,00;7,00;0,00;5,00;0,00;0,00
2021-11-28;28,00;672,00;0,00;28,00;14,00;13,00;10,00;2,00;5,00;0,00;0,00;0,00;0,00
2021-12-05;47,00;634,50;11,75;23,50;23,50;13,00;3,00;3,00;10,00;5,00;3,00;0,00;0,00
2021-12-12;29,00;986,00;14,50;29,00;29,00;14,00;6,00;3,00;9,00;0,00;6,00;3,00;3,00
2021-12-19;37,00;555,00;0,00;18,50;9,25;10,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00
2021-12-26;44,00;638,00;11,00;22,00;22,00;10,00;3,00;0,00;3,00;0,00;7,00;3,00;0,00
2022-01-02;43,00;537,50;0,00;21,50;21,50;25,00;9,00;3,00;9,00;3,00;0,00;3,00;0,00
2022-01-09;33,00;759,00;0,00;16,50;16,50;13,00;0,00;10,00;3,00;0,00;3,00;0,00;0,00
