Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-01-05;0,00;25,00;99,00;25,00;0,00;0,00;0,00;27,00;0,00
2020-01-12;52,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;0,00;74,00;25,00;0,00;0,00;0,00;27,00;0,00;0,00
2020-01-26;80,00;53,70;80,00;80,00;0,00;27,00;0,00;0,00;0,00
2020-02-02;27,00;27,00;27,00;27,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;53,00;26,50;0,00;26,50;0,00;0,00;0,00;26,00;0,00
2020-02-16;0,00;74,00;49,00;25,00;0,00;27,00;27,00;81,00;0,00
2020-02-23;0,00;24,00;24,00;24,00;0,00;26,00;0,00;0,00;26,00
2020-03-01;0,00;24,00;24,00;0,00;24,00;0,00;26,00;26,00;0,00
2020-03-08;25,00;100,00;100,00;0,00;0,00;25,00;0,00;100,00;0,00
2020-03-15;51,00;0,00;24,96;0,00;0,00;0,00;25,00;51,00;0,00
2020-03-22;25,00;25,00;75,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;67,00;0,00;0,00;24,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;23,00;94,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;23,00;0,00;0,00;0,00;25,00;0,00
2020-04-26;0,00;0,00;0,00;0,00;0,00;0,00;48,00;24,00;0,00
2020-05-03;25,00;25,00;0,00;50,00;0,00;0,00;25,00;0,00;0,00
2020-05-10;96,00;0,00;72,00;48,00;24,00;0,00;0,00;72,00;0,00
2020-05-17;25,00;25,00;25,00;98,91;0,00;0,00;0,00;25,00;0,00
2020-05-24;0,00;22,00;44,00;22,00;0,00;24,00;24,00;0,00;0,00
2020-05-31;46,00;0,00;0,00;22,47;0,00;0,00;0,00;23,00;0,00
2020-06-07;23,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;23,00
2020-06-14;47,00;23,50;0,00;0,00;0,00;24,00;0,00;71,00;0,00
2020-06-21;49,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00
2020-06-28;48,00;0,00;0,00;24,00;0,00;0,00;0,00;24,00;0,00
2020-07-05;0,00;68,00;0,00;23,00;0,00;0,00;0,00;25,00;0,00
2020-07-12;27,00;0,00;27,00;52,92;0,00;0,00;0,00;0,00;0,00
2020-07-19;54,00;27,00;0,00;0,00;0,00;0,00;27,00;54,00;27,00
2020-07-26;28,00;0,00;0,00;0,00;0,00;0,00;0,00;55,00;0,00
2020-08-02;56,00;0,00;0,00;56,00;0,00;0,00;0,00;28,00;0,00
2020-08-09;0,00;0,00;0,00;0,00;0,00;27,00;0,00;27,00;0,00
2020-08-16;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00
2020-08-23;26,00;53,13;0,00;53,13;0,00;0,00;0,00;26,00;26,00
2020-08-30;25,00;75,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00
2020-09-06;25,00;51,09;25,00;25,00;0,00;0,00;0,00;0,00;0,00
2020-09-13;0,00;0,00;24,00;73,00;0,00;0,00;0,00;53,00;0,00
2020-09-20;0,00;0,00;23,00;0,00;0,00;0,00;26,00;26,00;0,00
2020-09-27;26,00;0,00;0,00;26,00;0,00;26,00;26,00;0,00;0,00
2020-10-04;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;26,00
2020-10-11;56,00;28,55;28,55;56,00;0,00;0,00;0,00;28,00;0,00
2020-10-18;55,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00
2020-10-25;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;0,00;0,00;0,00;24,00;0,00;0,00;0,00;26,00;0,00
2020-11-08;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;0,00;0,00;0,00;25,00;0,00;0,00;0,00;27,00;0,00
2020-11-22;53,00;27,04;27,04;27,04;0,00;0,00;0,00;27,00;0,00
2020-11-29;0,00;0,00;0,00;25,00;0,00;0,00;0,00;28,00;28,00
2020-12-06;0,00;77,00;26,00;26,00;0,00;0,00;0,00;28,00;0,00
2020-12-13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00
2020-12-20;30,00;0,00;0,00;30,00;0,00;0,00;30,00;30,00;0,00
2020-12-27;0,00;27,00;27,00;27,00;0,00;0,00;0,00;0,00;0,00
2021-01-03;27,00;0,00;27,00;52,92;0,00;0,00;0,00;0,00;0,00
2021-01-10;27,00;0,00;0,00;109,13;0,00;0,00;0,00;79,00;0,00
2021-01-17;26,00;26,00;26,00;26,00;0,00;26,00;0,00;0,00;26,00
2021-01-24;0,00;24,00;24,00;72,00;24,00;0,00;0,00;26,00;0,00
2021-01-31;27,00;27,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00
2021-02-07;0,00;0,00;52,00;0,00;0,00;0,00;0,00;28,00;28,00
2021-02-14;0,00;25,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;27,00;0,00;27,00;0,00;0,00;27,00;0,00;0,00;27,00
2021-02-28;0,00;0,00;25,00;25,00;0,00;0,00;0,00;27,00;0,00
2021-03-07;0,00;0,00;0,00;24,00;0,00;0,00;0,00;52,00;0,00
2021-03-14;0,00;0,00;23,00;0,00;0,00;0,00;0,00;74,00;0,00
2021-03-21;26,00;0,00;26,00;79,08;0,00;0,00;0,00;53,00;0,00
2021-03-28;28,00;28,00;0,00;0,00;0,00;0,00;0,00;55,00;0,00
2021-04-04;27,00;0,00;27,00;0,00;0,00;0,00;0,00;54,00;0,00
2021-04-11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;0,00;0,00;0,00;25,00;25,00;0,00;0,00;55,00;0,00
2021-04-25;0,00;51,00;0,00;25,00;0,00;0,00;28,00;28,00;0,00
2021-05-02;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;27,00;27,00;54,00;81,00;0,00;0,00;0,00;54,00;0,00
2021-05-16;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;27,00;0,00;0,00;108,00;0,00;0,00;0,00;27,00;0,00
2021-05-30;28,00;28,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00
2021-06-06;0,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00
2021-06-13;0,00;0,00;0,00;49,00;0,00;0,00;0,00;53,00;0,00
2021-06-20;54,00;0,00;0,00;27,55;0,00;0,00;0,00;0,00;0,00
2021-06-27;55,00;27,50;27,50;0,00;0,00;0,00;27,00;55,00;0,00
2021-07-04;0,00;0,00;0,00;51,00;0,00;0,00;0,00;28,00;0,00
2021-07-11;29,00;59,12;29,00;59,12;29,00;0,00;0,00;86,00;0,00
2021-07-18;61,00;30,50;0,00;0,00;0,00;0,00;0,00;61,00;0,00
2021-07-25;30,00;30,00;0,00;30,00;0,00;0,00;0,00;89,00;0,00
2021-08-01;31,00;31,00;31,00;31,00;0,00;0,00;0,00;62,00;0,00
2021-08-08;32,00;32,00;0,00;32,00;0,00;0,00;32,00;32,00;0,00
2021-08-15;30,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;0,00;29,00;0,00;0,00;0,00;0,00;0,00;31,00;31,00
2021-08-29;62,00;30,46;62,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-05;32,00;0,00;32,00;0,00;0,00;0,00;0,00;32,00;0,00
2021-09-12;31,00;0,00;31,00;31,00;0,00;31,00;0,00;62,00;0,00
2021-09-19;32,00;32,00;0,00;0,00;0,00;0,00;32,00;31,00;0,00
2021-09-26;30,00;30,00;0,00;0,00;0,00;0,00;30,00;30,00;0,00
2021-10-03;44,00;22,00;44,00;22,00;0,00;0,00;22,00;0,00;0,00
2021-10-10;20,00;61,11;41,11;20,00;0,00;0,00;20,00;60,00;0,00
2021-10-17;40,00;0,00;19,46;19,46;0,00;0,00;0,00;100,00;0,00
2021-10-24;20,00;40,00;0,00;20,00;0,00;0,00;0,00;40,00;0,00
2021-10-31;20,00;20,00;0,00;0,00;0,00;0,00;0,00;59,00;0,00
2021-11-07;39,00;0,00;0,00;0,00;0,00;0,00;0,00;39,00;0,00
2021-11-14;39,00;19,50;0,00;39,00;0,00;0,00;19,00;0,00;19,00
2021-11-21;19,00;96,12;0,00;0,00;0,00;0,00;19,00;19,00;0,00
2021-11-28;19,00;39,12;39,12;0,00;0,00;0,00;19,00;38,00;0,00
2021-12-05;0,00;0,00;0,00;18,00;18,00;20,00;0,00;20,00;0,00
2021-12-12;61,00;20,70;40,30;80,61;0,00;0,00;0,00;40,00;0,00
2021-12-19;0,00;40,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00
2021-12-26;46,00;68,47;90,93;22,47;22,47;23,00;0,00;70,00;0,00
2022-01-02;22,00;66,00;0,00;22,00;0,00;22,00;0,00;22,00;0,00
2022-01-09;24,00;70,91;24,00;48,00;0,00;0,00;0,00;71,00;0,00
