Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;53,00;180,82;81,06;162,12;0,00;11,00;8,00;15,00;15,00
2019-01-13;49,00;150,06;61,25;131,69;6,13;4,00;19,00;27,00;19,00
2019-01-20;45,00;106,07;51,43;122,14;3,21;7,00;7,00;4,00;7,00
2019-01-27;26,00;97,50;39,00;113,75;3,25;7,00;11,00;18,00;7,00
2019-02-03;41,00;116,69;41,00;91,46;12,62;0,00;8,00;23,00;4,00
2019-02-10;42,00;126,00;58,15;90,46;0,00;11,00;15,00;8,00;4,00
2019-02-17;16,00;70,40;73,60;102,40;3,20;8,00;8,00;24,00;4,00
2019-02-24;38,00;72,83;53,83;91,83;6,33;4,00;11,00;15,00;11,00
2019-03-03;35,00;82,73;73,18;105,00;0,00;12,00;8,00;12,00;8,00
2019-03-10;30,00;99,00;60,00;105,00;0,00;8,00;19,00;8,00;8,00
2019-03-17;31,00;111,60;40,30;96,10;12,40;12,00;12,00;16,00;12,00
2019-03-24;24,00;126,86;41,14;168,00;6,86;16,00;16,00;12,00;4,00
2019-03-31;19,00;95,00;53,83;139,33;0,00;4,00;23,00;12,00;4,00
2019-04-07;12,00;69,00;30,00;90,00;0,00;8,00;8,00;12,00;4,00
2019-04-14;38,00;98,17;53,83;107,67;3,17;8,00;25,00;13,00;8,00
2019-04-21;24,00;72,00;24,00;114,00;0,00;4,00;12,00;4,00;0,00
2019-04-28;26,00;61,75;61,75;84,50;3,25;11,00;52,00;11,00;11,00
2019-05-05;37,00;49,33;46,25;74,00;3,08;4,00;0,00;7,00;15,00
2019-05-12;15,00;75,00;21,00;87,00;3,00;0,00;31,00;4,00;8,00
2019-05-19;37,00;52,42;24,67;148,00;3,08;22,00;26,00;7,00;4,00
2019-05-26;29,00;67,67;29,00;87,00;3,22;4,00;15,00;7,00;0,00
2019-06-02;21,00;63,00;33,00;78,00;6,00;4,00;11,00;0,00;4,00
2019-06-09;25,00;71,88;21,88;93,75;3,13;22,00;7,00;7,00;11,00
2019-06-16;30,00;66,67;56,67;130,00;0,00;4,00;7,00;8,00;19,00
2019-06-23;28,00;65,33;31,11;115,11;0,00;4,00;40,00;4,00;20,00
2019-06-30;45,00;57,86;32,14;131,79;0,00;4,00;16,00;4,00;12,00
2019-07-07;28,00;99,56;21,78;90,22;0,00;8,00;12,00;4,00;12,00
2019-07-14;46,00;138,00;82,14;147,86;9,86;17,00;8,00;0,00;8,00
2019-07-21;39,00;130,00;84,50;143,00;0,00;4,00;13,00;9,00;9,00
2019-07-28;25,00;93,75;56,25;87,50;3,13;4,00;8,00;17,00;17,00
2019-08-04;17,00;74,80;74,80;108,80;3,40;4,00;12,00;21,00;21,00
2019-08-11;28,00;112,00;46,67;136,89;0,00;0,00;16,00;4,00;0,00
2019-08-18;61,00;99,53;48,16;102,74;3,21;0,00;16,00;8,00;8,00
2019-08-25;46,00;104,27;70,53;98,13;3,07;4,00;12,00;19,00;0,00
2019-09-01;19,00;60,17;47,50;98,17;3,17;8,00;4,00;15,00;8,00
2019-09-08;100,00;77,42;45,16;141,94;0,00;0,00;12,00;0,00;8,00
2019-09-15;37,00;83,25;61,67;154,17;0,00;0,00;7,00;15,00;7,00
2019-09-22;26,00;100,75;52,00;110,50;3,25;4,00;15,00;4,00;7,00
2019-09-29;29,00;61,22;74,11;109,56;0,00;4,00;14,00;4,00;0,00
2019-10-06;32,00;67,20;35,20;124,80;3,20;4,00;25,00;7,00;7,00
2019-10-13;36,00;98,18;39,27;114,55;9,82;4,00;7,00;7,00;7,00
2019-10-20;44,00;138,29;72,29;147,71;3,14;0,00;65,00;18,00;14,00
2019-10-27;19,00;88,67;57,00;107,67;0,00;4,00;22,00;7,00;0,00
2019-11-03;28,00;90,22;80,89;121,33;3,11;3,00;21,00;11,00;3,00
2019-11-10;4,00;156,00;72,00;144,00;0,00;0,00;25,00;14,00;7,00
2019-11-17;11,00;179,67;73,33;113,67;7,33;7,00;43,00;15,00;4,00
2019-11-24;34,00;89,64;71,09;108,18;0,00;10,00;7,00;21,00;0,00
2019-12-01;25,00;150,00;68,75;118,75;15,63;11,00;14,00;7,00;4,00
2019-12-08;49,00;127,40;84,93;114,33;0,00;7,00;31,00;10,00;3,00
2019-12-15;59,00;173,89;80,74;105,58;0,00;10,00;14,00;7,00;10,00
2019-12-22;57,00;142,50;76,00;110,83;0,00;8,00;4,00;11,00;4,00
2019-12-29;49,00;169,87;75,13;114,33;6,53;8,00;15,00;8,00;15,00
2020-01-05;37,00;151,08;135,67;114,08;6,17;10,00;13,00;17,00;0,00
2020-01-12;33,00;191,40;118,80;112,20;3,30;3,00;16,00;16,00;0,00
2020-01-19;20,00;156,67;80,00;120,00;3,33;7,00;14,00;10,00;7,00
2020-01-26;24,00;161,14;89,14;109,71;6,86;7,00;24,00;10,00;3,00
2020-02-02;58,00;157,89;74,11;87,00;0,00;0,00;10,00;14,00;3,00
2020-02-09;33,00;204,60;99,00;132,00;3,30;3,00;13,00;3,00;3,00
2020-02-16;40,00;126,15;83,08;156,92;6,15;0,00;10,00;3,00;7,00
2020-02-23;37,00;151,08;49,33;120,25;0,00;3,00;7,00;3,00;0,00
2020-03-01;26,00;165,75;100,75;100,75;0,00;7,00;13,00;13,00;20,00
2020-03-08;29,00;132,11;67,67;161,11;3,22;3,00;10,00;0,00;3,00
2020-03-15;13,00;97,50;45,50;159,25;0,00;3,00;13,00;10,00;13,00
2020-03-22;25,00;71,88;31,25;103,13;6,25;3,00;19,00;3,00;3,00
2020-03-29;31,00;37,20;43,40;96,10;3,10;6,00;28,00;0,00;0,00
2020-04-05;49,00;81,67;29,40;104,53;0,00;0,00;29,00;13,00;0,00
2020-04-12;25,00;46,88;40,63;162,50;0,00;3,00;13,00;9,00;6,00
2020-04-19;21,00;57,00;24,00;108,00;0,00;6,00;33,00;9,00;6,00
2020-04-26;30,00;60,00;26,67;83,33;0,00;0,00;21,00;6,00;9,00
2020-05-03;18,00;51,00;12,00;93,00;6,00;9,00;51,00;6,00;3,00
2020-05-10;36,00;49,09;19,64;104,73;0,00;6,00;12,00;0,00;3,00
2020-05-17;34,00;27,82;15,45;77,27;3,09;12,00;16,00;9,00;3,00
2020-05-24;37,00;55,50;40,08;74,00;3,08;0,00;28,00;0,00;6,00
2020-05-31;23,00;72,29;26,29;101,86;0,00;3,00;9,00;3,00;9,00
2020-06-07;26,00;55,25;39,00;55,25;6,50;0,00;9,00;0,00;9,00
2020-06-14;18,00;57,00;39,00;72,00;3,00;0,00;36,00;3,00;6,00
2020-06-21;25,00;40,63;43,75;84,38;6,25;3,00;38,00;3,00;6,00
2020-06-28;53,00;68,59;34,29;81,06;3,12;3,00;16,00;3,00;0,00
2020-07-05;23,00;78,86;55,86;78,86;3,29;3,00;16,00;7,00;0,00
2020-07-12;38,00;120,33;44,33;44,33;3,17;7,00;3,00;10,00;3,00
2020-07-19;37,00;74,00;46,25;95,58;0,00;7,00;4,00;0,00;4,00
2020-07-26;24,00;96,00;36,00;90,00;6,00;0,00;21,00;14,00;3,00
2020-08-02;20,00;140,00;50,00;100,00;6,67;3,00;7,00;7,00;0,00
2020-08-09;51,00;66,94;57,38;92,44;3,19;6,00;19,00;13,00;0,00
2020-08-16;32,00;128,00;41,60;134,40;3,20;3,00;16,00;3,00;3,00
