Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;100,00;94,74;57,89;105,26;0,00;4,00;0,00;15,00;4,00
2019-01-13;31,00;79,22;37,89;87,83;0,00;16,00;8,00;16,00;8,00
2019-01-20;50,00;72,41;34,48;118,97;0,00;8,00;16,00;4,00;19,00
2019-01-27;19,00;74,27;38,00;82,91;0,00;4,00;15,00;27,00;8,00
2019-02-03;40,00;66,09;50,43;116,52;0,00;16,00;0,00;20,00;36,00
2019-02-10;40,00;59,13;19,13;140,87;0,00;12,00;12,00;24,00;12,00
2019-02-17;36,00;54,86;58,29;123,43;0,00;8,00;20,00;16,00;8,00
2019-02-24;24,00;96,00;66,46;112,62;0,00;8,00;12,00;12,00;8,00
2019-03-03;38,00;50,67;23,52;90,48;3,62;4,00;11,00;4,00;8,00
2019-03-10;31,00;29,28;63,72;80,94;0,00;8,00;4,00;35,00;23,00
2019-03-17;36,00;52,20;19,80;82,80;3,60;4,00;8,00;8,00;0,00
2019-03-24;24,00;46,29;12,00;63,43;3,43;12,00;0,00;24,00;8,00
2019-03-31;47,00;43,52;12,19;74,85;15,67;4,00;0,00;4,00;4,00
2019-04-07;19,00;84,64;25,91;74,27;3,45;4,00;26,00;7,00;0,00
2019-04-14;35,00;78,75;8,75;110,25;0,00;4,00;4,00;9,00;0,00
2019-04-21;39,00;65,59;35,45;97,50;0,00;4,00;13,00;4,00;9,00
2019-04-28;68,00;33,13;6,97;64,51;3,49;11,00;8,00;8,00;0,00
2019-05-05;23,00;26,54;23,00;84,92;0,00;0,00;8,00;0,00;11,00
2019-05-12;39,00;46,09;23,05;86,86;0,00;4,00;8,00;0,00;4,00
2019-05-19;27,00;36,00;19,80;88,20;0,00;8,00;4,00;12,00;4,00
2019-05-26;46,00;46,00;21,23;47,77;0,00;4,00;0,00;17,00;4,00
2019-06-02;31,00;46,50;27,56;80,94;0,00;8,00;12,00;4,00;4,00
2019-06-09;47,00;50,48;22,63;78,33;0,00;4,00;4,00;4,00;12,00
2019-06-16;36,00;36,00;39,43;63,43;8,57;0,00;0,00;8,00;0,00
2019-06-23;38,00;20,73;29,36;84,64;0,00;13,00;17,00;13,00;4,00
2019-06-30;37,00;49,33;21,14;98,67;0,00;4,00;16,00;4,00;0,00
2019-07-07;51,00;54,52;21,10;80,90;12,31;17,00;21,00;17,00;4,00
2019-07-14;27,00;59,40;37,80;61,20;0,00;5,00;9,00;18,00;23,00
2019-07-21;43,00;34,04;28,67;107,50;5,38;0,00;19,00;9,00;14,00
2019-07-28;39,00;83,32;39,00;134,73;0,00;0,00;5,00;15,00;5,00
2019-08-04;36,00;53,14;30,86;116,57;0,00;0,00;14,00;9,00;14,00
2019-08-11;66,00;37,46;28,54;156,97;0,00;8,00;21,00;8,00;8,00
2019-08-18;44,00;54,56;22,88;80,96;3,52;8,00;12,00;0,00;16,00
2019-08-25;44,00;82,72;28,16;124,96;3,52;0,00;4,00;4,00;0,00
2019-09-01;30,00;67,06;49,41;79,41;0,00;0,00;15,00;11,00;4,00
2019-09-08;59,00;32,18;28,61;80,45;3,58;12,00;4,00;8,00;0,00
2019-09-15;32,00;80,00;7,11;101,33;3,56;8,00;4,00;8,00;8,00
2019-09-22;62,00;74,40;42,51;95,66;0,00;0,00;8,00;12,00;4,00
2019-09-29;35,00;63,00;38,50;106,75;0,00;0,00;24,00;4,00;8,00
2019-10-06;43,00;34,40;27,52;125,56;6,88;12,00;8,00;4,00;4,00
2019-10-13;19,00;79,45;34,55;103,64;0,00;4,00;4,00;4,00;12,00
2019-10-20;30,00;67,06;19,41;111,18;0,00;4,00;61,00;4,00;8,00
2019-10-27;33,00;69,47;39,95;99,00;0,00;0,00;22,00;15,00;11,00
2019-11-03;52,00;43,33;46,80;126,53;0,00;19,00;7,00;11,00;7,00
2019-11-10;41,00;71,30;23,17;96,26;0,00;4,00;19,00;7,00;7,00
2019-11-17;48,00;33,78;30,22;90,67;3,56;7,00;49,00;7,00;7,00
2019-11-24;37,00;58,14;7,05;74,00;3,52;15,00;7,00;7,00;11,00
2019-12-01;15,00;61,67;21,67;61,67;3,33;8,00;8,00;11,00;8,00
2019-12-08;52,00;57,38;71,72;107,59;7,17;4,00;19,00;22,00;15,00
2019-12-15;68,00;97,64;29,64;102,87;3,49;4,00;8,00;15,00;8,00
2019-12-22;45,00;102,12;79,62;95,19;8,65;18,00;9,00;18,00;18,00
2019-12-29;79,00;87,78;43,89;115,87;0,00;22,00;0,00;22,00;31,00
2020-01-05;61,00;81,91;50,54;108,06;10,46;22,00;4,00;22,00;4,00
2020-01-12;60,00;60,00;38,82;90,00;14,12;14,00;4,00;28,00;11,00
2020-01-19;57,00;67,69;60,56;110,44;0,00;7,00;4,00;14,00;14,00
2020-01-26;39,00;65,59;46,09;95,73;0,00;4,00;14,00;7,00;11,00
2020-02-02;57,00;60,56;71,25;90,84;0,00;4,00;7,00;14,00;32,00
2020-02-09;46,00;79,62;60,15;79,62;0,00;4,00;14,00;14,00;7,00
2020-02-16;33,00;71,21;27,79;72,95;3,47;14,00;7,00;11,00;14,00
2020-02-23;51,00;58,03;24,62;31,66;0,00;3,00;14,00;7,00;3,00
2020-03-01;24,00;44,57;20,57;78,86;3,43;7,00;11,00;17,00;3,00
