Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;30,00;24,00;4,00;25,00;7,00;40,00;6,67;3,33;18,33;3,53;68,82;65,29;17,65;4,74;9,47;47,37;3,16;7,50;9,00;15,00;18,00
2019-01-13;34,00;30,00;7,00;25,00;11,00;46,95;6,48;1,62;17,81;5,37;51,89;64,42;14,32;6,18;9,27;61,82;3,09;47,30;7,39;22,17;19,22
2019-01-20;36,00;23,00;7,00;24,00;10,00;42,26;6,26;3,13;18,78;3,60;55,80;64,80;14,40;9,39;10,96;79,83;1,57;23,04;7,20;21,60;21,60
2019-01-27;37,00;24,00;3,00;16,00;5,00;43,43;4,83;3,22;19,30;1,76;74,00;72,24;10,57;4,63;9,25;72,46;4,63;2,96;54,76;7,40;16,28
2019-02-03;41,00;27,00;5,00;14,00;3,00;44,15;7,88;3,15;25,23;3,57;65,96;78,43;12,48;4,56;6,07;57,70;6,07;5,86;45,39;7,32;11,71
2019-02-10;50,00;32,00;5,00;15,00;5,00;45,16;11,29;1,61;25,81;3,57;62,50;87,50;12,50;4,69;7,81;59,38;7,81;2,94;66,18;10,29;14,71
2019-02-17;49,00;30,00;7,00;17,00;6,00;47,37;13,07;3,27;35,93;9,07;68,96;81,67;12,70;3,16;7,90;67,97;4,74;2,97;57,91;5,94;11,88
2019-02-24;61,00;41,00;8,00;15,00;4,00;49,76;9,63;4,82;27,29;5,38;57,41;82,53;10,76;1,56;3,13;57,87;4,69;5,95;46,12;7,44;11,90
2019-03-03;52,00;35,00;8,00;11,00;3,00;50,38;14,63;4,88;24,38;7,17;44,83;78,90;7,17;3,15;4,73;58,30;7,88;4,46;44,57;8,91;17,83
2019-03-10;46,00;28,00;5,00;18,00;3,00;44,41;14,28;4,76;22,21;3,54;44,23;79,62;8,85;3,07;3,07;47,53;4,60;4,45;47,48;10,39;16,32
2019-03-17;60,00;40,00;5,00;20,00;4,00;55,14;11,35;3,24;25,95;12,35;40,59;79,41;10,59;4,74;6,32;56,84;6,32;6,00;48,00;7,50;15,00
2019-03-24;65,00;38,00;4,00;14,00;6,00;45,50;9,75;4,88;22,75;8,78;45,68;86,08;8,78;3,10;3,10;69,64;7,74;2,95;47,27;8,86;16,25
2019-03-31;53,00;40,00;9,00;26,00;13,00;53,00;11,24;4,82;22,48;21,20;51,23;77,73;14,13;4,68;3,12;73,26;6,24;5,89;8,83;22,08;22,08
2019-04-07;63,00;48,00;6,00;30,00;16,00;61,38;16,15;4,85;25,85;14,40;52,20;93,60;28,80;4,73;1,58;75,60;6,30;10,50;7,50;28,50;28,50
2019-04-14;62,00;49,00;11,00;28,00;18,00;68,53;19,58;6,53;29,37;15,94;67,31;93,89;24,80;7,75;3,10;91,45;4,65;10,33;8,86;35,43;29,52
2019-04-21;66,00;53,00;10,00;39,00;20,00;74,05;17,71;6,44;19,32;12,49;64,22;98,11;19,62;6,29;4,71;69,14;6,29;7,33;8,80;35,20;33,73
2019-04-28;65,00;50,00;10,00;36,00;20,00;61,83;14,27;4,76;19,02;5,27;61,49;96,62;22,84;10,83;3,10;71,19;6,19;13,30;11,82;33,98;32,50
2019-05-05;63,00;41,00;8,00;32,00;17,00;61,38;21,00;6,46;29,08;9,00;45,00;88,20;19,80;9,45;4,73;72,45;6,30;7,50;9,00;30,00;27,00
2019-05-12;51,00;38,00;8,00;26,00;19,00;54,19;12,75;4,78;15,94;5,28;45,72;82,66;17,59;9,27;1,55;69,55;6,18;10,20;5,83;30,60;24,77
2019-05-19;59,00;39,00;6,00;29,00;19,00;57,41;17,54;7,97;19,14;5,36;51,85;75,09;17,88;9,32;3,11;69,87;6,21;7,38;10,33;26,55;26,55
2019-05-26;77,00;45,00;11,00;31,00;20,00;77,00;22,46;4,81;28,88;12,53;69,84;94,91;28,65;7,86;3,14;94,29;7,86;10,37;11,85;35,54;32,58
2019-06-02;48,00;29,00;15,00;34,00;18,00;65,60;12,80;4,80;22,40;7,11;58,67;101,33;23,11;10,84;3,10;106,84;6,19;10,50;12,00;33,00;30,00
2019-06-09;65,00;41,00;12,00;31,00;20,00;60,24;11,10;4,76;26,95;8,78;56,22;93,11;15,81;9,29;3,10;78,93;6,19;7,39;10,34;31,02;33,98
2019-06-16;56,00;38,00;10,00;33,00;18,00;70,40;14,40;4,80;28,80;7,23;57,81;102,97;21,68;4,67;1,56;74,67;6,22;8,84;10,32;35,37;35,37
2019-06-23;50,00;32,00;11,00;37,00;21,00;66,13;16,13;3,23;27,42;10,71;60,71;105,36;25,00;6,25;3,13;89,06;4,69;13,24;7,35;32,35;35,29
2019-06-30;58,00;37,00;13,00;34,00;19,00;93,44;17,72;6,44;30,61;7,03;58,00;100,18;22,85;7,84;4,70;105,03;7,84;13,38;13,38;28,26;46,10
2019-07-07;60,00;42,00;13,00;34,00;22,00;93,16;15,79;6,32;31,58;15,88;86,47;114,71;22,94;9,23;4,62;87,69;7,69;11,71;20,49;32,20;55,61
2019-07-14;82,00;52,00;14,00;36,00;23,00;110,94;19,29;8,04;36,98;12,48;74,87;121,22;28,52;9,46;3,15;107,23;11,04;14,91;13,42;32,80;59,64
2019-07-21;68,00;40,00;16,00;43,00;29,00;102,00;16,19;8,10;43,71;14,32;82,32;134,21;25,05;12,65;4,74;113,86;9,49;22,17;14,78;31,04;62,09
2019-07-28;87,00;52,00;15,00;47,00;28,00;114,39;20,94;8,06;49,94;23,08;85,22;143,82;31,96;15,54;7,77;111,86;17,09;14,75;19,17;32,44;64,88
2019-08-04;94,00;69,00;19,00;58,00;42,00;140,20;25,49;9,56;54,17;21,28;83,36;148,98;33,70;17,23;4,70;130,03;10,97;16,16;20,56;27,91;71,97
2019-08-11;96,00;62,00;20,00;46,00;36,00;131,20;24,00;8,00;52,80;24,89;96,00;161,78;37,33;18,58;3,10;119,23;15,48;14,77;22,15;28,06;78,28
2019-08-18;88,00;55,00;13,00;35,00;26,00;96,00;20,80;14,40;54,40;14,08;75,68;128,48;29,92;15,71;6,29;108,43;7,86;14,67;17,60;33,73;58,67
2019-08-25;71,00;41,00;8,00;30,00;17,00;79,07;11,30;4,84;29,05;14,20;65,68;115,38;23,08;12,35;4,63;77,17;4,63;13,31;13,31;31,06;38,46
2019-09-01;59,00;38,00;8,00;31,00;14,00;50,81;13,11;3,28;16,39;7,15;53,64;98,33;17,88;6,21;3,11;76,08;4,66;14,75;8,85;28,03;30,98
2019-09-08;47,00;24,00;12,00;30,00;18,00;48,62;12,97;1,62;12,97;5,22;59,19;100,96;19,15;10,97;3,13;61,10;3,13;17,63;8,81;26,44;23,50
2019-09-15;44,00;29,00;9,00;25,00;15,00;52,15;9,78;3,26;19,56;5,28;56,32;95,04;15,84;9,43;3,14;69,14;4,71;7,33;10,27;33,73;27,87
2019-09-22;44,00;29,00;10,00;21,00;11,00;34,57;4,71;1,57;14,14;7,04;63,36;89,76;15,84;7,86;3,14;77,00;3,14;11,73;5,87;26,40;20,53
