Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;22,00;34,00;23,00;25,00;22,00;15,00;16,00;12,00;29,00;14,00;8,00;19,00;2,00;12,00;16,00;11,00;5,00;10,00;7,00;10,00;14,00;6,00;20,00;13,00;3,00;6,00;8,00
2019-01-13;51,00;24,00;43,00;28,00;28,00;26,00;16,00;17,00;10,00;27,00;13,00;8,00;19,00;2,00;11,00;16,00;13,00;8,00;12,00;10,00;12,00;11,00;8,00;22,00;15,00;2,00;5,00;8,00
2019-01-20;45,00;22,00;35,00;24,00;24,00;23,00;18,00;16,00;12,00;23,00;15,00;9,00;17,00;2,00;23,00;17,00;10,00;7,00;13,00;7,00;12,00;14,00;7,00;29,00;17,00;4,00;11,00;11,00
2019-01-27;48,00;25,00;37,00;38,00;27,00;28,00;21,00;18,00;14,00;29,00;20,00;9,00;20,00;8,00;15,00;18,00;13,00;9,00;14,00;10,00;14,00;7,00;8,00;26,00;17,00;2,00;10,00;9,00
2019-02-03;49,00;25,00;39,00;31,00;27,00;31,00;22,00;19,00;12,00;28,00;17,00;10,00;21,00;9,00;14,00;19,00;14,00;5,00;13,00;7,00;12,00;4,00;7,00;25,00;14,00;3,00;9,00;9,00
2019-02-10;52,00;24,00;31,00;27,00;27,00;27,00;23,00;20,00;10,00;28,00;16,00;7,00;19,00;6,00;19,00;29,00;15,00;7,00;15,00;7,00;13,00;4,00;8,00;26,00;14,00;2,00;7,00;7,00
2019-02-17;51,00;28,00;38,00;27,00;25,00;31,00;18,00;18,00;12,00;25,00;16,00;13,00;18,00;8,00;15,00;36,00;14,00;7,00;16,00;8,00;14,00;3,00;7,00;26,00;13,00;2,00;8,00;7,00
2019-02-24;50,00;24,00;40,00;26,00;30,00;31,00;26,00;18,00;10,00;26,00;19,00;12,00;19,00;7,00;15,00;23,00;15,00;7,00;13,00;8,00;12,00;3,00;5,00;24,00;11,00;2,00;8,00;7,00
2019-03-03;54,00;24,00;30,00;20,00;28,00;28,00;20,00;20,00;8,00;23,00;15,00;7,00;13,00;5,00;14,00;18,00;13,00;4,00;12,00;8,00;12,00;3,00;6,00;24,00;10,00;1,00;7,00;6,00
2019-03-10;53,00;26,00;38,00;22,00;28,00;30,00;18,00;16,00;8,00;24,00;14,00;6,00;16,00;5,00;11,00;16,00;10,00;6,00;12,00;9,00;11,00;3,00;4,00;13,00;8,00;1,00;6,00;4,00
