Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;55,00;465,00;15,00;5,00;20,00;14,00;23,00;9,00;20,00;5,00;10,00;5,00;2,00
2019-01-13;57,00;408,50;9,50;9,50;14,25;19,00;22,00;11,00;16,00;9,00;7,00;5,00;2,00
2019-01-20;54,00;387,82;9,82;9,82;19,64;12,00;23,00;11,00;17,00;5,00;17,00;3,00;1,00
2019-01-27;49,00;367,50;14,70;9,80;19,60;17,00;23,00;8,00;14,00;6,00;9,00;5,00;2,00
2019-02-03;50,00;395,00;10,00;10,00;20,00;14,00;24,00;11,00;15,00;9,00;11,00;5,00;2,00
2019-02-10;51,00;408,00;10,20;5,10;15,30;17,00;21,00;6,00;16,00;7,00;9,00;4,00;3,00
2019-02-17;53,00;380,64;9,64;9,64;14,45;17,00;23,00;10,00;19,00;6,00;8,00;7,00;2,00
2019-02-24;54,00;368,18;9,82;4,91;14,73;16,00;22,00;8,00;14,00;7,00;9,00;5,00;2,00
2019-03-03;58,00;377,00;14,50;9,67;14,50;24,00;26,00;9,00;18,00;8,00;11,00;5,00;1,00
2019-03-10;64,00;384,00;9,85;14,77;14,77;17,00;23,00;6,00;14,00;6,00;9,00;2,00;2,00
2019-03-17;60,00;390,00;10,00;10,00;20,00;19,00;24,00;6,00;12,00;8,00;6,00;4,00;2,00
2019-03-24;59,00;339,25;9,83;9,83;14,75;18,00;24,00;10,00;16,00;5,00;6,00;5,00;1,00
2019-03-31;72,00;345,60;9,60;9,60;19,20;17,00;30,00;11,00;15,00;9,00;9,00;6,00;1,00
2019-04-07;82,00;410,00;14,47;9,65;19,29;23,00;22,00;12,00;16,00;11,00;14,00;3,00;2,00
2019-04-14;69,00;423,86;9,86;9,86;19,71;17,00;25,00;10,00;18,00;9,00;10,00;3,00;2,00
2019-04-21;69,00;335,14;9,86;9,86;14,79;21,00;24,00;10,00;16,00;10,00;7,00;6,00;2,00
2019-04-28;66,00;335,08;10,15;10,15;15,23;22,00;24,00;13,00;15,00;6,00;8,00;7,00;1,00
2019-05-05;83,00;341,76;9,76;9,76;19,53;24,00;32,00;18,00;27,00;9,00;8,00;12,00;1,00
2019-05-12;84,00;345,88;9,88;9,88;19,76;20,00;23,00;12,00;17,00;8,00;10,00;5,00;1,00
2019-05-19;87,00;381,83;9,67;9,67;24,17;26,00;27,00;9,00;16,00;9,00;8,00;9,00;1,00
2019-05-26;79,00;390,06;9,88;9,88;19,75;27,00;27,00;11,00;15,00;7,00;13,00;6,00;3,00
2019-06-02;93,00;391,58;9,79;14,68;19,58;28,00;36,00;15,00;23,00;7,00;15,00;9,00;3,00
2019-06-09;89,00;380,72;14,83;9,89;19,78;31,00;29,00;13,00;21,00;7,00;12,00;10,00;2,00
2019-06-16;96,00;417,60;9,60;14,40;19,20;27,00;36,00;11,00;18,00;11,00;12,00;10,00;2,00
2019-06-23;91,00;431,05;9,58;14,37;33,53;27,00;33,00;13,00;27,00;12,00;10,00;9,00;1,00
2019-06-30;83,00;415,00;9,76;9,76;34,18;30,00;31,00;12,00;16,00;12,00;18,00;6,00;2,00
