Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;8,00;0,00;15,00;38,00;8,00;84,80;0,00;0,00;51,20;8,00;34,00;100,00;0,00;0,00;0,00;272,00;8,00;18,67;61,33;0,00;18,67
2019-01-13;30,00;8,00;23,00;23,00;0,00;52,86;0,00;7,14;15,71;0,00;44,12;58,24;0,00;0,00;6,00;156,00;30,00;0,00;101,54;16,15;6,92
2019-01-20;29,00;0,00;36,00;22,00;7,00;13,81;0,00;6,90;13,81;14,50;29,00;29,00;0,00;0,00;0,00;162,40;5,80;22,31;51,31;0,00;13,38
2019-01-27;7,00;0,00;7,00;7,00;7,00;43,40;0,00;7,00;14,00;0,00;35,00;49,00;0,00;0,00;0,00;168,00;0,00;14,00;88,67;0,00;14,00
2019-02-03;15,00;0,00;0,00;15,00;0,00;43,64;0,00;0,00;0,00;7,50;22,50;46,88;0,00;0,00;0,00;110,00;20,00;15,00;49,29;0,00;6,43
2019-02-10;8,00;0,00;8,00;23,00;0,00;43,20;0,00;0,00;8,00;0,00;42,00;50,00;0,00;0,00;0,00;160,00;0,00;0,00;53,33;0,00;0,00
2019-02-17;23,00;0,00;46,00;23,00;0,00;15,81;0,00;0,00;23,00;7,08;51,31;51,31;7,08;0,00;0,00;201,25;17,25;0,00;0,00;6,90;16,10
2019-02-24;23,00;8,00;0,00;8,00;0,00;30,19;0,00;15,81;15,81;0,00;55,58;63,25;0,00;0,00;0,00;166,75;5,75;0,00;69,00;6,90;0,00
2019-03-03;45,00;23,00;15,00;8,00;0,00;36,56;0,00;0,00;15,47;0,00;28,80;66,60;0,00;0,00;0,00;208,13;5,63;15,75;15,75;6,75;29,25
2019-03-10;22,00;0,00;15,00;15,00;0,00;35,75;0,00;0,00;0,00;7,33;22,00;44,00;0,00;5,50;0,00;198,00;0,00;0,00;72,60;0,00;28,60
2019-03-17;15,00;0,00;0,00;0,00;0,00;63,00;0,00;0,00;7,50;0,00;37,50;37,50;7,50;0,00;0,00;105,00;0,00;0,00;27,86;0,00;0,00
2019-03-24;8,00;0,00;15,00;15,00;0,00;43,20;0,00;0,00;8,00;0,00;16,00;100,00;0,00;8,00;0,00;240,00;24,00;0,00;45,33;0,00;18,67
2019-03-31;23,00;8,00;0,00;31,00;0,00;7,19;7,19;7,19;7,19;0,00;23,00;118,54;0,00;0,00;0,00;132,25;5,75;23,00;23,00;6,90;16,10
2019-04-07;30,00;0,00;30,00;22,00;0,00;60,00;0,00;0,00;7,14;0,00;15,00;76,88;0,00;0,00;0,00;168,00;6,00;76,15;36,92;0,00;23,08
2019-04-14;40,00;24,00;32,00;16,00;0,00;24,29;0,00;0,00;8,57;0,00;40,00;47,27;16,36;0,00;0,00;131,43;0,00;16,47;40,00;32,94;16,47
2019-04-21;8,00;0,00;24,00;24,00;8,00;110,67;0,00;8,00;8,00;26,00;68,00;104,00;8,00;0,00;0,00;264,00;24,00;10,67;64,00;0,00;37,33
2019-04-28;22,00;7,00;7,00;15,00;0,00;56,38;0,00;0,00;22,00;14,67;58,67;88,00;7,33;5,50;0,00;231,00;44,00;28,60;35,20;13,20;6,60
2019-05-05;58,00;7,00;0,00;15,00;0,00;36,78;0,00;0,00;7,07;0,00;50,75;50,75;0,00;0,00;0,00;243,60;23,20;29,00;51,31;0,00;35,69
2019-05-12;22,00;0,00;15,00;30,00;0,00;57,75;0,00;0,00;22,00;29,33;7,33;67,83;0,00;0,00;0,00;126,50;5,50;22,00;22,00;15,40;28,60
2019-05-19;66,00;7,00;44,00;66,00;7,00;21,52;0,00;7,17;14,35;14,67;22,00;22,00;7,33;6,00;0,00;222,00;6,00;59,17;29,59;0,00;6,83
2019-05-26;52,00;7,00;15,00;22,00;0,00;80,11;0,00;0,00;36,54;14,86;37,14;61,29;0,00;0,00;0,00;179,11;17,33;45,22;97,22;0,00;22,61
2019-06-02;21,00;0,00;42,00;21,00;0,00;54,60;0,00;7,00;35,00;0,00;54,25;73,50;7,00;0,00;0,00;252,00;10,50;28,00;44,33;0,00;14,00
2019-06-09;7,00;7,00;14,00;36,00;7,00;56,00;0,00;0,00;7,00;0,00;75,25;96,25;0,00;7,00;0,00;280,00;35,00;30,33;109,67;0,00;14,00
