Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;42,00;10,96;10,96;10,96;9,13;14,00;5,00;3,00;0,00;4,00;0,00;3,00;4,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00
2019-01-13;45,00;13,13;1,88;13,13;16,88;8,00;3,00;4,00;0,00;0,00;0,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;43,00;9,35;7,48;1,87;1,87;10,00;5,00;6,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-27;18,00;7,20;7,20;3,60;9,00;13,00;5,00;1,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00
2019-02-03;22,00;11,00;5,50;1,83;1,83;12,00;5,00;7,00;1,00;1,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00
2019-02-10;24,00;9,23;7,38;9,23;1,85;8,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;1,00;0,00
2019-02-17;28,00;7,47;5,60;3,73;1,87;7,00;12,00;4,00;0,00;1,00;1,00;1,00;4,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00
2019-02-24;37,00;5,55;9,25;5,55;7,40;9,00;9,00;3,00;1,00;1,00;4,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00
2019-03-03;33,00;14,67;0,00;1,83;5,50;1,00;12,00;4,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-03-10;31,00;10,94;7,29;10,94;10,94;14,00;9,00;6,00;0,00;1,00;1,00;8,00;3,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;22,00;9,17;7,33;3,67;1,83;9,00;0,00;1,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-03-24;29,00;7,25;1,81;5,44;7,25;4,00;7,00;3,00;3,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;7,23;7,23;1,81;5,42;15,00;9,00;7,00;0,00;1,00;1,00;0,00;3,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-07;66,00;11,00;9,17;11,00;3,67;13,00;9,00;4,00;1,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-14;47,00;14,46;3,62;7,23;12,65;22,00;8,00;1,00;3,00;1,00;3,00;0,00;4,00;0,00;1,00;1,00;4,00;1,00;1,00;0,00;0,00
2019-04-21;53,00;10,97;5,48;9,14;18,28;20,00;11,00;12,00;0,00;4,00;0,00;1,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-04-28;61,00;7,39;7,39;14,79;9,24;19,00;8,00;9,00;0,00;1,00;1,00;1,00;4,00;0,00;3,00;0,00;0,00;0,00;1,00;3,00;1,00
2019-05-05;58,00;12,69;9,06;21,75;5,44;10,00;14,00;8,00;3,00;1,00;3,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-12;58,00;18,13;9,06;19,94;16,31;18,00;18,00;4,00;0,00;1,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;1,00;0,00
2019-05-19;57,00;11,03;7,35;12,87;9,19;8,00;14,00;11,00;0,00;1,00;0,00;4,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;49,00;10,89;9,07;19,96;7,26;24,00;8,00;9,00;1,00;0,00;4,00;3,00;3,00;0,00;4,00;1,00;0,00;0,00;0,00;3,00;0,00
2019-06-02;55,00;14,67;5,50;20,17;9,17;23,00;11,00;11,00;0,00;1,00;4,00;4,00;2,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;61,00;16,64;5,55;18,48;5,55;22,00;7,00;7,00;2,00;3,00;5,00;1,00;7,00;0,00;2,00;2,00;1,00;0,00;1,00;1,00;0,00
2019-06-16;61,00;16,15;5,38;8,97;8,97;25,00;10,00;8,00;0,00;1,00;4,00;3,00;8,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
