Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;44,00;7,59;1,52;6,07;3,03;1,00;11,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,50
2019-01-13;44,00;7,59;1,52;6,07;3,03;1,00;9,00;4,00;0,50;0,00;0,00;2,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;49,00;7,42;0,00;5,94;1,48;1,00;11,00;6,00;0,50;0,00;0,50;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00
2019-01-27;41,00;7,59;0,76;4,56;1,52;0,50;9,00;4,00;0,00;0,00;0,50;1,00;0,00;0,50;0,50;0,50;0,50;0,50;0,00;0,00;0,00
2019-02-03;50,00;7,58;1,52;4,55;3,03;0,50;10,00;6,00;0,00;1,00;0,50;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;49,00;10,39;1,48;4,45;1,48;0,50;10,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,50;0,00
2019-02-17;44,00;10,62;1,52;6,07;1,52;0,50;9,00;5,00;0,00;0,00;0,00;0,00;1,00;0,50;0,00;1,00;0,00;0,00;0,50;0,00;0,00
2019-02-24;48,00;10,50;1,50;6,00;1,50;0,50;10,00;6,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;54,00;7,50;1,50;6,00;3,00;1,00;15,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;10,59;1,51;9,07;3,02;1,00;10,00;7,00;0,50;0,00;1,00;2,00;0,00;0,50;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;59,00;12,10;1,51;6,05;1,51;0,50;11,00;4,00;0,50;0,00;1,00;0,50;0,00;0,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;58,00;10,41;1,49;5,95;2,97;0,50;12,00;9,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-03-31;58,00;11,90;1,49;5,95;2,97;1,00;13,00;6,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-07;61,00;10,68;1,53;6,10;1,53;0,50;17,00;6,00;0,00;0,00;0,50;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,50;0,00;0,50
2019-04-14;60,00;13,50;1,50;10,50;1,50;1,00;13,00;5,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;1,00;0,50;0,50;0,00;0,00;0,00
2019-04-21;54,00;10,50;1,50;4,50;1,50;1,00;21,00;8,00;0,50;0,00;0,50;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;1,00
2019-04-28;69,00;10,50;1,50;4,50;3,00;0,50;14,00;8,00;0,50;0,50;0,50;2,00;0,50;0,50;0,50;0,00;1,00;0,50;0,00;0,00;0,50
2019-05-05;69,00;12,00;1,50;6,00;3,00;0,00;10,00;7,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,50;0,00;0,00;0,00;0,00
2019-05-12;65,00;12,09;1,51;10,58;4,53;0,50;27,00;10,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;2,00;0,50;0,00;0,00;0,00;0,00
2019-05-19;77,00;16,61;1,51;10,57;4,53;3,00;28,00;6,00;0,00;0,00;3,00;2,00;0,50;1,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50
2019-05-26;74,00;19,63;1,51;15,10;3,02;1,00;23,00;9,00;0,50;0,50;0,50;1,00;2,00;0,00;0,00;0,50;0,50;0,00;0,50;0,00;0,00
2019-06-02;80,00;9,06;3,02;12,08;1,51;1,00;22,00;12,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
