Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;52,00;4,16;0,00;0,00;47,84;7,00;0,00;4,00;7,00;19,00;0,00;49,00;26,00;22,00;4,00;19,00;7,00;11,00;0,00;7,00;0,00;0,00;4,00;7,00;0,00;4,00;0,00;15,00;0,00;4,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;60,00;0,00;0,00;0,00;30,53;0,00;4,00;8,00;4,00;19,00;0,00;34,00;4,00;30,00;4,00;19,00;11,00;15,00;0,00;8,00;0,00;8,00;0,00;11,00;0,00;4,00;0,00;19,00;4,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;52,00;7,28;11,44;7,28;18,72;11,00;0,00;0,00;0,00;11,00;0,00;7,00;4,00;22,00;4,00;11,00;4,00;4,00;4,00;7,00;4,00;0,00;0,00;0,00;7,00;0,00;0,00;15,00;7,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;85,00;4,20;11,54;0,00;22,04;0,00;0,00;11,00;7,00;7,00;4,00;22,00;11,00;19,00;4,00;15,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;4,00;26,00;22,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;46,00;7,32;7,32;0,00;30,32;0,00;4,00;0,00;0,00;12,00;0,00;27,00;0,00;19,00;8,00;19,00;0,00;0,00;0,00;4,00;12,00;0,00;4,00;4,00;0,00;4,00;8,00;27,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;59,00;0,00;4,29;0,00;32,18;8,00;8,00;12,00;0,00;4,00;0,00;47,00;0,00;16,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;16,00;12,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;39,00;4,22;4,22;0,00;23,19;0,00;4,00;0,00;8,00;8,00;0,00;27,00;0,00;16,00;4,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;43,00;11,54;4,20;0,00;27,27;8,00;4,00;4,00;4,00;19,00;4,00;19,00;0,00;4,00;8,00;12,00;12,00;8,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;44,00;7,33;11,52;0,00;11,52;4,00;0,00;4,00;4,00;19,00;0,00;30,00;7,00;4,00;7,00;15,00;4,00;7,00;0,00;7,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-03-10;42,00;4,20;11,55;0,00;15,75;15,00;4,00;8,00;0,00;11,00;0,00;8,00;8,00;8,00;4,00;4,00;4,00;8,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;39,00;0,00;15,81;4,22;27,41;4,00;0,00;4,00;0,00;12,00;0,00;12,00;0,00;4,00;12,00;8,00;8,00;8,00;0,00;4,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;27,00;7,27;7,27;0,00;19,73;0,00;8,00;0,00;0,00;12,00;0,00;12,00;0,00;12,00;4,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;43,00;4,30;0,00;0,00;16,13;0,00;0,00;0,00;0,00;4,00;0,00;27,00;4,00;4,00;4,00;12,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;40,00;0,00;3,16;0,00;14,74;7,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;4,00;25,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;39,00;4,22;4,22;4,22;12,65;0,00;4,00;4,00;0,00;0,00;0,00;13,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;39,00;4,22;0,00;0,00;16,86;0,00;0,00;0,00;0,00;4,00;0,00;17,00;0,00;4,00;13,00;0,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
