Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;26,00;0,00;9,00
2019-01-13;15,00;4,00;13,00
2019-01-20;23,00;0,00;11,00
2019-01-27;17,00;2,00;15,00
2019-02-03;25,00;0,00;26,00
2019-02-10;29,00;4,00;25,00
2019-02-17;25,00;2,00;5,00
2019-02-24;20,00;0,00;9,00
2019-03-03;13,00;2,00;11,00
2019-03-10;15,00;4,00;7,00
2019-03-17;25,00;2,00;5,00
2019-03-24;33,00;0,00;4,00
2019-03-31;22,00;7,00;2,00
2019-04-07;13,00;2,00;4,00
2019-04-14;11,00;5,00;7,00
2019-04-21;9,00;0,00;4,00
2019-04-28;26,00;0,00;4,00
2019-05-05;17,00;4,00;6,00
2019-05-12;26,00;2,00;2,00
2019-05-19;15,00;0,00;2,00
2019-05-26;22,00;2,00;7,00
2019-06-02;16,00;0,00;2,00
2019-06-09;19,00;4,00;4,00
2019-06-16;6,00;4,00;7,00
2019-06-23;23,00;0,00;2,00
2019-06-30;11,00;0,00;0,00
2019-07-07;28,00;4,00;2,00
2019-07-14;7,00;2,00;5,00
2019-07-21;11,00;2,00;7,00
2019-07-28;30,00;0,00;2,00
2019-08-04;21,00;0,00;14,00
2019-08-11;21,00;2,00;5,00
2019-08-18;20,00;9,00;2,00
2019-08-25;19,00;4,00;2,00
2019-09-01;16,00;2,00;8,00
2019-09-08;8,00;4,00;4,00
2019-09-15;12,00;2,00;4,00
2019-09-22;12,00;4,00;6,00
2019-09-29;12,00;0,00;6,00
2019-10-06;14,00;2,00;4,00
2019-10-13;18,00;0,00;6,00
2019-10-20;12,00;6,00;0,00
2019-10-27;16,00;6,00;8,00
2019-11-03;10,00;8,00;6,00
2019-11-10;16,00;4,00;4,00
2019-11-17;10,00;4,00;10,00
2019-11-24;9,00;6,00;8,00
2019-12-01;16,00;6,00;2,00
2019-12-08;14,00;4,00;8,00
2019-12-15;12,00;14,00;6,00
2019-12-22;15,00;11,00;7,00
2019-12-29;15,00;6,00;6,00
2020-01-05;15,00;0,00;10,00
2020-01-12;20,00;2,00;6,00
2020-01-19;12,00;17,00;8,00
2020-01-26;17,00;4,00;8,00
2020-02-02;17,00;4,00;4,00
2020-02-09;9,00;4,00;10,00
2020-02-16;13,00;2,00;100,00
2020-02-23;17,00;2,00;17,00
2020-03-01;13,00;0,00;38,00
2020-03-08;20,00;2,00;7,00
2020-03-15;12,00;2,00;45,00
2020-03-22;17,00;0,00;0,00
2020-03-29;20,00;3,00;5,00
2020-04-05;5,00;7,00;0,00
2020-04-12;10,00;7,00;3,00
2020-04-19;8,00;7,00;24,00
2020-04-26;6,00;0,00;10,00
2020-05-03;5,00;6,00;5,00
2020-05-10;8,00;3,00;3,00
2020-05-17;11,00;4,00;2,00
2020-05-24;12,00;0,00;2,00
2020-05-31;7,00;0,00;2,00
2020-06-07;10,00;0,00;2,00
2020-06-14;7,00;4,00;2,00
2020-06-21;17,00;0,00;2,00
2020-06-28;5,00;4,00;0,00
2020-07-05;15,00;0,00;2,00
2020-07-12;6,00;2,00;6,00
2020-07-19;10,00;0,00;0,00
2020-07-26;8,00;0,00;0,00
2020-08-02;12,00;2,00;2,00
2020-08-09;17,00;4,00;10,00
2020-08-16;18,00;6,00;6,00
2020-08-23;23,00;0,00;4,00
2020-08-30;17,00;2,00;4,00
2020-09-06;17,00;6,00;0,00
2020-09-13;18,00;4,00;2,00
2020-09-20;9,00;2,00;0,00
2020-09-27;13,00;0,00;2,00
2020-10-04;13,00;6,00;0,00
2020-10-11;6,00;2,00;6,00
2020-10-18;18,00;0,00;0,00
2020-10-25;13,00;2,00;2,00
2020-11-01;14,00;0,00;0,00
2020-11-08;16,00;0,00;4,00
2020-11-15;5,00;0,00;4,00
2020-11-22;12,00;18,00;7,00
2020-11-29;21,00;9,00;2,00
2020-12-06;33,00;2,00;2,00
2020-12-13;23,00;2,00;0,00
2020-12-20;28,00;0,00;0,00
2020-12-27;21,00;4,00;4,00
2021-01-03;34,00;2,00;4,00
2021-01-10;37,00;0,00;6,00
2021-01-17;17,00;2,00;4,00
2021-01-24;23,00;4,00;6,00
2021-01-31;17,00;2,00;4,00
2021-02-07;23,00;0,00;2,00
2021-02-14;20,00;4,00;4,00
2021-02-21;24,00;0,00;0,00
2021-02-28;10,00;0,00;0,00
2021-03-07;10,00;2,00;0,00
2021-03-14;11,00;4,00;0,00
2021-03-21;6,00;2,00;6,00
2021-03-28;4,00;4,00;0,00
2021-04-04;14,00;5,00;7,00
2021-04-11;6,00;4,00;8,00
2021-04-18;10,00;0,00;0,00
2021-04-25;13,00;0,00;2,00
2021-05-02;11,00;2,00;4,00
2021-05-09;13,00;2,00;0,00
2021-05-16;13,00;2,00;0,00
2021-05-23;12,00;4,00;0,00
2021-05-30;12,00;4,00;0,00
2021-06-06;14,00;4,00;2,00
2021-06-13;10,00;0,00;8,00
2021-06-20;8,00;2,00;2,00
2021-06-27;23,00;2,00;0,00
2021-07-04;22,00;2,00;4,00
2021-07-11;23,00;2,00;4,00
2021-07-18;17,00;4,00;4,00
2021-07-25;34,00;13,00;2,00
2021-08-01;21,00;6,00;2,00
2021-08-08;32,00;2,00;5,00
2021-08-15;19,00;0,00;7,00
2021-08-22;27,00;2,00;2,00
2021-08-29;13,00;0,00;2,00
2021-09-05;17,00;0,00;4,00
2021-09-12;17,00;2,00;2,00
2021-09-19;13,00;2,00;2,00
2021-09-26;17,00;2,00;26,00
2021-10-03;21,00;13,00;9,00
2021-10-10;20,00;3,00;8,00
