Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;60,00;393,33;473,33;6,67;46,67;135,65;2,61;39,13;143,48;174,78;88,70;91,30;91,30;39,13;60,00;14,35;3,91;9,00;5,00;6,00;1,00;39,00;5,00;32,00;5,00;5,00;11,00;0,00;0,00;4,00;1,00;0,00;1,00;6,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;2,00;1,00
2019-01-13;56,00;392,00;469,00;7,00;56,00;142,55;2,55;40,73;106,91;160,36;68,73;78,91;96,73;35,16;49,49;3,91;6,51;14,00;3,00;3,00;5,00;47,00;14,00;38,00;2,00;1,00;11,00;0,00;1,00;2,00;0,00;1,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;0,00
2019-01-20;46,00;302,29;400,86;6,57;52,57;127,78;1,28;30,67;92,00;199,33;79,22;76,67;92,00;29,39;40,89;15,33;5,11;10,00;2,00;3,00;6,00;33,00;10,00;38,00;3,00;0,00;13,00;0,00;0,00;3,00;1,00;3,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
2019-01-27;51,00;335,14;444,43;3,64;43,71;130,05;1,28;22,95;104,55;137,70;58,65;84,15;89,25;28,77;49,69;13,08;3,92;11,00;0,00;2,00;1,00;32,00;5,00;27,00;2,00;1,00;17,00;0,00;1,00;9,00;1,00;0,00;0,00;7,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-02-03;55,00;309,38;405,63;6,88;34,38;123,10;2,62;28,81;78,57;120,48;62,86;81,19;78,57;34,53;38,37;5,12;7,67;6,00;0,00;6,00;3,00;33,00;10,00;28,00;8,00;2,00;7,00;0,00;0,00;5,00;1,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;47,00;315,57;396,14;6,71;33,57;107,06;2,61;20,89;99,22;122,72;47,00;70,50;78,33;35,57;30,49;6,35;2,54;13,00;6,00;5,00;1,00;37,00;6,00;26,00;10,00;2,00;15,00;0,00;0,00;0,00;2,00;1,00;0,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-02-17;59,00;340,89;419,56;6,56;45,89;123,13;2,57;20,52;87,22;146,22;46,17;79,52;87,22;30,78;28,22;10,26;6,41;6,00;1,00;6,00;1,00;39,00;14,00;23,00;7,00;1,00;4,00;0,00;1,00;5,00;2,00;0,00;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-02-24;37,00;377,40;451,40;3,70;44,40;118,93;2,64;26,43;124,21;158,57;55,50;74,00;76,64;25,52;33,17;7,66;6,38;7,00;1,00;7,00;1,00;22,00;8,00;25,00;2,00;0,00;11,00;0,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;1,00;1,00;1,00;0,00;0,00;1,00;2,00;0,00
2019-03-03;65,00;305,50;390,00;6,50;45,50;93,60;1,30;15,60;106,60;161,20;70,20;93,60;83,20;37,70;45,50;13,00;7,80;8,00;5,00;6,00;1,00;41,00;15,00;19,00;6,00;0,00;4,00;0,00;2,00;3,00;0,00;0,00;0,00;6,00;0,00;2,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00
2019-03-10;53,00;331,25;384,25;6,63;39,75;88,33;1,26;22,71;85,81;159,00;60,57;80,76;83,29;32,32;28,44;7,76;2,59;7,00;1,00;8,00;1,00;32,00;6,00;36,00;5,00;0,00;8,00;0,00;0,00;8,00;2,00;1,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
