Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;45,00;71,00;15,00
2019-01-13;44,00;54,00;5,00
2019-01-20;15,00;30,00;20,00
2019-01-27;24,00;29,00;10,00
2019-02-03;10,00;29,00;19,00
2019-02-10;10,00;36,00;10,00
2019-02-17;15,00;15,00;0,00
2019-02-24;30,00;35,00;20,00
2019-03-03;15,00;40,00;5,00
2019-03-10;10,00;15,00;15,00
2019-03-17;15,00;26,00;20,00
2019-03-24;0,00;16,00;16,00
2019-03-31;20,00;10,00;5,00
2019-04-07;5,00;15,00;5,00
2019-04-14;11,00;27,00;5,00
2019-04-21;16,00;21,00;5,00
2019-04-28;20,00;49,00;10,00
2019-05-05;25,00;50,00;15,00
2019-05-12;0,00;15,00;15,00
2019-05-19;20,00;25,00;5,00
2019-05-26;15,00;15,00;5,00
2019-06-02;24,00;48,00;5,00
2019-06-09;10,00;14,00;0,00
2019-06-16;0,00;25,00;5,00
2019-06-23;10,00;20,00;5,00
2019-06-30;5,00;15,00;10,00
2019-07-07;15,00;5,00;10,00
2019-07-14;10,00;20,00;5,00
2019-07-21;5,00;20,00;15,00
2019-07-28;5,00;25,00;20,00
2019-08-04;20,00;35,00;5,00
2019-08-11;10,00;20,00;5,00
2019-08-18;15,00;15,00;0,00
2019-08-25;5,00;10,00;5,00
2019-09-01;5,00;44,00;19,00
2019-09-08;5,00;24,00;10,00
2019-09-15;14,00;48,00;10,00
2019-09-22;14,00;37,00;5,00
2019-09-29;9,00;51,00;9,00
2019-10-06;23,00;18,00;14,00
2019-10-13;0,00;14,00;28,00
2019-10-20;14,00;9,00;5,00
2019-10-27;9,00;9,00;14,00
2019-11-03;13,00;27,00;9,00
2019-11-10;27,00;22,00;13,00
2019-11-17;22,00;36,00;0,00
2019-11-24;9,00;17,00;22,00
2019-12-01;18,00;18,00;13,00
2019-12-08;23,00;28,00;18,00
2019-12-15;29,00;28,00;9,00
2019-12-22;42,00;5,00;0,00
2019-12-29;42,00;37,00;14,00
2020-01-05;100,00;17,00;13,00
2020-01-12;13,00;34,00;0,00
2020-01-19;32,00;49,00;18,00
2020-01-26;26,00;31,00;13,00
2020-02-02;18,00;44,00;18,00
2020-02-09;9,00;34,00;26,00
2020-02-16;17,00;30,00;13,00
2020-02-23;25,00;8,00;21,00
2020-03-01;17,00;13,00;8,00
2020-03-08;12,00;29,00;0,00
2020-03-15;16,00;20,00;12,00
2020-03-22;8,00;23,00;0,00
2020-03-29;27,00;27,00;15,00
2020-04-05;24,00;28,00;12,00
2020-04-12;0,00;35,00;4,00
2020-04-19;23,00;47,00;12,00
2020-04-26;30,00;22,00;7,00
2020-05-03;15,00;15,00;4,00
2020-05-10;19,00;7,00;0,00
2020-05-17;31,00;15,00;8,00
2020-05-24;12,00;20,00;4,00
2020-05-31;4,00;4,00;0,00
2020-06-07;15,00;41,00;4,00
2020-06-14;19,00;23,00;4,00
2020-06-21;12,00;24,00;0,00
2020-06-28;23,00;30,00;4,00
2020-07-05;28,00;48,00;8,00
2020-07-12;17,00;42,00;4,00
2020-07-19;26,00;34,00;13,00
2020-07-26;17,00;26,00;13,00
2020-08-02;26,00;38,00;9,00
2020-08-09;21,00;17,00;4,00
2020-08-16;0,00;38,00;0,00
2020-08-23;21,00;21,00;0,00
2020-08-30;13,00;17,00;9,00
2020-09-06;17,00;22,00;4,00
2020-09-13;26,00;26,00;0,00
2020-09-20;25,00;13,00;13,00
2020-09-27;13,00;25,00;13,00
2020-10-04;35,00;17,00;17,00
2020-10-11;23,00;23,00;5,00
2020-10-18;36,00;14,00;5,00
2020-10-25;18,00;18,00;0,00
2020-11-01;17,00;13,00;21,00
2020-11-08;21,00;17,00;0,00
2020-11-15;26,00;21,00;4,00
2020-11-22;13,00;17,00;8,00
2020-11-29;13,00;17,00;9,00
2020-12-06;4,00;22,00;4,00
2020-12-13;13,00;18,00;4,00
2020-12-20;20,00;30,00;5,00
2020-12-27;76,00;36,00;0,00
2021-01-03;34,00;50,00;8,00
2021-01-10;38,00;34,00;4,00
2021-01-17;46,00;29,00;4,00
2021-01-24;56,00;30,00;13,00
2021-01-31;21,00;21,00;8,00
2021-02-07;26,00;35,00;0,00
2021-02-14;22,00;22,00;13,00
2021-02-21;21,00;21,00;4,00
2021-02-28;13,00;17,00;4,00
2021-03-07;5,00;13,00;0,00
2021-03-14;17,00;30,00;4,00
2021-03-21;23,00;13,00;5,00
2021-03-28;10,00;24,00;10,00
2021-04-04;5,00;23,00;41,00
2021-04-11;29,00;24,00;95,00
2021-04-18;5,00;5,00;14,00
2021-04-25;0,00;28,00;5,00
2021-05-02;5,00;18,00;14,00
2021-05-09;9,00;23,00;0,00
2021-05-16;9,00;9,00;5,00
2021-05-23;14,00;14,00;10,00
2021-05-30;30,00;25,00;5,00
2021-06-06;9,00;43,00;5,00
2021-06-13;28,00;5,00;5,00
2021-06-20;14,00;33,00;0,00
2021-06-27;14,00;23,00;5,00
2021-07-04;19,00;42,00;5,00
2021-07-11;0,00;54,00;15,00
2021-07-18;15,00;45,00;5,00
2021-07-25;5,00;10,00;14,00
2021-08-01;14,00;58,00;5,00
2021-08-08;34,00;14,00;5,00
2021-08-15;10,00;39,00;10,00
2021-08-22;11,00;11,00;5,00
2021-08-29;21,00;26,00;10,00
2021-09-05;78,00;16,00;5,00
2021-09-12;41,00;21,00;15,00
2021-09-19;10,00;20,00;0,00
2021-09-26;20,00;10,00;0,00
2021-10-03;40,00;15,00;10,00
2021-10-10;36,00;30,00;12,00
