Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;75,00;4,00;4,00;4,00;22,00;4,00;0,00;9,00;4,00;4,29;0,00;0,00;39,64;4,00;0,00;13,00;0,00;0,00;0,00;53,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;4,00;13,00;0,00;0,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;69,00;9,00;13,00;4,00;17,00;0,00;0,00;4,00;0,00;0,00;0,00;16,98;73,25;0,00;0,00;13,00;9,00;4,00;0,00;35,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;4,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;31,00;4,00;9,00;0,00;4,00;0,00;0,00;4,00;0,00;4,28;0,00;26,72;48,10;4,00;0,00;22,00;0,00;9,00;0,00;35,00;0,00;0,00;31,00;9,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00
2019-01-27;65,00;4,00;13,00;9,00;0,00;4,00;4,00;0,00;0,00;4,33;4,33;13,00;73,67;0,00;0,00;34,00;0,00;0,00;0,00;22,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;72,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,24;63,53;0,00;0,00;13,00;0,00;0,00;0,00;43,00;0,00;0,00;13,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;17,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;25,00;0,00;4,00;4,00;8,00;13,00;0,00;0,00;0,00;0,00;0,00;8,33;48,96;0,00;0,00;8,00;0,00;4,00;0,00;17,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;17,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;55,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;17,25;43,14;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;55,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;12,94;30,20;0,00;0,00;8,00;8,00;0,00;0,00;34,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;8,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;51,00;9,00;13,00;0,00;0,00;0,00;13,00;0,00;4,00;0,00;0,00;0,00;46,75;0,00;0,00;13,00;9,00;0,00;0,00;30,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;30,00;4,00;9,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;4,29;48,21;0,00;0,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;17,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;36,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,36;4,36;58,91;0,00;4,00;13,00;4,00;4,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;22,00;0,00;9,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;4,19;4,19;52,38;0,00;9,00;0,00;4,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;40,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,32;0,00;4,32;27,03;0,00;0,00;13,00;0,00;4,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;48,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;4,27;8,53;22,40;0,00;0,00;0,00;0,00;4,00;0,00;26,00;0,00;0,00;9,00;4,00;0,00;0,00;4,00;0,00;9,00;4,00;9,00;9,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;41,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,32;41,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;5,00;0,00;9,00;0,00;18,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;26,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,16;34,32;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;18,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;52,94;0,00;0,00;9,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-05-12;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,47;84,71;0,00;0,00;14,00;0,00;5,00;0,00;32,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;55,00;5,00;14,00;0,00;0,00;9,00;0,00;0,00;0,00;4,31;0,00;4,31;40,98;0,00;0,00;5,00;5,00;0,00;0,00;18,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;60,00;5,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;4,29;0,00;0,00;55,71;5,00;5,00;5,00;0,00;0,00;0,00;32,00;5,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-06-02;63,00;4,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53,39;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;27,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;4,32;4,32;45,36;0,00;0,00;0,00;5,00;5,00;5,00;50,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;72,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;4,30;36,54;0,00;0,00;9,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;56,00;0,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,69;0,00;0,00;5,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;52,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,24;0,00;5,00;5,00;0,00;0,00;0,00;28,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;9,00;0,00;5,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;59,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,53;0,00;0,00;5,00;5,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;55,00;0,00;14,00;0,00;5,00;9,00;5,00;0,00;0,00;0,00;0,00;4,23;49,71;5,00;0,00;18,00;0,00;5,00;0,00;32,00;18,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;42,00;9,00;19,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;4,31;51,69;0,00;0,00;0,00;5,00;5,00;0,00;19,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;80,00;5,00;9,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;37,33;0,00;0,00;9,00;0,00;0,00;0,00;33,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-08-04;51,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;4,34;36,89;0,00;5,00;18,00;0,00;5,00;0,00;28,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;27,00;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;14,04;41,04;0,00;0,00;5,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;49,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;8,52;66,04;0,00;0,00;18,00;0,00;4,00;0,00;49,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;9,00;0,00;18,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;26,00;4,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,33;0,00;8,67;43,33;0,00;4,00;0,00;4,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;62,00;12,00;8,00;0,00;4,00;0,00;4,00;4,00;8,00;0,00;0,00;12,83;28,86;4,00;0,00;13,00;4,00;4,00;0,00;21,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;12,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00
2019-09-08;21,00;16,00;0,00;0,00;0,00;4,00;4,00;12,00;0,00;0,00;0,00;0,00;50,84;0,00;4,00;8,00;0,00;4,00;4,00;37,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;4,00;4,00;4,00;0,00;12,00;12,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;53,00;8,00;12,00;8,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;8,48;40,28;4,00;0,00;12,00;0,00;8,00;0,00;33,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
