Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;0,00;30,00;15,00;60,00
2019-01-13;7,00;33,00;15,00;62,00
2019-01-20;15,00;19,00;0,00;44,00
2019-01-27;7,00;22,00;11,00;40,00
2019-02-03;4,00;43,00;4,00;57,00
2019-02-10;4,00;4,00;4,00;40,00
2019-02-17;7,00;18,00;0,00;44,00
2019-02-24;7,00;25,00;14,00;57,00
2019-03-03;7,00;7,00;4,00;58,00
2019-03-10;0,00;11,00;7,00;41,00
2019-03-17;19,00;37,00;0,00;48,00
2019-03-24;8,00;11,00;11,00;34,00
2019-03-31;4,00;22,00;4,00;41,00
2019-04-07;8,00;22,00;7,00;45,00
2019-04-14;4,00;12,00;8,00;54,00
2019-04-21;12,00;38,00;11,00;61,00
2019-04-28;8,00;19,00;15,00;48,00
2019-05-05;4,00;23,00;11,00;42,00
2019-05-12;12,00;12,00;12,00;50,00
2019-05-19;8,00;12,00;0,00;42,00
2019-05-26;4,00;19,00;16,00;47,00
2019-06-02;15,00;11,00;4,00;57,00
2019-06-09;4,00;15,00;15,00;77,00
2019-06-16;4,00;11,00;11,00;61,00
2019-06-23;8,00;4,00;12,00;47,00
2019-06-30;16,00;4,00;8,00;44,00
2019-07-07;16,00;23,00;4,00;54,00
2019-07-14;0,00;4,00;8,00;31,00
2019-07-21;0,00;20,00;8,00;44,00
2019-07-28;8,00;39,00;12,00;91,00
2019-08-04;4,00;23,00;0,00;81,00
2019-08-11;11,00;19,00;8,00;57,00
2019-08-18;19,00;4,00;8,00;45,00
2019-08-25;7,00;22,00;0,00;36,00
2019-09-01;4,00;25,00;11,00;74,00
2019-09-08;11,00;31,00;0,00;59,00
2019-09-15;4,00;10,00;3,00;73,00
2019-09-22;7,00;35,00;4,00;46,00
2019-09-29;14,00;28,00;4,00;78,00
2019-10-06;0,00;28,00;14,00;60,00
2019-10-13;14,00;21,00;7,00;39,00
2019-10-20;7,00;24,00;10,00;63,00
2019-10-27;4,00;24,00;0,00;35,00
2019-11-03;7,00;10,00;24,00;35,00
2019-11-10;7,00;3,00;7,00;64,00
2019-11-17;7,00;30,00;3,00;44,00
2019-11-24;0,00;22,00;7,00;40,00
2019-12-01;7,00;34,00;10,00;51,00
2019-12-08;3,00;17,00;17,00;41,00
2019-12-15;7,00;21,00;0,00;56,00
2019-12-22;12,00;39,00;16,00;63,00
2019-12-29;0,00;36,00;18,00;98,00
2020-01-05;3,00;24,00;7,00;78,00
2020-01-12;6,00;26,00;13,00;77,00
2020-01-19;10,00;24,00;13,00;64,00
