Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;69,00;38,00;6,00
2019-01-13;58,00;45,00;7,00
2019-01-20;43,00;53,00;11,00
2019-01-27;50,00;34,00;4,00
2019-02-03;34,00;52,00;7,00
2019-02-10;34,00;59,00;5,00
2019-02-17;30,00;38,00;7,00
2019-02-24;43,00;53,00;9,00
2019-03-03;48,00;81,00;7,00
2019-03-10;37,00;28,00;8,00
2019-03-17;34,00;42,00;0,00
2019-03-24;28,00;42,00;4,00
2019-03-31;34,00;46,00;10,00
2019-04-07;37,00;36,00;6,00
2019-04-14;38,00;37,00;4,00
2019-04-21;45,00;39,00;12,00
2019-04-28;35,00;44,00;6,00
2019-05-05;38,00;36,00;2,00
2019-05-12;38,00;39,00;0,00
2019-05-19;25,00;20,00;6,00
2019-05-26;31,00;50,00;6,00
2019-06-02;28,00;33,00;6,00
2019-06-09;47,00;61,00;10,00
2019-06-16;46,00;74,00;6,00
2019-06-23;29,00;28,00;4,00
2019-06-30;30,00;20,00;10,00
2019-07-07;37,00;53,00;8,00
2019-07-14;37,00;66,00;4,00
2019-07-21;31,00;63,00;14,00
2019-07-28;21,00;57,00;12,00
2019-08-04;33,00;30,00;2,00
2019-08-11;45,00;22,00;6,00
2019-08-18;30,00;39,00;2,00
2019-08-25;27,00;48,00;2,00
2019-09-01;24,00;41,00;7,00
2019-09-08;28,00;25,00;4,00
2019-09-15;40,00;23,00;5,00
2019-09-22;26,00;30,00;13,00
2019-09-29;24,00;36,00;16,00
2019-10-06;24,00;40,00;11,00
2019-10-13;22,00;38,00;5,00
2019-10-20;29,00;21,00;5,00
2019-10-27;29,00;23,00;4,00
2019-11-03;42,00;25,00;11,00
2019-11-10;38,00;36,00;3,00
2019-11-17;48,00;39,00;9,00
2019-11-24;25,00;35,00;4,00
2019-12-01;48,00;21,00;7,00
2019-12-08;40,00;28,00;4,00
2019-12-15;41,00;47,00;7,00
2019-12-22;100,00;38,00;4,00
2019-12-29;87,00;60,00;11,00
2020-01-05;43,00;97,00;12,00
2020-01-12;58,00;68,00;3,00
2020-01-19;57,00;46,00;9,00
2020-01-26;56,00;53,00;3,00
2020-02-02;36,00;37,00;7,00
2020-02-09;30,00;51,00;8,00
2020-02-16;38,00;74,00;8,00
2020-02-23;43,00;39,00;5,00
2020-03-01;36,00;45,00;8,00
2020-03-08;67,00;62,00;10,00
2020-03-15;33,00;30,00;5,00
2020-03-22;21,00;12,00;2,00
2020-03-29;16,00;18,00;2,00
2020-04-05;22,00;21,00;2,00
2020-04-12;21,00;31,00;6,00
2020-04-19;15,00;36,00;7,00
2020-04-26;28,00;25,00;6,00
2020-05-03;17,00;25,00;6,00
2020-05-10;9,00;23,00;0,00
2020-05-17;26,00;28,00;6,00
2020-05-24;20,00;27,00;2,00
2020-05-31;25,00;23,00;3,00
2020-06-07;24,00;31,00;5,00
2020-06-14;30,00;34,00;5,00
2020-06-21;25,00;31,00;10,00
2020-06-28;21,00;27,00;2,00
2020-07-05;23,00;40,00;7,00
2020-07-12;29,00;27,00;8,00
2020-07-19;30,00;25,00;5,00
2020-07-26;25,00;36,00;7,00
2020-08-02;35,00;22,00;3,00
2020-08-09;22,00;28,00;8,00
2020-08-16;19,00;20,00;5,00
2020-08-23;21,00;32,00;5,00
2020-08-30;13,00;22,00;5,00
2020-09-06;21,00;22,00;10,00
2020-09-13;31,00;33,00;5,00
2020-09-20;25,00;16,00;0,00
2020-09-27;21,00;24,00;7,00
2020-10-04;44,00;31,00;9,00
2020-10-11;21,00;23,00;4,00
2020-10-18;29,00;19,00;8,00
2020-10-25;33,00;17,00;4,00
2020-11-01;29,00;14,00;3,00
2020-11-08;28,00;38,00;7,00
2020-11-15;47,00;31,00;4,00
2020-11-22;31,00;36,00;4,00
2020-11-29;51,00;24,00;7,00
2020-12-06;41,00;38,00;5,00
2020-12-13;29,00;11,00;0,00
2020-12-20;43,00;28,00;6,00
2020-12-27;74,00;19,00;8,00
2021-01-03;58,00;33,00;5,00
2021-01-10;37,00;23,00;7,00
2021-01-17;52,00;29,00;13,00
2021-01-24;65,00;32,00;7,00
2021-01-31;54,00;25,00;2,00
2021-02-07;39,00;29,00;2,00
2021-02-14;42,00;44,00;9,00
2021-02-21;32,00;37,00;5,00
2021-02-28;40,00;37,00;7,00
2021-03-07;43,00;27,00;13,00
2021-03-14;30,00;27,00;3,00
2021-03-21;49,00;48,00;9,00
2021-03-28;27,00;59,00;19,00
2021-04-04;43,00;47,00;73,00
2021-04-11;47,00;55,00;62,00
2021-04-18;44,00;66,00;15,00
2021-04-25;32,00;39,00;18,00
2021-05-02;34,00;31,00;9,00
2021-05-09;35,00;41,00;4,00
2021-05-16;62,00;37,00;4,00
2021-05-23;44,00;22,00;7,00
2021-05-30;43,00;38,00;8,00
2021-06-06;48,00;43,00;4,00
2021-06-13;35,00;42,00;8,00
2021-06-20;52,00;40,00;10,00
2021-06-27;49,00;42,00;6,00
2021-07-04;38,00;33,00;12,00
2021-07-11;49,00;47,00;11,00
2021-07-18;47,00;74,00;17,00
2021-07-25;37,00;53,00;6,00
2021-08-01;31,00;36,00;8,00
2021-08-08;44,00;35,00;10,00
2021-08-15;35,00;23,00;4,00
2021-08-22;34,00;25,00;2,00
2021-08-29;30,00;25,00;8,00
2021-09-05;37,00;54,00;4,00
2021-09-12;30,00;27,00;2,00
2021-09-19;30,00;27,00;8,00
2021-09-26;26,00;31,00;10,00
