Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;29,00;111,54;102,62;0,00;53,54;71,29;59,21;37,46;37,46;25,00;17,00;8,00;59,00;25,38;4,83;16,92;8,46;0,00;13,00;0,00;8,00;0,00;4,00;13,00;8,00;4,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;47,00;129,81;47,00;4,48;33,57;60,61;56,89;51,95;39,58;34,00;47,00;25,00;81,00;8,44;8,44;16,87;0,00;4,00;13,00;9,00;13,00;13,00;4,00;13,00;4,00;4,00;0,00;8,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;78,63;71,69;0,00;37,00;50,57;75,23;41,93;33,30;33,00;33,00;24,00;37,00;8,35;0,00;16,71;8,35;8,00;4,00;0,00;0,00;8,00;8,00;20,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-01-27;24,00;69,82;50,18;4,36;34,91;48,00;12,00;20,40;40,80;20,00;32,00;8,00;45,00;40,80;0,00;12,00;8,40;4,00;16,00;28,00;4,00;16,00;4,00;12,00;8,00;4,00;8,00;12,00;0,00;4,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-03;21,00;95,67;88,67;0,00;53,67;45,50;45,50;16,33;40,83;38,00;17,00;38,00;51,00;16,33;12,83;8,17;21,00;21,00;9,00;13,00;4,00;0,00;13,00;13,00;13,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-02-10;38,00;80,47;42,47;4,47;38,00;24,94;38,00;21,38;21,38;26,00;26,00;13,00;43,00;26,13;16,63;16,63;26,13;4,00;17,00;9,00;0,00;9,00;13,00;13,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;21,00;65,33;44,33;0,00;58,33;8,17;53,67;12,83;29,17;43,00;26,00;9,00;47,00;12,83;12,83;21,00;8,17;4,00;0,00;17,00;9,00;17,00;4,00;9,00;4,00;13,00;13,00;0,00;0,00;0,00;21,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;25,00;79,55;29,55;0,00;54,55;58,33;58,33;41,67;28,57;38,00;29,00;17,00;25,00;29,76;8,33;16,67;8,33;21,00;8,00;0,00;4,00;0,00;0,00;8,00;0,00;8,00;4,00;17,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;68,00;47,60;9,07;29,47;64,36;47,36;30,36;30,36;26,00;17,00;21,00;47,00;34,00;8,21;21,10;25,79;13,00;21,00;13,00;4,00;0,00;17,00;4,00;9,00;9,00;9,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-03-10;17,00;131,14;41,29;4,86;41,29;29,14;63,14;25,50;37,64;13,00;17,00;21,00;42,00;17,00;4,86;13,36;4,86;8,00;17,00;0,00;4,00;8,00;4,00;13,00;0,00;4,00;4,00;4,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
