Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;0,00;38,00;0,00
2019-01-13;0,00;0,00;0,00
2019-01-20;0,00;0,00;37,00
2019-01-27;37,00;0,00;0,00
2019-02-03;0,00;39,00;0,00
2019-02-10;0,00;0,00;0,00
2019-02-17;0,00;0,00;0,00
2019-02-24;0,00;0,00;38,00
2019-03-03;0,00;0,00;0,00
2019-03-10;38,00;0,00;0,00
2019-03-17;0,00;39,00;0,00
2019-03-24;0,00;0,00;0,00
2019-03-31;38,00;0,00;0,00
2019-04-07;41,00;0,00;0,00
2019-04-14;0,00;0,00;0,00
2019-04-21;0,00;0,00;0,00
2019-04-28;0,00;0,00;0,00
2019-05-05;0,00;0,00;0,00
2019-05-12;0,00;0,00;0,00
2019-05-19;37,00;0,00;0,00
2019-05-26;0,00;0,00;37,00
2019-06-02;0,00;0,00;0,00
2019-06-09;0,00;0,00;0,00
2019-06-16;38,00;0,00;0,00
2019-06-23;0,00;0,00;40,00
2019-06-30;41,00;0,00;0,00
2019-07-07;0,00;0,00;0,00
2019-07-14;0,00;0,00;0,00
2019-07-21;0,00;0,00;87,00
2019-07-28;0,00;0,00;0,00
2019-08-04;0,00;0,00;0,00
2019-08-11;80,00;0,00;0,00
2019-08-18;0,00;0,00;0,00
2019-08-25;39,00;0,00;0,00
2019-09-01;0,00;0,00;0,00
2019-09-08;39,00;39,00;0,00
2019-09-15;0,00;0,00;0,00
2019-09-22;0,00;36,00;0,00
2019-09-29;36,00;0,00;0,00
2019-10-06;0,00;36,00;0,00
2019-10-13;0,00;0,00;0,00
2019-10-20;0,00;0,00;0,00
2019-10-27;0,00;0,00;38,00
2019-11-03;0,00;0,00;0,00
2019-11-10;0,00;0,00;0,00
2019-11-17;36,00;0,00;0,00
2019-11-24;35,00;0,00;35,00
2019-12-01;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00
2019-12-15;35,00;69,00;0,00
2019-12-22;39,00;39,00;0,00
2019-12-29;0,00;0,00;0,00
2020-01-05;0,00;0,00;0,00
2020-01-12;33,00;0,00;0,00
2020-01-19;0,00;0,00;0,00
2020-01-26;35,00;0,00;0,00
2020-02-02;0,00;0,00;34,00
2020-02-09;0,00;0,00;0,00
2020-02-16;0,00;0,00;34,00
2020-02-23;34,00;0,00;0,00
2020-03-01;0,00;0,00;100,00
2020-03-08;0,00;0,00;0,00
2020-03-15;32,00;32,00;65,00
2020-03-22;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00
2020-04-05;33,00;0,00;0,00
2020-04-12;32,00;0,00;0,00
2020-04-19;0,00;0,00;0,00
2020-04-26;0,00;0,00;0,00
2020-05-03;0,00;30,00;0,00
2020-05-10;30,00;30,00;0,00
2020-05-17;0,00;0,00;0,00
2020-05-24;0,00;0,00;0,00
2020-05-31;0,00;29,00;0,00
2020-06-07;0,00;0,00;29,00
2020-06-14;0,00;0,00;0,00
2020-06-21;31,00;0,00;0,00
2020-06-28;31,00;31,00;0,00
2020-07-05;0,00;0,00;0,00
2020-07-12;0,00;35,00;0,00
2020-07-19;37,00;0,00;0,00
2020-07-26;0,00;0,00;0,00
2020-08-02;0,00;34,00;0,00
2020-08-09;32,00;0,00;32,00
2020-08-16;0,00;0,00;0,00
2020-08-23;65,00;0,00;0,00
2020-08-30;33,00;0,00;0,00
2020-09-06;0,00;0,00;0,00
2020-09-13;0,00;34,00;0,00
2020-09-20;33,00;0,00;0,00
2020-09-27;33,00;0,00;0,00
2020-10-04;0,00;0,00;0,00
2020-10-11;0,00;35,00;0,00
2020-10-18;0,00;0,00;0,00
2020-10-25;0,00;0,00;0,00
2020-11-01;32,00;32,00;0,00
2020-11-08;0,00;0,00;0,00
2020-11-15;0,00;0,00;0,00
