Semaine;Martinique (LC);Guadeloupe (GP);Barbade (BB)
2019-01-06;40,00;95,00;95,00
2019-01-13;41,00;14,00;14,00
2019-01-20;13,00;14,00;14,00
2019-01-27;53,00;27,00;27,00
2019-02-03;28,00;42,00;42,00
2019-02-10;28,00;0,00;0,00
2019-02-17;0,00;28,00;28,00
2019-02-24;55,00;56,00;56,00
2019-03-03;13,00;53,00;53,00
2019-03-10;27,00;27,00;27,00
2019-03-17;28,00;70,00;70,00
2019-03-24;14,00;14,00;14,00
2019-03-31;28,00;28,00;28,00
2019-04-07;13,00;39,00;39,00
2019-04-14;45,00;31,00;31,00
2019-04-21;31,00;15,00;15,00
2019-04-28;27,00;40,00;40,00
2019-05-05;13,00;13,00;13,00
2019-05-12;14,00;0,00;0,00
2019-05-19;0,00;13,00;13,00
2019-05-26;14,00;0,00;0,00
2019-06-02;27,00;14,00;14,00
2019-06-09;0,00;28,00;28,00
2019-06-16;28,00;28,00;28,00
2019-06-23;15,00;60,00;60,00
2019-06-30;43,00;0,00;0,00
2019-07-07;14,00;15,00;15,00
2019-07-14;0,00;0,00;0,00
2019-07-21;51,00;51,00;51,00
2019-07-28;34,00;0,00;0,00
2019-08-04;16,00;16,00;16,00
2019-08-11;29,00;87,00;87,00
2019-08-18;0,00;14,00;14,00
2019-08-25;27,00;55,00;55,00
2019-09-01;52,00;0,00;0,00
2019-09-08;0,00;28,00;28,00
2019-09-15;0,00;14,00;14,00
2019-09-22;41,00;0,00;0,00
2019-09-29;14,00;14,00;14,00
2019-10-06;14,00;28,00;28,00
2019-10-13;14,00;14,00;14,00
2019-10-20;40,00;40,00;40,00
2019-10-27;13,00;26,00;26,00
2019-11-03;26,00;52,00;52,00
2019-11-10;51,00;26,00;26,00
2019-11-17;26,00;39,00;39,00
2019-11-24;76,00;13,00;13,00
2019-12-01;13,00;52,00;52,00
2019-12-08;65,00;52,00;52,00
2019-12-15;66,00;0,00;0,00
2019-12-22;31,00;62,00;62,00
2019-12-29;45,00;15,00;15,00
2020-01-05;25,00;89,00;89,00
2020-01-12;73,00;25,00;25,00
2020-01-19;25,00;37,00;37,00
2020-01-26;0,00;74,00;74,00
2020-02-02;25,00;25,00;25,00
2020-02-09;12,00;25,00;25,00
2020-02-16;100,00;13,00;13,00
2020-02-23;24,00;12,00;12,00
2020-03-01;24,00;72,00;72,00
2020-03-08;68,00;23,00;23,00
2020-03-15;23,00;23,00;23,00
2020-03-22;33,00;22,00;22,00
2020-03-29;45,00;11,00;11,00
2020-04-05;25,00;0,00;0,00
2020-04-12;61,00;0,00;0,00
2020-04-19;23,00;35,00;35,00
2020-04-26;11,00;11,00;11,00
2020-05-03;0,00;23,00;23,00
2020-05-10;23,00;11,00;11,00
2020-05-17;50,00;25,00;25,00
2020-05-24;36,00;36,00;36,00
2020-05-31;0,00;12,00;12,00
2020-06-07;23,00;0,00;0,00
2020-06-14;0,00;0,00;0,00
2020-06-21;25,00;0,00;0,00
2020-06-28;12,00;12,00;12,00
2020-07-05;26,00;26,00;26,00
2020-07-12;0,00;27,00;27,00
2020-07-19;0,00;41,00;41,00
2020-07-26;27,00;41,00;41,00
2020-08-02;13,00;13,00;13,00
2020-08-09;13,00;51,00;51,00
2020-08-16;12,00;25,00;25,00
2020-08-23;37,00;12,00;12,00
2020-08-30;24,00;37,00;37,00
2020-09-06;0,00;0,00;0,00
2020-09-13;12,00;25,00;25,00
2020-09-20;24,00;12,00;12,00
2020-09-27;0,00;13,00;13,00
2020-10-04;0,00;0,00;0,00
2020-10-11;13,00;26,00;26,00
2020-10-18;0,00;13,00;13,00
2020-10-25;25,00;13,00;13,00
2020-11-01;12,00;0,00;0,00
2020-11-08;13,00;25,00;25,00
2020-11-15;25,00;13,00;13,00
2020-11-22;12,00;25,00;25,00
2020-11-29;37,00;25,00;25,00
2020-12-06;37,00;25,00;25,00
2020-12-13;38,00;51,00;51,00
2020-12-20;0,00;14,00;14,00
2020-12-27;29,00;29,00;29,00
2021-01-03;87,00;0,00;0,00
2021-01-10;0,00;13,00;13,00
2021-01-17;24,00;25,00;25,00
2021-01-24;12,00;37,00;37,00
2021-01-31;0,00;0,00;0,00
2021-02-07;25,00;12,00;12,00
2021-02-14;39,00;26,00;26,00
2021-02-21;26,00;39,00;39,00
2021-02-28;0,00;63,00;63,00
2021-03-07;24,00;24,00;24,00
2021-03-14;35,00;35,00;35,00
2021-03-21;0,00;0,00;0,00
2021-03-28;27,00;14,00;14,00
2021-04-04;26,00;0,00;0,00
2021-04-11;0,00;13,00;13,00
2021-04-18;13,00;26,00;26,00
2021-04-25;0,00;12,00;12,00
2021-05-02;25,00;12,00;12,00
2021-05-09;0,00;26,00;26,00
2021-05-16;37,00;37,00;37,00
2021-05-23;13,00;13,00;13,00
2021-05-30;13,00;52,00;52,00
2021-06-06;13,00;13,00;13,00
2021-06-13;0,00;39,00;39,00
2021-06-20;25,00;26,00;26,00
2021-06-27;25,00;0,00;0,00
2021-07-04;40,00;0,00;0,00
2021-07-11;27,00;14,00;14,00
2021-07-18;60,00;30,00;30,00
2021-07-25;15,00;30,00;30,00
2021-08-01;73,00;15,00;15,00
2021-08-08;44,00;30,00;30,00
2021-08-15;27,00;28,00;28,00
2021-08-22;14,00;86,00;86,00
2021-08-29;0,00;0,00;0,00
2021-09-05;0,00;0,00;0,00
2021-09-12;14,00;0,00;0,00
2021-09-19;42,00;14,00;14,00
2021-09-26;14,00;14,00;14,00
2021-10-03;0,00;55,00;55,00
2021-10-10;0,00;30,00;30,00
2021-10-17;42,00;0,00;0,00
2021-10-24;28,00;14,00;14,00
