Semaine;Guyane (GF);Dominique (DM);Suriname (SR);Guyana (GY)
2019-01-06;79,00;24,00;0,00;8,00
2019-01-13;39,00;23,00;0,00;0,00
2019-01-20;75,00;23,00;0,00;0,00
2019-01-27;59,00;7,00;7,00;7,00
2019-02-03;60,00;15,00;0,00;0,00
2019-02-10;63,00;40,00;0,00;0,00
2019-02-17;56,00;8,00;16,00;0,00
2019-02-24;39,00;24,00;0,00;0,00
2019-03-03;46,00;15,00;8,00;0,00
2019-03-10;93,00;8,00;0,00;0,00
2019-03-17;32,00;0,00;8,00;0,00
2019-03-24;40,00;0,00;0,00;0,00
2019-03-31;70,00;8,00;16,00;0,00
2019-04-07;87,00;8,00;0,00;8,00
2019-04-14;24,00;16,00;0,00;8,00
2019-04-21;40,00;16,00;0,00;8,00
2019-04-28;69,00;15,00;8,00;0,00
2019-05-05;15,00;0,00;0,00;0,00
2019-05-12;31,00;16,00;0,00;0,00
2019-05-19;23,00;30,00;0,00;0,00
2019-05-26;31,00;8,00;0,00;8,00
2019-06-02;65,00;15,00;7,00;7,00
2019-06-09;60,00;30,00;0,00;0,00
2019-06-16;70,00;8,00;0,00;8,00
2019-06-23;69,00;0,00;0,00;0,00
2019-06-30;23,00;0,00;0,00;0,00
2019-07-07;69,00;8,00;0,00;0,00
2019-07-14;71,00;16,00;0,00;0,00
2019-07-21;41,00;0,00;0,00;0,00
2019-07-28;75,00;0,00;0,00;0,00
2019-08-04;67,00;17,00;0,00;0,00
2019-08-11;25,00;8,00;0,00;0,00
2019-08-18;65,00;8,00;0,00;0,00
2019-08-25;62,00;8,00;8,00;0,00
2019-09-01;52,00;0,00;0,00;0,00
2019-09-08;37,00;15,00;0,00;7,00
2019-09-15;44,00;15,00;0,00;0,00
2019-09-22;35,00;0,00;0,00;0,00
2019-09-29;35,00;0,00;14,00;7,00
2019-10-06;58,00;14,00;0,00;0,00
2019-10-13;72,00;7,00;0,00;7,00
2019-10-20;51,00;0,00;0,00;0,00
2019-10-27;28,00;7,00;0,00;7,00
2019-11-03;42,00;14,00;7,00;0,00
2019-11-10;71,00;21,00;0,00;0,00
2019-11-17;28,00;21,00;7,00;7,00
2019-11-24;48,00;20,00;0,00;0,00
2019-12-01;56,00;7,00;0,00;7,00
2019-12-08;62,00;0,00;0,00;0,00
2019-12-15;42,00;14,00;7,00;0,00
2019-12-22;39,00;0,00;0,00;8,00
2019-12-29;60,00;23,00;15,00;8,00
2020-01-05;75,00;0,00;0,00;0,00
2020-01-12;27,00;0,00;0,00;0,00
2020-01-19;34,00;48,00;7,00;0,00
2020-01-26;60,00;20,00;0,00;0,00
2020-02-02;27,00;14,00;0,00;0,00
2020-02-09;53,00;0,00;0,00;0,00
2020-02-16;27,00;7,00;7,00;7,00
2020-02-23;20,00;20,00;7,00;0,00
2020-03-01;26,00;13,00;0,00;0,00
2020-03-08;52,00;0,00;7,00;0,00
2020-03-15;62,00;6,00;0,00;0,00
2020-03-22;12,00;0,00;0,00;0,00
2020-03-29;24,00;0,00;0,00;0,00
2020-04-05;42,00;6,00;0,00;0,00
2020-04-12;50,00;0,00;0,00;6,00
2020-04-19;49,00;12,00;0,00;0,00
2020-04-26;57,00;12,00;0,00;0,00
2020-05-03;46,00;0,00;0,00;0,00
2020-05-10;36,00;6,00;0,00;0,00
2020-05-17;85,00;0,00;0,00;0,00
2020-05-24;51,00;0,00;0,00;0,00
2020-05-31;54,00;6,00;0,00;0,00
2020-06-07;85,00;0,00;6,00;0,00
2020-06-14;82,00;0,00;0,00;0,00
2020-06-21;100,00;13,00;0,00;0,00
2020-06-28;64,00;26,00;6,00;0,00
2020-07-05;74,00;20,00;13,00;0,00
2020-07-12;78,00;7,00;0,00;0,00
2020-07-19;70,00;7,00;0,00;0,00
2020-07-26;42,00;0,00;0,00;0,00
2020-08-02;42,00;7,00;0,00;0,00
2020-08-09;70,00;7,00;0,00;7,00
2020-08-16;56,00;7,00;7,00;0,00
2020-08-23;54,00;7,00;0,00;0,00
2020-08-30;34,00;14,00;0,00;0,00
2020-09-06;27,00;13,00;0,00;0,00
2020-09-13;66,00;13,00;0,00;0,00
2020-09-20;60,00;7,00;7,00;0,00
2020-09-27;27,00;14,00;0,00;0,00
2020-10-04;48,00;7,00;0,00;0,00
2020-10-11;72,00;7,00;7,00;0,00
2020-10-18;58,00;14,00;7,00;7,00
2020-10-25;67,00;0,00;0,00;0,00
2020-11-01;31,00;19,00;6,00;6,00
2020-11-08;69,00;6,00;0,00;0,00
2020-11-15;52,00;6,00;6,00;0,00
2020-11-22;38,00;0,00;0,00;0,00
2020-11-29;57,00;6,00;0,00;6,00
2020-12-06;58,00;20,00;7,00;7,00
2020-12-13;55,00;0,00;0,00;0,00
2020-12-20;45,00;30,00;0,00;0,00
2020-12-27;83,00;8,00;8,00;0,00
2021-01-03;61,00;27,00;0,00;0,00
2021-01-10;69,00;28,00;0,00;0,00
2021-01-17;81,00;13,00;0,00;0,00
2021-01-24;41,00;14,00;0,00;0,00
2021-01-31;67,00;13,00;0,00;0,00
2021-02-07;61,00;7,00;0,00;0,00
2021-02-14;35,00;21,00;0,00;0,00
2021-02-21;57,00;0,00;0,00;0,00
2021-02-28;35,00;21,00;7,00;7,00
2021-03-07;62,00;0,00;0,00;0,00
2021-03-14;32,00;19,00;0,00;0,00
2021-03-21;42,00;14,00;0,00;0,00
2021-03-28;21,00;0,00;7,00;7,00
2021-04-04;52,00;13,00;0,00;0,00
2021-04-11;55,00;14,00;0,00;0,00
2021-04-18;70,00;0,00;7,00;0,00
2021-04-25;58,00;13,00;0,00;0,00
2021-05-02;54,00;7,00;0,00;7,00
2021-05-09;48,00;0,00;0,00;7,00
2021-05-16;55,00;0,00;0,00;0,00
2021-05-23;50,00;14,00;0,00;7,00
2021-05-30;63,00;0,00;7,00;0,00
2021-06-06;21,00;7,00;0,00;0,00
2021-06-13;49,00;7,00;7,00;0,00
2021-06-20;71,00;7,00;0,00;0,00
2021-06-27;42,00;0,00;7,00;14,00
2021-07-04;57,00;0,00;0,00;14,00
2021-07-11;66,00;0,00;0,00;0,00
2021-07-18;46,00;0,00;8,00;8,00
2021-07-25;30,00;15,00;0,00;8,00
2021-08-01;31,00;0,00;0,00;0,00
2021-08-08;33,00;8,00;0,00;0,00
2021-08-15;69,00;8,00;0,00;0,00
2021-08-22;24,00;16,00;8,00;0,00
2021-08-29;61,00;0,00;0,00;0,00
2021-09-05;15,00;0,00;8,00;0,00
2021-09-12;60,00;8,00;0,00;0,00
2021-09-19;31,00;8,00;0,00;0,00
2021-09-26;68,00;0,00;0,00;0,00
2021-10-03;23,00;8,00;0,00;0,00
2021-10-10;64,00;16,00;8,00;0,00
2021-10-17;39,00;23,00;0,00;0,00
2021-10-24;55,00;8,00;0,00;0,00
