Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);M¸nchen (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);GenËve (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;82,00;96,14;25,45;22,62;0,50;19,00;16,00;24,00;26,00;9,00;23,00;9,00;2,00;10,00;9,00;2,00;6,00;2,00;13,00;7,00;13,00;116,17;133,25;0,00;167,42;51,25;0,00;51,25;0,00;17,08;17,08;0,00
2019-01-13;75,00;72,12;25,96;25,96;0,50;23,00;15,00;23,00;27,00;9,00;24,00;10,00;2,00;9,00;9,00;2,00;6,00;1,00;11,00;7,00;11,00;16,94;22,98;16,94;16,94;22,98;12,10;6,05;0,00;6,05;6,05;0,00
2019-01-20;74,00;65,46;22,77;22,77;0,00;23,00;14,00;19,00;23,00;7,00;19,00;8,00;1,00;10,00;8,00;2,00;7,00;2,00;9,00;6,00;8,00;6,07;33,97;10,92;44,89;6,07;6,07;10,92;6,07;10,92;0,00;0,00
2019-01-27;73,00;46,72;23,36;23,36;0,50;27,00;13,00;20,00;21,00;9,00;21,00;9,00;2,00;10,00;9,00;1,00;10,00;2,00;9,00;6,00;8,00;30,15;66,65;7,93;103,15;7,93;22,22;0,00;0,00;7,93;0,00;0,00
2019-02-03;74,00;51,23;17,08;14,23;0,00;21,00;12,00;17,00;23,00;10,00;15,00;9,00;2,00;10,00;8,00;2,00;6,00;1,00;9,00;5,00;8,00;429,20;562,40;74,00;281,20;207,20;74,00;0,00;0,00;74,00;148,00;0,00
2019-02-10;65,00;42,39;19,78;16,96;0,50;20,00;11,00;17,00;24,00;9,00;20,00;10,00;3,00;8,00;7,00;0,50;5,00;2,00;6,00;4,00;9,00;45,88;36,32;9,56;65,00;9,56;9,56;9,56;9,56;0,00;9,56;0,00
2019-02-17;67,00;44,67;25,13;19,54;0,50;24,00;15,00;19,00;24,00;10,00;18,00;9,00;2,00;14,00;10,00;2,00;8,00;4,00;9,00;7,00;8,00;0,00;201,00;100,50;335,00;67,00;33,50;0,00;0,00;33,50;33,50;0,00
2019-02-24;73,00;50,54;22,46;28,08;0,50;24,00;15,00;24,00;21,00;12,00;20,00;10,00;2,00;10,00;10,00;0,50;8,00;3,00;9,00;7,00;10,00;0,00;39,92;5,70;39,92;11,41;17,11;11,41;5,70;11,41;0,00;0,00
2019-03-03;77,00;45,63;17,11;19,96;0,50;24,00;14,00;20,00;25,00;8,00;24,00;9,00;2,00;11,00;9,00;1,00;7,00;3,00;8,00;7,00;10,00;115,50;338,80;115,50;377,30;77,00;154,00;38,50;0,00;115,50;0,00;0,00
2019-03-10;68,00;53,83;25,50;22,67;1,00;21,00;10,00;22,00;24,00;8,00;20,00;11,00;1,00;14,00;6,00;1,00;11,00;3,00;11,00;6,00;9,00;8,95;102,00;8,95;93,05;8,95;16,11;0,00;16,11;68,00;8,95;0,00
2019-03-17;72,00;43,20;31,68;23,04;0,50;26,00;12,00;23,00;20,00;7,00;23,00;9,00;2,00;13,00;9,00;1,00;4,00;5,00;6,00;5,00;8,00;40,24;29,65;0,00;80,47;21,18;29,65;10,59;21,18;21,18;0,00;0,00
2019-03-24;70,00;50,40;22,40;22,40;0,50;21,00;14,00;19,00;20,00;8,00;20,00;11,00;3,00;15,00;8,00;0,50;7,00;2,00;14,00;5,00;9,00;42,86;57,14;21,43;105,71;35,71;0,00;7,14;0,00;28,57;0,00;7,14
2019-03-31;67,00;52,43;20,39;29,13;0,50;19,00;14,00;19,00;23,00;11,00;19,00;12,00;2,00;16,00;7,00;2,00;5,00;2,00;13,00;5,00;7,00;13,67;34,18;6,84;73,84;13,67;13,67;6,84;6,84;6,84;6,84;0,00
2019-04-07;74,00;51,23;22,77;25,62;0,50;19,00;14,00;25,00;23,00;9,00;17,00;12,00;2,00;16,00;9,00;2,00;5,00;4,00;13,00;7,00;7,00;55,03;36,05;36,05;136,62;26,56;18,97;9,49;18,97;0,00;0,00;0,00
2019-04-14;70,00;280,00;22,40;28,00;0,50;20,00;10,00;20,00;24,00;10,00;21,00;11,00;4,00;12,00;8,00;3,00;8,00;4,00;13,00;8,00;12,00;46,67;81,67;46,67;151,67;35,00;0,00;0,00;23,33;23,33;11,67;23,33
2019-04-21;81,00;60,75;23,14;26,04;1,00;18,00;14,00;22,00;26,00;12,00;26,00;10,00;3,00;14,00;7,00;3,00;5,00;3,00;14,00;9,00;13,00;44,18;29,45;14,73;95,73;0,00;22,09;14,73;14,73;14,73;7,36;0,00
2019-04-28;91,00;63,00;28,00;35,00;0,61;25,48;14,56;25,48;24,27;12,13;21,84;9,71;3,64;13,35;10,92;4,85;7,28;4,85;33,97;7,28;12,13;0,00;24,00;19,00;48,00;10,00;24,00;5,00;5,00;5,00;5,00;0,00
2019-05-05;74,00;42,69;19,92;28,46;1,00;21,00;10,00;21,00;22,00;11,00;18,00;8,00;2,00;11,00;8,00;2,00;7,00;2,00;14,00;5,00;8,00;31,16;37,65;31,16;49,33;24,67;6,49;0,00;0,00;12,98;0,00;12,98
2019-05-12;72,00;53,22;18,78;28,17;1,07;22,57;10,75;16,12;22,57;11,82;21,49;9,67;1,07;11,82;10,75;2,15;6,45;2,15;8,60;5,37;6,45;24,00;29,00;5,00;58,00;5,00;5,00;5,00;5,00;10,00;0,00;0,00
2019-05-19;66,00;56,57;18,86;31,43;0,55;19,80;13,20;17,60;22,00;7,70;17,60;8,80;3,30;11,00;9,90;4,40;9,90;3,30;8,80;8,80;11,00;24,00;24,00;24,00;47,00;19,00;19,00;5,00;5,00;43,00;5,00;0,00
2019-05-26;53,00;41,84;16,74;22,32;1,00;15,00;11,00;12,00;21,00;7,00;22,00;10,00;2,00;11,00;6,00;2,00;4,00;3,00;7,00;5,00;9,00;21,43;15,79;42,85;58,64;10,15;10,15;5,64;0,00;58,64;5,64;0,00
2019-06-02;65,00;45,22;14,13;28,26;1,00;21,00;14,00;13,00;21,00;7,00;15,00;8,00;1,00;12,00;9,00;4,00;6,00;2,00;11,00;8,00;9,00;22,08;22,08;15,94;49,06;15,94;22,08;4,91;4,91;4,91;0,00;0,00
2019-06-09;66,00;48,78;17,22;25,83;0,50;20,00;9,00;17,00;17,00;7,00;14,00;10,00;1,00;11,00;9,00;3,00;5,00;2,00;13,00;7,00;11,00;6,47;54,35;18,12;90,59;24,59;11,65;0,00;18,12;6,47;11,65;11,65
2019-06-16;61,00;54,58;16,05;28,89;1,13;18,07;11,30;18,07;22,59;13,56;18,07;11,30;2,26;15,81;7,91;2,26;5,65;3,39;10,17;7,91;10,17;28,00;28,00;19,00;38,00;14,00;23,00;0,00;5,00;9,00;5,00;5,00
2019-06-23;76,00;64,60;19,00;30,40;0,68;20,36;17,64;23,07;24,43;13,57;27,14;16,29;4,07;16,29;10,86;1,36;5,43;6,79;14,93;13,57;10,86;33,00;48,00;24,00;43,00;14,00;10,00;10,00;5,00;10,00;0,00;0,00
2019-06-30;91,00;69,33;30,33;43,33;0,76;27,30;19,72;22,75;28,82;18,20;28,82;16,68;4,55;15,17;16,68;1,52;9,10;6,07;19,72;10,62;10,62;19,00;29,00;14,00;43,00;24,00;5,00;10,00;5,00;10,00;19,00;10,00
2019-07-07;80,00;59,13;24,35;34,78;1,19;22,69;10,75;25,07;25,07;14,33;28,66;14,33;2,39;13,13;13,13;4,78;7,16;4,78;11,94;9,55;11,94;56,00;28,00;28,00;85,00;14,00;19,00;9,00;9,00;19,00;5,00;0,00
2019-07-14;85,00;70,83;28,33;38,96;0,62;20,94;19,71;24,64;25,87;9,86;19,71;12,32;2,46;22,17;13,55;3,70;8,62;6,16;13,55;9,86;16,01;35,00;25,00;30,00;96,00;25,00;45,00;10,00;10,00;40,00;15,00;0,00
2019-07-21;80,00;60,00;25,71;34,29;1,01;24,30;15,19;21,27;22,28;14,18;23,29;12,15;4,05;12,15;11,14;3,04;4,05;4,05;15,19;14,18;9,11;32,00;32,00;48,00;64,00;16,00;21,00;16,00;0,00;0,00;16,00;0,00
2019-07-28;95,00;70,37;28,15;38,70;6,17;27,14;19,74;28,38;35,78;19,74;33,31;14,81;2,47;14,81;13,57;2,47;9,87;6,17;19,74;13,57;17,27;48,00;48,00;42,00;63,00;5,00;32,00;21,00;5,00;16,00;5,00;5,00
2019-08-04;75,00;60,58;28,85;40,38;2,00;21,00;17,00;29,00;30,00;14,00;28,00;17,00;4,00;11,00;12,00;4,00;12,00;7,00;23,00;14,00;14,00;40,22;34,78;28,26;80,43;5,43;22,83;11,96;0,00;17,39;11,96;0,00
2019-08-11;80,00;60,00;25,71;40,00;1,00;26,00;11,00;23,00;26,00;13,00;27,00;13,00;4,00;11,00;10,00;4,00;7,00;5,00;16,00;16,00;15,00;32,00;88,00;24,00;112,00;24,00;16,00;8,00;0,00;24,00;16,00;8,00
2019-08-18;87,00;70,27;30,12;40,15;1,16;26,68;13,92;29,00;34,80;17,40;30,16;17,40;3,48;16,24;13,92;3,48;9,28;4,64;19,72;12,76;15,08;20,00;36,00;26,00;31,00;10,00;10,00;5,00;5,00;10,00;5,00;5,00
2019-08-25;78,00;65,00;29,25;29,25;1,13;27,13;15,83;23,74;22,61;14,70;28,26;16,96;3,39;14,70;11,30;2,26;11,30;3,39;20,35;12,43;14,70;10,00;29,00;24,00;44,00;20,00;15,00;0,00;0,00;5,00;0,00;10,00
2019-09-01;79,00;64,89;22,57;25,39;1,00;22,00;14,00;24,00;23,00;14,00;24,00;14,00;2,00;11,00;10,00;2,00;6,00;5,00;15,00;10,00;13,00;29,43;65,06;0,00;86,75;13,94;13,94;13,94;0,00;13,94;7,75;0,00
2019-09-08;77,00;59,89;25,67;28,52;0,50;24,00;15,00;22,00;18,00;12,00;24,00;14,00;2,00;10,00;12,00;3,00;6,00;4,00;18,00;8,00;12,00;24,75;52,25;13,75;195,25;24,75;24,75;24,75;24,75;52,25;0,00;13,75
2019-09-15;70,00;58,80;22,40;28,00;0,50;25,00;11,00;28,00;21,00;23,00;24,00;12,00;2,00;11,00;11,00;3,00;7,00;2,00;17,00;7,00;11,00;18,85;18,85;12,12;82,12;6,73;18,85;0,00;6,73;12,12;0,00;0,00
2019-09-22;75,00;63,46;23,08;28,85;0,50;23,00;12,00;22,00;21,00;16,00;19,00;11,00;3,00;9,00;11,00;3,00;6,00;3,00;19,00;9,00;9,00;34,50;54,00;40,50;96,00;13,50;13,50;7,50;0,00;21,00;13,50;0,00
2019-09-29;69,00;69,00;23,00;23,00;0,50;21,00;9,00;27,00;19,00;10,00;27,00;13,00;3,00;7,00;9,00;2,00;6,00;3,00;16,00;7,00;12,00;10,22;46,00;69,00;92,00;46,00;0,00;10,22;10,22;10,22;0,00;0,00
2019-10-06;76,00;61,93;19,70;25,33;0,00;25,00;12,00;22,00;23,00;11,00;25,00;14,00;2,00;9,00;7,00;2,00;9,00;3,00;15,00;6,00;7,00;39,41;154,81;39,41;154,81;39,41;25,33;0,00;25,33;14,07;14,07;0,00
2019-10-13;77,00;57,04;19,96;25,67;0,50;22,00;11,00;21,00;25,00;12,00;21,00;12,00;2,00;7,00;9,00;3,00;5,00;3,00;17,00;19,00;10,00;29,14;66,59;66,59;95,73;10,41;29,14;10,41;0,00;10,41;0,00;0,00
2019-10-20;77,00;62,74;19,96;22,81;0,50;21,00;10,00;23,00;24,00;10,00;23,00;16,00;3,00;7,00;9,00;2,00;7,00;3,00;11,00;7,00;11,00;24,75;52,25;77,00;126,50;13,75;24,75;0,00;13,75;38,50;13,75;0,00
2019-10-27;75,00;100,96;20,19;25,96;0,00;18,00;15,00;26,00;23,00;12,00;24,00;15,00;3,00;7,00;9,00;3,00;7,00;3,00;14,00;5,00;11,00;75,00;63,89;38,89;88,89;0,00;13,89;0,00;13,89;50,00;0,00;0,00
2019-11-03;75,00;69,23;23,08;20,19;1,00;24,00;8,00;27,00;39,00;8,00;22,00;16,00;4,00;7,00;9,00;2,00;7,00;3,00;13,00;6,00;12,00;11,72;84,38;21,09;75,00;11,72;0,00;11,72;11,72;0,00;0,00;0,00
2019-11-10;90,00;64,69;22,50;19,69;1,00;21,00;10,00;27,00;32,00;12,00;24,00;14,00;2,00;8,00;9,00;3,00;4,00;3,00;12,00;4,00;10,00;25,00;115,00;90,00;205,00;25,00;25,00;0,00;25,00;0,00;0,00;0,00
2019-11-17;81,00;60,75;23,14;23,14;1,00;18,00;9,00;28,00;27,00;11,00;25,00;14,00;3,00;9,00;9,00;3,00;7,00;2,00;14,00;6,00;8,00;25,20;16,20;9,00;99,00;25,20;16,20;0,00;0,00;9,00;0,00;9,00
2019-11-24;100,00;71,43;20,00;20,00;0,50;20,00;12,00;34,00;21,00;13,00;27,00;13,00;3,00;6,00;9,00;2,00;6,00;4,00;14,00;7,00;10,00;25,71;48,57;25,71;100,00;11,43;11,43;11,43;0,00;62,86;11,43;0,00
2019-12-01;79,00;64,89;19,75;16,93;1,00;18,00;11,00;16,00;23,00;9,00;30,00;18,00;4,00;8,00;8,00;3,00;7,00;3,00;13,00;5,00;11,00;0,00;88,63;9,63;88,63;26,98;0,00;9,63;0,00;26,98;9,63;0,00
