Semaine;Nice;Paris;Londres;Barcelone;Rome;Lille;Madrid;Lisbonne;Prague;Berlin;Milan;Istanbul;Budapest;Venise;Vienne;Strasbourg;Athènes;Dublin;Lyon;Francfort-sur-le-Main;Marseille;Munich;Stockholm;Copenhague;Bordeaux;Genève;Tours;Hambourg;Toulouse;Montpellier;Nantes;Avignon;Monaco;Dijon;Aix-en-Provence
06/01/2019;32;490,6666667;586,6666667;266,6666667;218,6666667;24;104;152;200,7272727;218,1818182;81,45454545;148,3636364;128;66,28571429;96;11,42857143;72,34782609;112,6956522;8,347826087;76,52173913;19,69230769;94,76923077;75,07692308;28,30769231;8;45;8;49;16;0;4;8;4;4;4
13/01/2019;61;585,6;622,2;280,6;155,2727273;2,772727273;144,1818182;160,8181818;164,7;155,55;48,8;122;79,76923077;77,42307692;61;7,038461538;48,23255814;141,8604651;15,60465116;43,97674419;7,625;73,70833333;33,04166667;57,1875;4;45;12;32;4;0;8;0;4;4;0
20/01/2019;31;382,3333333;372;268,6666667;149,3636364;2,818181818;95,81818182;177,5454545;201,5;217;49,6;120,9;135,9230769;100,1538462;47,69230769;11,92307692;57,77272727;105,6818182;8,454545455;46,5;18,6;62;38,44;38,44;12;47;16;47;8;4;4;0;0;0;0
27/01/2019;27;607,5;648;310,5;151,2;16,2;102,6;170,1;159;237;84;111;103,5;63;67,5;11,25;54;116,5263158;0;35,52631579;3,681818182;83,45454545;34,36363636;52,77272727;0;39;0;39;0;8;0;0;12;4;0
03/02/2019;12;504;564;240;231;18;126;252;198;213;72;114;62,4;112,8;62,4;12;45,33333333;94,66666667;4;41,33333333;34,8;42;34,8;45,6;8;28;0;49;16;4;0;0;0;4;0
10/02/2019;32;448;384;160;197,3333333;34,66666667;104;165,3333333;154,1818182;165,8181818;78,54545455;133,8181818;36,57142857;64;75,42857143;6,857142857;59,82608696;83,47826087;8,347826087;47,30434783;19,69230769;51,69230769;48;48;20;16;0;41;4;4;0;0;8;0;0
17/02/2019;34;510;566,6666667;249,3333333;218,1666667;22,66666667;116,1666667;223,8333333;200,9090909;238;129,8181818;120,5454545;77,71428571;104,4285714;82,57142857;12,14285714;51;97,75;8,5;34;16,37037037;46,59259259;21,40740741;59,18518519;13;25;8;30;21;0;0;0;17;0;0
24/02/2019;21;535,5;472,5;231;249;30;192;228;141;216;117;171;112;102,6666667;60,66666667;11,66666667;57,4;114,8;8,4;65,8;30,1875;68,25;30,1875;13,125;12;4;8;46;8;17;12;0;0;0;0
03/03/2019;16;704;688;288;181,3333333;16;200;184;176;188,8;83,2;163,2;107,4285714;86,85714286;64;11,42857143;22,66666667;97,33333333;4;42,66666667;16;48;19,69230769;55,38461538;4;58;8;37;8;12;4;0;20;0;4
10/03/2019;40;440;350;270;220;11,42857143;134,2857143;200;184,6153846;230,7692308;89,23076923;163,0769231;115,2941176;63,52941176;87,05882353;16,47058824;57,14285714;125,7142857;11,42857143;28,57142857;23,75;71,25;43,75;23,75;16;40;4;68;0;12;0;8;24;0;4
17/03/2019;20;380;380;180;168,5714286;34,28571429;151,4285714;197,1428571;157,1428571;182,8571429;68,57142857;125,7142857;115,5555556;88,88888889;73,33333333;6,666666667;48,57142857;65,71428571;20;32,85714286;23,75;63,75;60;40;24;16;0;44;20;8;4;0;4;0;0
24/03/2019;33;407;374;231;206,25;11;96,25;220;144;174;120;180;115,5;77,78571429;61,28571429;9,428571429;33;87,52173913;12,91304348;50,2173913;3,807692308;78,69230769;33;29,19230769;21;37;4;33;4;0;4;0;21;0;4
31/03/2019;37;616,6666667;579,6666667;283,6666667;210,6153846;19,92307692;145,1538462;185;203,5;225,0833333;92,5;148;138,75;90,1875;53,1875;16,1875;54,07692308;86,80769231;8,538461538;58,34615385;42,10344828;33,17241379;45,93103448;42,10344828;8;21;12;33;8;12;8;4;8;0;0
07/04/2019;24;624;576;276;178,6666667;8;96;189,3333333;189;207;114;141;91,2;69,6;79,2;16,8;52,23529412;88,94117647;8,470588235;64,94117647;32,84210526;60,63157895;40,42105263;40,42105263;20;28;20;49;16;4;0;0;8;0;0
14/04/2019;21;1050;514,5;283,5;153;21;138;144;192;213;96;162;107,3333333;121,3333333;58,33333333;21;70;91;8,4;44,8;17,0625;34,125;26,25;64,3125;4;42;4;63;12;8;4;4;21;8;4
21/04/2019;25;637,5;512,5;337,5;180,5555556;16,66666667;177,7777778;180,5555556;159,375;200;100;106,25;106,8181818;86,36363636;29,54545455;15,90909091;66,66666667;75;25;45,83333333;21,25;62,5;62,5;62,5;26;30;4;34;4;13;4;4;13;8;4
28/04/2019;68;634,6666667;612;408;161,5;11,33333333;153;167,1666667;209,9130435;260,173913;68;82,7826087;91,44827586;119,5862069;91,44827586;21,10344828;68;128,9166667;19,83333333;80,75;23,92592593;60,44444444;64,22222222;60,44444444;4;8;12;32;4;28;4;4;4;4;0
05/05/2019;36;408;492;288;152,3076923;8,307692308;276,9230769;102,4615385;186;204;75;198;168;88,8;60;19,2;53,28;93,6;20,16;24,48;7,714285714;60,42857143;36;39,85714286;28;28;12;28;20;0;0;4;8;0;0
12/05/2019;60;516;408;372;160;11,42857143;114,2857143;188,5714286;165;243;123;129;71,53846154;90;78,46153846;6,923076923;86,51162791;75,34883721;15,34883721;75,34883721;12,5;71,25;43,75;36,25;12;24;12;28;4;0;4;4;20;0;0
19/05/2019;43;440,75;430;258;157,6666667;17,2;108,9333333;186,3333333;119,7857143;141,2857143;73,71428571;125,9285714;129;105,1111111;57,33333333;16,72222222;54,09677419;99,87096774;19,41935484;45,77419355;35,41176471;59,44117647;39,20588235;59,44117647;24;28;16;24;12;12;8;12;20;0;0
26/05/2019;32;533,3333333;416;277,3333333;194,9090909;20,36363636;145,4545455;224;212,3636364;189,0909091;93,09090909;133,8181818;120,6153846;96;54,15384615;29,53846154;69,81818182;85,81818182;32;65,45454545;39,68;96;67,84;60,16;8;12;36;60;0;8;8;16;28;8;0
02/06/2019;38;722;468,6666667;316,6666667;201,6923077;11,69230769;190;157,8461538;134,4615385;216,3076923;90,61538462;128,6153846;130,625;140,125;102,125;14,25;49,25925926;78,81481481;33,77777778;22,51851852;15,2;53,2;53,2;53,2;4;15;26;34;19;15;7;4;7;4;0
09/06/2019;46;506;529;230;173,1764706;21,64705882;89,29411765;143,4117647;208,5333333;242,2666667;85,86666667;125,7333333;115;133,4;105,8;27,6;61,33333333;87,81818182;11,15151515;61,33333333;31,08108108;75,83783784;38,54054054;34,81081081;27;35;16;78;8;19;4;12;0;0;0
16/06/2019;55;451;407;220;156,75;16,5;90,75;132;216,9444444;220;67,22222222;161,9444444;100,8333333;116,875;77,91666667;18,33333333;55;78,97435897;28,20512821;59,23076923;31,25;58,75;31,25;62,5;32;20;16;32;8;0;0;8;20;8;0
23/06/2019;84;516;480;276;120,4;25,2;100,8;173,6;150;186;84;177;79,33333333;91;91;4,666666667;56;67,2;32,2;32,2;40,11940299;71,46268657;31,34328358;20,05970149;16;4;16;36;8;16;4;4;16;0;4
30/06/2019;100;566,6666667;466,6666667;255,5555556;136,1111111;19,44444444;52,77777778;158,3333333;190,9090909;254,5454545;75,75757576;118,1818182;123,255814;83,72093023;83,72093023;6,976744186;56,33802817;59,15492958;104,2253521;76,05633803;36,70886076;48,10126582;36,70886076;72,15189873;16;32;24;60;12;12;0;8;8;8;8
07/07/2019;75;589,2857143;482,1428571;342,8571429;183,3333333;22,22222222;113,8888889;172,2222222;186;252;114;177;121,875;145,3125;86,71875;7,03125;94,81132075;86,32075472;19,81132075;39,62264151;27,96610169;127,1186441;59,74576271;43,22033898;28;28;20;63;4;31;8;12;31;12;4
14/07/2019;84;780;576;396;193,2;19,6;120,4;193,2;162;246;126;162;121,3333333;137,6666667;100,3333333;25,66666667;75,45762712;58,37288136;34,16949153;62,6440678;29,27272727;113,2727273;63,63636364;84;29;21;8;63;29;17;13;0;29;4;0
21/07/2019;62;793,6;508,4;359,6;180,3636364;16,90909091;152,1818182;205,7272727;180,0952381;236,1904762;109,2380952;126,952381;145,4615385;145,4615385;76,30769231;31;57,77272727;109,9090909;43,68181818;74,68181818;26,57142857;115,1428571;58,20408163;75,91836735;44;18;36;53;40;18;9;4;13;4;0
28/07/2019;71;792,8333333;508,8333333;378,6666667;167,56;17,04;113,6;190,28;192,2916667;260,3333333;115,375;162,7083333;194,0666667;134,9;89,93333333;26,03333333;39,76;66,74;31,24;66,74;17,75;120,4464286;49,44642857;62,125;45;36;9;85;4;27;9;4;22;13;0
04/08/2019;49;661,5;563,5;404,25;176,9444444;16,33333333;111,6111111;182,3888889;263,375;278,6875;94,9375;113,3125;168;133;107,3333333;25,66666667;92,4;88,2;12,6;53,2;17,58974359;80,41025641;49;57,79487179;22;22;22;72;4;27;0;9;27;0;0
11/08/2019;45;630;585;337,5;157,5;33,75;174,375;129,375;177;249;120;144;146,8421053;82,89473684;78,15789474;11,84210526;74,53125;81,5625;16,875;78,75;12,5;48,75;53,75;48,75;29;17;12;62;16;12;8;4;17;12;0
18/08/2019;63;525;546;273;153,3913043;16,43478261;104,0869565;210,9130435;135;228;84;129;105;95,66666667;72,33333333;21;58,8;105;16,8;63;28,98;46,62;46,62;41,58;17;21;30;34;4;4;0;4;13;0;4
25/08/2019;45;472,5;416,25;258,75;140,625;28,125;154,6875;188,4375;159;192;99;102;99,47368421;118,4210526;99,47368421;28,42105263;88,59375;88,59375;4,21875;49,21875;24,42857143;78,42857143;54;41,14285714;16;20;8;49;28;8;0;4;8;4;4
01/09/2019;38;646;544,6666667;291,3333333;160,1428571;21,71428571;179,1428571;187,2857143;172,4615385;257,2307692;93,53846154;119,8461538;121,125;116,375;92,625;16,625;49,25925926;91,48148148;15,48148148;53,48148148;14,70967742;56,38709677;36,77419355;49,03225806;23;39;8;46;4;0;4;0;4;0;0
08/09/2019;24;576;600;264;150;12;165;186;147;249;96;150;100,8;69,6;88,8;16,8;83,29411765;83,29411765;28,23529412;55,05882353;11,36842105;70,73684211;31,57894737;24;16;20;20;60;16;4;4;8;8;4;4
15/09/2019;39;650;676;351;203,3571429;19,5;195;175,5;192;267;87;186;112,4117647;107,8235294;68,82352941;4,588235294;62,67857143;84,96428571;4,178571429;50,14285714;15,09677419;90,58064516;35,22580645;66,67741935;8;16;16;35;4;16;0;0;12;0;0
22/09/2019;26;585;767;260;196,4444444;8,666666667;92,44444444;141,5555556;170,4444444;231,1111111;127,1111111;153,1111111;106,3636364;54,36363636;92,18181818;7,090909091;80,73684211;128,6315789;4,105263158;39,68421053;14,85714286;81,71428571;44,57142857;55,71428571;4;11;46;34;8;8;4;0;11;4;4
29/09/2019;26;585;624;351;187,7777778;14,44444444;158,8888889;184,8888889;213,7777778;216,6666667;72,22222222;127,1111111;92,18181818;99,27272727;56,72727273;23,63636364;87,57894737;109,4736842;21,89473684;58,84210526;11,14285714;74,28571429;44,57142857;40,85714286;4;42;23;42;19;0;4;11;8;0;0
06/10/2019;23;632,5;678,5;287,5;221,375;14,375;172,5;207;158,125;235,75;94,875;129,375;96,6;52,9;156,4;23;69;119,3125;11,5;50,3125;11,5;72,83333333;49,83333333;49,83333333;19;15;8;68;15;8;0;0;4;0;0
13/10/2019;31;599,3333333;620;330,6666667;180,3636364;42,27272727;126,8181818;166,2727273;192,2;300,7;111,6;139,5;131,1538462;85,84615385;104,9230769;11,92307692;42,27272727;121,1818182;7,045454545;53,54545455;7,75;65,875;54,25;34,875;8;31;27;31;4;0;0;0;11;0;0
20/10/2019;27;661,5;702;351;143,1;16,2;135;162;177;222;90;162;85,5;56,25;101,25;18;19,89473684;113,6842105;11,36842105;35,52631579;7,714285714;55,28571429;39,85714286;59,14285714;4;23;0;12;8;4;4;4;15;4;0
27/10/2019;23;437;540,5;241,5;123,625;31,625;89,125;155,25;120,75;155,25;66,125;129,375;103,5;55,2;78,2;6,9;53,1875;84,8125;7,1875;38,8125;0;72,83333333;53,66666667;46;15;23;11;42;4;0;0;4;0;4;0
03/11/2019;30;370;440;190;133,6363636;13,63636364;111,8181818;166,3636364;183;228;54;138;66,92307692;60;64,61538462;11,53846154;30;122,8571429;7,142857143;38,57142857;26,25;52,5;48,75;52,5;15;19;4;38;4;4;4;4;4;0;0
10/11/2019;8;320;432;136;64;10,66666667;74,66666667;122,6666667;106,6666667;181,3333333;69,33333333;136;82,66666667;266,6666667;56;5,333333333;59,2;132,8;4,8;51,2;16;56;44;24;0;4;4;61;4;4;0;8;0;0;0
17/11/2019;34;430,6666667;623,3333333;158,6666667;138,8333333;8,5;96,33333333;116,1666667;120,5454545;188,5454545;126,7272727;108,1818182;102;176,8;88,4;13,6;38,25;94,91666667;7,083333333;34;26,44444444;45,33333333;49,11111111;41,55555556;19;15;8;27;4;4;11;0;11;0;4
24/11/2019;25;525;837,5;162,5;105,5555556;61,11111111;69,44444444;144,4444444;168,75;181,25;87,5;103,125;104,5454545;63,63636364;72,72727273;4,545454545;29,16666667;68,05555556;6,944444444;45,83333333;17,5;40;36,25;57,5;7;25;0;33;0;4;11;4;14;4;0
01/12/2019;8;360;432;120;117,3333333;16;85,33333333;162,6666667;125,3333333;130,6666667;69,33333333;106,6666667;88;48;101,3333333;21,33333333;38,4;52,8;25,6;22,4;12;20;36;40;0;19;4;54;8;0;4;0;12;0;0
08/12/2019;4;344;416;160;136;16;164;164;220;204;108;184;82;46;66;10;40;94,66666667;4;72;8;49,33333333;49,33333333;28;8;46;0;27;0;8;4;0;8;0;4
15/12/2019;19;389,5;503,5;190;70,57142857;21,71428571;84,14285714;108,5714286;161,5;186,8333333;60,16666667;152;85,5;57;99,75;11,875;43,84615385;58,46153846;7,307692308;51,15384615;7,6;45,6;38;41,8;11;23;0;11;4;4;0;4;11;4;0
22/12/2019;46;701,5;632,5;230;152,375;25,875;120,75;138;208,5333333;245,3333333;67,46666667;141,0666667;98,9;87,4;62,1;9,2;90,60606061;86,42424242;25,09090909;50,18181818;3,72972973;69,62162162;37,2972973;58,43243243;4;25;8;63;4;4;0;0;0;0;0
29/12/2019;16;752;704;288;128;10,66666667;120;125,3333333;140,8;195,2;134,4;131,2;80;66,28571429;112;16;52,36363636;117,8181818;11,63636364;45,09090909;19,69230769;54,15384615;57,84615385;57,84615385;24;24;0;44;4;4;0;4;12;0;0
05/01/2020;26;650;520;299;228,2222222;11,55555556;147,3333333;193,5555556;190,6666667;288,8888889;86,66666667;164,6666667;94,54545455;73,27272727;111,0909091;14,18181818;63,55555556;93,88888889;14,44444444;56,33333333;26;52;75,4;33,8;15;33;11;26;4;7;0;7;0;4;0
12/01/2020;36;516;648;288;160,6153846;8,307692308;135,6923077;213,2307692;180;273;111;150;132;88,8;76,8;12;83,52;83,52;11,52;61,92;32,14285714;65,57142857;73,28571429;73,28571429;14;25;32;18;4;7;0;4;7;7;4
19/01/2020;15;780;660;390;246;3;162;246;177;216;84;162;110;70;105;7,5;58,5;105;24;54;21,25;65;43,75;40;0;18;11;33;15;7;7;4;33;11;0
