Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;22,00;96,11;6,95;28,95;0,00;7,00
2019-01-13;6,00;44,00;0,00;19,00;0,00;0,00
2019-01-20;0,00;25,00;18,00;25,00;0,00;0,00
2019-01-27;7,00;36,17;0,00;22,17;0,00;14,00
2019-02-03;45,00;36,56;8,44;18,28;8,44;7,00
2019-02-10;30,00;76,15;13,85;60,00;0,00;15,00
2019-02-17;23,00;85,43;0,00;85,43;0,00;0,00
2019-02-24;29,00;13,38;0,00;13,38;0,00;0,00
2019-03-03;0,00;13,00;0,00;26,00;0,00;0,00
2019-03-10;15,00;21,92;0,00;15,00;0,00;7,00
2019-03-17;0,00;20,00;0,00;13,00;0,00;8,00
2019-03-24;23,00;42,71;0,00;108,43;0,00;0,00
2019-03-31;15,00;50,77;0,00;36,92;0,00;0,00
2019-04-07;23,00;47,77;0,00;12,38;0,00;0,00
2019-04-14;14,00;14,00;0,00;21,00;0,00;0,00
2019-04-21;13,00;26,00;0,00;13,00;0,00;0,00
2019-04-28;0,00;24,00;6,00;0,00;0,00;7,00
2019-05-05;28,00;84,00;14,00;0,00;0,00;7,00
2019-05-12;15,00;15,00;0,00;21,92;0,00;7,00
2019-05-19;0,00;18,00;6,00;6,00;0,00;0,00
2019-05-26;0,00;6,00;0,00;19,00;0,00;7,00
2019-06-02;12,00;35,00;6,00;35,00;0,00;12,00
2019-06-09;28,00;84,00;28,00;84,00;0,00;0,00
2019-06-16;0,00;6,00;6,00;44,00;13,00;7,00
2019-06-23;13,00;0,00;0,00;26,00;0,00;0,00
2019-06-30;20,00;33,00;7,00;7,00;7,00;0,00
2019-07-07;20,00;0,00;0,00;7,00;0,00;0,00
2019-07-14;24,00;92,57;12,00;46,29;0,00;0,00
2019-07-21;0,00;7,00;0,00;21,00;0,00;0,00
2019-07-28;48,00;37,33;0,00;60,44;0,00;16,00
2019-08-04;32,00;16,59;8,30;24,89;0,00;0,00
2019-08-11;45,00;45,00;0,00;57,12;12,12;8,00
2019-08-18;23,00;31,05;0,00;8,05;0,00;8,00
2019-08-25;45,00;13,00;6,00;19,00;0,00;0,00
2019-09-01;19,00;12,00;12,00;19,00;0,00;0,00
2019-09-08;25,00;12,00;6,00;0,00;0,00;0,00
2019-09-15;0,00;19,00;0,00;12,00;0,00;7,00
2019-09-22;42,00;24,00;0,00;6,00;0,00;0,00
2019-09-29;30,00;12,00;0,00;0,00;0,00;20,00
2019-10-06;27,00;108,00;27,00;54,00;0,00;0,00
2019-10-13;14,00;14,00;14,00;14,00;0,00;0,00
2019-10-20;14,00;70,00;14,00;14,00;14,00;7,00
2019-10-27;7,00;64,17;7,00;14,00;0,00;7,00
2019-11-03;27,00;18,00;0,00;43,50;0,00;0,00
2019-11-10;24,00;18,00;6,00;48,00;0,00;0,00
2019-11-17;35,00;12,00;0,00;6,00;0,00;0,00
2019-11-24;33,00;40,07;0,00;12,96;7,07;7,00
2019-12-01;54,00;87,52;0,00;22,34;0,00;0,00
2019-12-08;40,00;55,17;16,55;31,72;0,00;7,00
2019-12-15;33,00;45,52;0,00;26,17;0,00;7,00
2019-12-22;21,00;57,17;0,00;21,00;0,00;0,00
2019-12-29;57,00;79,06;0,00;45,97;0,00;14,00
2020-01-05;19,00;48,36;19,00;29,36;0,00;0,00
2020-01-12;31,00;18,37;5,74;31,00;5,74;0,00
2020-01-19;40,00;45,00;0,00;51,00;0,00;0,00
2020-01-26;34,00;56,00;6,00;6,00;0,00;15,69
2020-02-02;22,00;28,00;11,00;22,00;6,00;0,00
2020-02-09;28,00;61,00;0,00;17,00;0,00;60,67
2020-02-16;60,00;22,00;0,00;11,00;0,00;0,00
2020-02-23;13,00;70,20;0,00;57,20;0,00;0,00
2020-03-01;31,00;31,00;9,69;9,69;0,00;0,00
2020-03-08;21,00;21,00;5,00;21,00;0,00;7,00
2020-03-15;0,00;27,00;5,00;27,00;5,00;6,00
2020-03-22;10,00;5,00;5,00;0,00;0,00;0,00
2020-03-29;24,00;8,00;8,00;16,00;0,00;6,00
2020-04-05;0,00;11,00;0,00;11,00;0,00;6,00
2020-04-12;10,00;10,00;5,00;10,00;5,00;0,00
2020-04-19;6,00;6,00;0,00;6,00;0,00;0,00
2020-04-26;10,00;5,00;5,00;10,00;0,00;10,00
2020-05-03;20,00;10,00;0,00;10,00;0,00;56,67
2020-05-10;12,00;0,00;12,00;6,00;0,00;6,00
2020-05-17;16,00;10,00;0,00;10,00;0,00;0,00
2020-05-24;0,00;0,00;0,00;10,00;5,00;0,00
2020-05-31;17,00;23,80;8,50;17,00;0,00;0,00
2020-06-07;17,00;64,60;0,00;17,00;0,00;0,00
2020-06-14;23,00;46,00;0,00;46,00;0,00;6,00
2020-06-21;18,00;18,00;0,00;5,63;0,00;0,00
2020-06-28;30,00;25,00;5,00;10,00;10,00;0,00
2020-07-05;19,00;121,60;0,00;41,80;0,00;0,00
2020-07-12;29,00;23,00;0,00;11,00;0,00;0,00
2020-07-19;7,00;21,00;7,00;7,00;0,00;7,00
2020-07-26;26,00;52,00;9,18;0,00;0,00;0,00
2020-08-02;13,00;26,00;0,00;7,09;7,09;0,00
2020-08-09;31,00;40,69;0,00;9,69;0,00;6,00
2020-08-16;21,00;21,00;5,00;0,00;0,00;7,00
2020-08-23;18,00;34,36;0,00;0,00;0,00;0,00
2020-08-30;6,00;13,20;13,20;0,00;0,00;0,00
2020-09-06;19,00;26,13;0,00;0,00;0,00;0,00
2020-09-13;6,00;0,00;0,00;11,00;0,00;0,00
2020-09-20;44,00;74,25;0,00;0,00;0,00;0,00
2020-09-27;19,00;46,64;0,00;8,64;0,00;6,00
2020-10-04;17,00;17,00;6,00;0,00;0,00;0,00
2020-10-11;29,00;6,00;0,00;0,00;6,00;0,00
2020-10-18;11,00;11,00;0,00;6,00;0,00;0,00
2020-10-25;16,00;16,00;0,00;5,00;0,00;0,00
2020-11-01;0,00;10,00;0,00;0,00;0,00;0,00
2020-11-08;5,00;11,00;0,00;11,00;0,00;0,00
2020-11-15;24,00;24,00;0,00;7,50;0,00;12,00
2020-11-22;25,00;32,81;7,81;17,19;0,00;0,00
2020-11-29;32,00;11,00;0,00;16,00;5,00;16,00
2020-12-06;38,00;130,63;11,88;38,00;0,00;0,00
2020-12-13;64,00;40,73;0,00;8,73;8,73;6,00
2020-12-20;75,00;214,29;25,71;25,71;0,00;21,00
2020-12-27;41,00;83,41;0,00;8,48;0,00;7,00
2021-01-03;38,00;60,00;5,00;0,00;0,00;0,00
2021-01-10;75,00;129,17;0,00;0,00;6,94;13,00
2021-01-17;50,00;136,36;0,00;36,36;0,00;12,00
2021-01-24;25,00;190,00;25,00;25,00;0,00;0,00
