Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;46,00;0,00;306,67;147,20;12,27;23,00
2019-01-13;11,00;0,00;192,50;112,75;30,25;0,00
2019-01-20;23,00;0,00;157,71;85,43;23,00;11,00
2019-01-27;34,00;21,64;170,00;126,73;0,00;0,00
2019-02-03;36,00;0,00;150,00;45,00;0,00;48,00
2019-02-10;24,00;0,00;201,00;105,00;0,00;12,00
2019-02-17;36,00;0,00;153,00;105,00;0,00;24,00
2019-02-24;48,00;25,60;208,00;48,00;0,00;0,00
2019-03-03;46,00;0,00;113,47;122,67;0,00;0,00
2019-03-10;12,00;0,00;147,00;78,00;0,00;35,00
2019-03-17;36,00;0,00;141,00;57,00;0,00;36,00
2019-03-24;36,00;0,00;141,00;81,00;0,00;24,00
2019-03-31;47,00;12,53;128,47;106,53;0,00;47,00
2019-04-07;45,00;0,00;138,21;115,71;12,86;11,00
2019-04-14;77,00;12,32;129,36;64,68;0,00;26,00
2019-04-21;65,00;0,00;154,76;65,00;12,38;0,00
2019-04-28;34,00;0,00;68,00;68,00;0,00;34,00
2019-05-05;11,00;0,00;170,50;79,75;0,00;34,00
2019-05-12;81,00;0,00;196,27;59,19;0,00;23,00
2019-05-19;11,00;0,00;154,00;71,50;0,00;34,00
2019-05-26;61,00;12,20;143,35;48,80;0,00;24,00
2019-06-02;70,00;0,00;130,45;35,00;12,73;23,00
2019-06-09;57,00;0,00;69,67;117,17;12,67;0,00
2019-06-16;71,00;0,00;154,35;12,35;24,70;12,00
2019-06-23;12,00;0,00;84,00;108,00;0,00;37,00
2019-06-30;37,00;12,33;74,00;37,00;12,33;37,00
2019-07-07;37,00;0,00;132,58;24,67;24,67;0,00
2019-07-14;40,00;0,00;172,31;52,31;12,31;27,00
2019-07-21;57,00;0,00;145,67;85,50;0,00;14,00
2019-07-28;43,00;0,00;168,93;70,64;43,00;42,00
2019-08-04;66,00;0,00;135,14;25,14;12,57;39,00
2019-08-11;48,00;12,00;174,00;48,00;24,00;12,00
2019-08-18;23,00;0,00;308,86;23,00;13,14;35,00
2019-08-25;58,00;0,00;137,37;67,16;0,00;35,00
2019-09-01;33,00;0,00;192,00;108,00;12,00;44,00
2019-09-08;23,00;0,00;157,71;95,29;0,00;23,00
2019-09-15;68,00;0,00;191,64;89,64;12,36;0,00
2019-09-22;58,00;21,37;100,74;112,95;21,37;46,00
2019-09-29;23,00;0,00;157,71;72,29;13,14;12,00
2019-10-06;81,00;12,46;186,92;68,54;0,00;46,00
2019-10-13;23,00;0,00;85,43;36,14;13,14;57,00
2019-10-20;66,00;12,57;157,14;44,00;22,00;44,00
2019-10-27;65,00;0,00;185,71;77,38;0,00;11,00
2019-11-03;33,00;0,00;138,00;105,00;33,00;11,00
2019-11-10;55,00;0,00;119,17;85,56;0,00;0,00
2019-11-17;88,00;12,57;132,00;44,00;12,57;33,00
2019-11-24;43,00;0,00;95,21;43,00;9,21;43,00
2019-12-01;33,00;0,00;105,00;42,00;0,00;22,00
2019-12-08;33,00;0,00;201,00;42,00;0,00;0,00
2019-12-15;45,00;12,86;138,21;102,86;12,86;22,00
2019-12-22;52,00;0,00;220,24;39,76;12,24;39,00
2019-12-29;100,00;12,50;278,13;100,00;0,00;25,00
2020-01-05;21,00;0,00;123,00;93,00;9,00;43,00
2020-01-12;31,00;0,00;260,40;93,00;0,00;10,00
2020-01-19;32,00;0,00;176,00;153,60;22,40;21,00
2020-01-26;31,00;9,30;217,00;93,00;0,00;31,00
2020-02-02;10,00;0,00;170,00;146,67;23,33;31,00
2020-02-09;63,00;9,45;138,60;97,65;9,45;21,00
2020-02-16;32,00;0,00;240,00;121,60;0,00;64,00
2020-02-23;20,00;10,00;106,67;86,67;0,00;20,00
2020-03-01;20,00;0,00;111,43;94,29;8,57;20,00
2020-03-08;10,00;0,00;103,33;103,33;0,00;19,00
2020-03-15;50,00;18,75;150,00;40,63;0,00;10,00
