Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;49,00;28,00;43,17;35,00;1,17;35,00;37,33;0,00;18,67;23,33;14,00;2,33;1,17;1,00;42,00;2,00;0,00;17,00;11,00;2,00;13,00;1,00;12,00;0,00;0,00;11,00;11,00;6,00;13,00;11,00;12,00;1,00;11,00;1,17;0,00;10,50;0,00;1,17;1,17;18,67;19,83;0,00;9,00;8,00
2019-01-13;51,00;32,45;51,00;37,09;2,32;33,61;31,30;0,00;24,34;16,23;13,91;2,32;3,48;1,00;30,00;2,00;0,00;17,00;8,00;1,00;15,00;1,00;15,00;0,00;0,00;14,00;21,00;7,00;12,00;4,00;15,00;0,00;12,00;0,00;0,00;5,80;0,00;1,16;1,16;20,86;15,07;2,00;11,00;8,00
2019-01-20;46,00;26,00;38,00;36,00;2,00;27,00;29,00;0,00;16,00;18,00;13,00;1,00;4,00;0,00;31,69;3,07;1,02;16,36;11,24;1,02;14,31;1,02;21,47;0,00;0,00;17,38;14,31;8,18;9,20;11,24;9,20;1,02;14,31;0,00;0,00;5,00;0,00;0,00;0,00;30,00;26,00;4,09;12,27;18,40
2019-01-27;57,00;24,28;33,78;50,67;1,06;38,00;35,89;0,00;22,17;23,22;14,78;1,06;4,22;0,00;35,00;4,00;1,00;18,00;9,00;0,00;12,00;7,00;10,00;0,00;0,00;25,00;14,00;9,00;14,00;14,00;8,00;0,00;6,00;1,06;0,00;7,39;0,00;0,00;0,00;34,83;20,06;4,00;13,00;11,00
2019-02-03;44,00;23,05;46,10;39,81;2,10;32,48;39,81;0,00;22,00;18,86;13,62;0,00;1,05;1,00;29,00;4,00;0,00;19,00;9,00;1,00;17,00;9,00;13,00;0,00;0,00;20,00;13,00;7,00;9,00;8,00;7,00;0,00;1,00;0,00;0,00;5,24;0,00;1,05;0,00;27,24;15,71;3,00;9,00;11,00
2019-02-10;53,00;22,08;55,21;26,50;1,10;27,60;40,85;0,00;19,88;15,46;13,25;1,10;2,21;0,00;25,00;4,00;0,00;14,00;11,00;1,00;14,00;6,00;19,00;1,00;0,00;32,00;16,00;9,00;15,00;7,00;15,00;0,00;6,00;0,00;0,00;6,63;1,10;1,10;0,00;16,56;15,46;2,00;7,00;6,00
2019-02-17;55,00;20,00;49,00;34,00;1,00;24,00;42,00;0,00;23,00;17,00;15,00;2,00;3,00;0,00;36,67;1,08;0,00;17,25;15,10;1,08;14,02;7,55;16,18;0,00;0,00;51,76;11,86;7,55;14,02;10,78;18,33;0,00;4,31;1,00;0,00;9,00;0,00;2,00;0,00;21,00;17,00;4,31;8,63;9,71
2019-02-24;60,00;25,26;57,89;29,47;2,11;27,37;32,63;0,00;33,68;16,84;10,53;2,11;3,16;0,00;29,00;2,00;0,00;17,00;17,00;1,00;23,00;5,00;15,00;1,00;0,00;25,00;15,00;8,00;17,00;13,00;15,00;0,00;3,00;0,00;0,00;8,42;0,00;1,05;2,11;20,00;15,79;1,00;9,00;6,00
2019-03-03;57,00;25,00;45,00;34,00;1,00;28,00;30,00;0,00;23,00;15,00;14,00;1,00;1,00;0,00;16,76;3,35;1,12;21,24;12,29;3,35;8,94;5,59;14,53;0,00;0,00;20,12;17,88;8,94;19,00;7,82;8,94;1,12;5,59;0,00;0,00;3,00;0,00;1,00;0,00;19,00;10,00;2,24;8,94;11,18
2019-03-10;50,00;25,00;45,83;36,46;1,04;28,13;31,25;0,00;20,83;17,71;9,38;0,00;3,13;0,00;20,00;0,00;0,00;12,00;9,00;2,00;7,00;5,00;13,00;1,00;0,00;15,00;12,00;5,00;9,00;6,00;13,00;1,00;3,00;0,00;1,04;5,21;0,00;1,04;1,04;9,38;12,50;2,00;9,00;5,00
2019-03-17;43,00;18,00;29,00;22,00;2,00;24,00;22,00;0,00;14,00;9,00;10,00;2,00;1,00;0,00;18,88;3,15;1,05;11,54;9,44;3,15;9,44;4,20;9,44;0,00;0,00;11,54;11,54;6,29;11,54;4,20;8,39;0,00;2,10;0,00;0,00;3,00;0,00;0,00;0,00;10,00;8,00;1,05;7,34;6,29
2019-03-24;36,00;19,06;27,53;21,18;0,00;22,24;24,35;0,00;7,41;9,53;5,29;1,06;3,18;0,00;15,00;2,00;0,00;10,00;5,00;1,00;8,00;2,00;7,00;1,00;0,00;4,00;7,00;4,00;2,00;5,00;9,00;1,00;1,00;0,00;0,00;2,12;0,00;0,00;1,06;4,24;4,24;2,00;4,00;2,00
2019-03-31;46,00;23,59;23,59;21,23;0,00;24,77;22,41;0,00;14,15;3,54;5,90;0,00;3,54;0,00;17,00;2,00;1,00;8,00;6,00;1,00;10,00;1,00;5,00;0,00;0,00;4,00;7,00;2,00;7,00;3,00;6,00;0,00;3,00;0,00;0,00;2,36;0,00;0,00;0,00;8,26;2,36;2,00;4,00;2,00
2019-04-07;33,00;15,00;19,00;15,00;1,00;16,00;16,00;1,00;10,00;12,00;5,00;1,00;1,00;0,00;10,24;3,41;0,00;10,24;4,55;0,00;3,41;0,00;6,83;1,14;0,00;7,97;7,97;3,41;5,69;5,69;3,41;0,00;2,28;0,00;0,00;3,00;0,00;1,00;0,00;6,00;5,00;1,14;2,28;1,14
2019-04-14;35,00;11,00;15,00;13,00;1,00;18,00;11,00;0,00;6,00;3,00;1,00;0,00;3,00;0,00;11,32;1,03;0,00;5,15;3,09;2,06;4,12;1,03;3,09;0,00;0,00;5,15;11,32;3,09;2,06;2,06;3,09;0,00;3,09;0,00;0,00;1,00;0,00;0,00;0,00;5,00;2,00;1,03;0,00;1,03
2019-04-21;47,00;16,35;8,17;7,15;0,00;16,35;8,17;0,00;3,07;2,04;1,02;1,02;2,04;1,00;13,00;1,00;2,00;6,00;2,00;1,00;2,00;0,00;2,00;0,00;0,00;3,00;6,00;1,00;1,00;3,00;0,00;0,00;4,00;0,00;1,02;1,02;0,00;0,00;0,00;7,15;1,02;0,00;0,00;2,00
2019-04-28;45,00;9,00;7,00;4,00;0,00;6,00;3,00;0,00;2,00;4,00;2,00;0,00;1,00;0,00;6,21;1,55;1,55;9,31;3,10;1,55;6,21;0,00;1,55;1,55;0,00;3,10;4,66;0,00;3,10;4,66;4,66;0,00;3,10;0,00;0,00;1,00;0,00;1,00;0,00;2,00;3,00;0,00;1,55;1,55
2019-05-05;27,00;5,00;5,00;4,00;1,00;4,00;5,00;0,00;3,00;2,00;1,00;1,00;2,00;0,00;6,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00;1,00;4,00;0,00;0,00;1,00;2,00;0,00;2,00;0,00;0,00;1,00;0,00;1,00;1,00;7,00;2,00;0,00;1,00;1,00
2019-05-12;18,00;5,63;5,63;2,25;0,00;3,38;4,50;0,00;2,25;1,13;0,00;1,13;2,25;0,00;4,00;1,00;1,00;2,00;2,00;1,00;2,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;1,00;1,00;3,00;0,00;1,00;0,00;0,00;1,13;0,00;1,13;0,00;6,75;1,13;1,00;0,00;0,00
2019-05-19;34,00;1,00;5,00;1,00;1,00;5,00;1,00;1,00;6,00;1,00;0,00;0,00;2,00;0,00;3,52;1,17;0,00;5,86;2,34;1,17;1,17;0,00;1,17;0,00;0,00;2,34;3,52;1,17;0,00;0,00;3,52;0,00;1,17;0,00;0,00;1,00;0,00;0,00;0,00;4,00;3,00;0,00;0,00;1,17
2019-05-26;39,00;2,05;6,16;3,08;0,00;2,05;2,05;0,00;2,05;1,03;0,00;0,00;0,00;0,00;5,00;1,00;2,00;3,00;3,00;0,00;2,00;1,00;2,00;0,00;0,00;3,00;6,00;1,00;1,00;0,00;5,00;0,00;0,00;0,00;0,00;3,08;0,00;0,00;1,03;5,13;2,05;2,00;1,00;0,00
2019-06-02;34,00;3,29;10,97;3,29;0,00;6,58;3,29;1,10;2,19;2,19;0,00;0,00;1,10;0,00;7,00;1,00;0,00;3,00;1,00;1,00;2,00;0,00;2,00;0,00;0,00;2,00;2,00;2,00;1,00;2,00;5,00;0,00;0,00;0,00;0,00;3,29;1,10;0,00;1,10;8,77;2,19;1,00;1,00;1,00
2019-06-09;38,00;2,05;5,14;3,08;0,00;7,19;3,08;0,00;3,08;3,08;1,03;0,00;2,05;0,00;10,00;2,00;1,00;5,00;2,00;1,00;3,00;0,00;1,00;1,00;0,00;4,00;13,00;1,00;2,00;2,00;4,00;0,00;3,00;0,00;0,00;2,05;0,00;0,00;0,00;8,22;2,05;0,00;1,00;0,00
2019-06-16;48,00;3,27;7,64;9,82;0,00;6,55;4,36;1,09;1,09;2,18;1,09;0,00;1,09;0,00;7,00;1,00;0,00;8,00;3,00;1,00;4,00;1,00;1,00;0,00;0,00;2,00;8,00;2,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;5,45;1,09;1,00;0,00;0,00
2019-06-23;44,00;3,00;9,00;11,00;1,00;6,00;4,00;1,00;3,00;2,00;1,00;0,00;2,00;0,00;9,43;1,05;0,00;8,38;2,10;0,00;5,24;1,05;3,14;0,00;0,00;3,14;6,29;2,10;2,10;1,05;3,14;0,00;1,05;0,00;0,00;3,00;0,00;1,00;0,00;4,00;2,00;0,00;1,05;0,00
2019-06-30;54,00;5,29;9,53;9,53;0,00;13,76;2,12;0,00;3,18;4,24;0,00;0,00;2,12;1,00;15,00;2,00;1,00;17,00;3,00;1,00;2,00;0,00;1,00;0,00;0,00;6,00;14,00;3,00;2,00;3,00;4,00;1,00;3,00;1,06;0,00;3,18;0,00;1,06;1,06;5,29;2,12;0,00;1,00;0,00
2019-07-07;51,00;4,34;17,36;10,85;1,09;16,28;9,77;0,00;5,43;7,60;5,43;0,00;2,17;0,00;15,00;4,00;0,00;16,00;7,00;1,00;7,00;0,00;3,00;1,00;0,00;4,00;13,00;4,00;2,00;2,00;5,00;0,00;5,00;0,00;0,00;4,34;0,00;1,09;0,00;10,85;5,43;1,00;1,00;0,00
2019-07-14;71,00;11,62;14,20;14,20;0,00;15,49;14,20;1,29;11,62;7,75;5,16;0,00;3,87;0,00;17,00;3,00;0,00;14,00;2,00;1,00;5,00;1,00;3,00;0,00;0,00;8,00;12,00;4,00;4,00;2,00;5,00;0,00;4,00;0,00;0,00;5,16;0,00;1,29;0,00;12,91;11,62;2,00;2,00;1,00
2019-07-21;80,00;23,33;16,67;12,22;0,00;33,33;11,11;0,00;12,22;6,67;6,67;0,00;2,22;0,00;14,00;3,00;0,00;8,00;5,00;2,00;6,00;0,00;5,00;1,00;0,00;8,00;8,00;10,00;6,00;3,00;7,00;0,00;4,00;0,00;0,00;3,33;0,00;1,11;1,11;13,33;6,67;1,00;1,00;1,00
2019-07-28;70,00;10,00;16,00;13,00;0,00;22,00;10,00;1,00;8,00;7,00;5,00;1,00;2,00;0,00;12,54;5,22;1,04;12,54;10,45;1,04;7,31;1,04;1,04;1,04;0,00;3,13;13,58;5,22;5,22;2,09;7,31;1,04;6,27;1,00;0,00;4,00;0,00;1,00;1,00;13,00;8,00;1,04;1,04;0,00
2019-08-04;75,00;7,00;18,00;17,00;2,00;17,00;15,00;1,00;7,00;5,00;5,00;1,00;4,00;0,00;17,71;3,13;2,08;22,92;4,17;1,04;8,33;1,04;5,21;0,00;0,00;12,50;15,63;5,21;8,33;2,08;7,29;0,00;6,25;0,00;0,00;7,00;0,00;1,00;0,00;16,00;10,00;1,04;2,08;2,08
2019-08-11;75,00;5,00;22,00;19,00;1,00;20,00;13,00;0,00;9,00;8,00;4,00;0,00;2,00;0,00;22,00;2,00;1,00;18,00;6,00;1,00;10,00;0,00;6,00;0,00;0,00;8,00;16,00;4,00;8,00;4,00;8,00;0,00;5,00;0,00;0,00;7,00;0,00;0,00;1,00;22,00;11,00;1,00;4,00;2,00
2019-08-18;68,00;6,48;17,27;11,87;1,08;16,19;12,95;0,00;8,63;6,48;5,40;0,00;2,16;0,00;20,00;1,00;0,00;13,00;6,00;1,00;5,00;0,00;4,00;0,00;0,00;8,00;14,00;4,00;6,00;3,00;6,00;0,00;4,00;1,08;0,00;5,40;0,00;0,00;1,08;14,03;5,40;1,00;1,00;2,00
2019-08-25;51,00;6,00;9,00;11,00;1,00;12,00;9,00;0,00;5,00;4,00;4,00;0,00;1,00;1,06;15,94;1,06;1,06;4,25;2,13;1,06;8,50;1,06;3,19;0,00;0,00;6,38;9,56;2,13;8,50;3,19;5,31;0,00;2,13;0,00;0,00;3,00;0,00;1,00;0,00;9,00;4,00;1,06;2,13;1,06
2019-09-01;48,00;5,85;10,54;11,71;1,17;10,54;5,85;0,00;3,51;2,34;4,68;0,00;4,68;0,00;8,00;1,00;1,00;8,00;2,00;1,00;4,00;2,00;1,00;1,00;0,00;7,00;8,00;4,00;1,00;1,00;5,00;0,00;2,00;0,00;0,00;1,17;0,00;0,00;0,00;11,71;2,34;0,00;2,00;1,00
2019-09-08;43,00;4,00;8,00;8,00;1,00;10,00;8,00;1,00;6,00;4,00;3,00;1,00;2,00;0,00;11,83;1,08;0,00;9,68;3,23;2,15;3,23;0,00;3,23;0,00;0,00;5,38;6,45;4,30;2,15;3,23;4,30;0,00;2,15;0,00;0,00;4,00;0,00;0,00;1,00;9,00;4,00;3,23;1,08;0,00
2019-09-15;40,00;6,00;15,00;6,00;1,00;7,00;12,00;1,00;5,00;5,00;7,00;1,00;1,00;0,00;8,89;2,22;1,11;4,44;5,56;1,11;3,33;0,00;4,44;0,00;0,00;3,33;5,56;3,33;3,33;4,44;7,78;1,11;4,44;0,00;0,00;3,00;0,00;0,00;0,00;6,00;2,00;1,11;2,22;0,00
2019-09-22;35,00;4,38;9,84;10,94;1,09;8,75;5,47;1,09;8,75;3,28;3,28;1,09;0,55;0,00;8,00;1,00;0,00;6,00;2,00;1,00;4,00;1,00;5,00;1,00;0,00;5,00;8,00;4,00;6,00;2,00;5,00;0,00;4,00;0,00;0,00;1,09;0,00;0,00;0,00;10,94;6,56;1,00;2,00;2,00
2019-09-29;38,00;11,30;15,41;10,27;0,00;12,32;10,27;0,00;4,11;5,14;5,14;3,08;3,08;0,00;11,00;1,00;1,00;4,00;3,00;1,00;3,00;1,00;4,00;0,00;0,00;5,00;8,00;3,00;3,00;3,00;5,00;0,00;2,00;0,00;0,00;3,08;0,00;1,03;1,03;5,14;2,05;1,00;1,00;2,00
2019-10-06;32,00;9,00;11,00;10,00;1,00;15,00;7,00;1,00;6,00;5,00;6,00;0,00;1,00;0,00;8,62;1,23;0,00;7,38;3,69;2,46;6,15;1,23;4,92;0,00;1,23;8,62;6,15;3,69;2,46;4,92;4,92;0,00;1,23;0,00;0,00;4,00;0,00;0,00;0,00;7,00;3,00;1,23;1,23;3,69
2019-10-13;24,00;8,00;12,00;12,00;0,00;24,00;9,33;0,00;10,67;6,67;6,67;1,33;1,33;0,00;13,00;2,00;1,00;6,00;4,00;1,00;6,00;1,00;4,00;1,00;0,00;11,00;8,00;2,00;4,00;3,00;7,00;0,00;5,00;0,00;0,00;4,00;0,00;1,33;1,33;12,00;5,33;1,00;1,00;0,00
2019-10-20;37,00;8,22;17,81;13,70;1,37;24,67;15,07;0,00;10,96;5,48;13,70;1,37;1,37;0,00;10,00;3,00;0,00;7,00;3,00;0,00;7,00;1,00;5,00;0,00;0,00;5,00;6,00;5,00;4,00;3,00;4,00;0,00;4,00;0,00;0,00;4,11;0,00;0,00;1,37;8,22;4,11;0,00;2,00;2,00
2019-10-27;38,00;8,22;11,30;15,41;1,03;15,41;12,32;0,51;3,08;4,11;4,11;0,51;2,05;0,00;14,00;2,00;0,00;7,00;4,00;1,00;9,00;1,00;3,00;0,00;0,00;8,00;9,00;3,00;3,00;3,00;3,00;1,00;6,00;0,51;0,00;3,08;0,00;0,51;0,00;9,24;2,05;1,00;1,00;1,00
2019-11-03;35,00;10,00;22,00;10,00;0,00;26,00;8,00;0,00;9,00;7,00;9,00;0,00;1,00;0,00;12,73;4,24;0,00;10,61;3,18;1,06;5,30;1,06;8,48;0,00;0,00;10,61;7,42;6,36;4,24;4,24;6,36;0,00;7,42;0,00;0,00;2,00;0,00;0,50;0,00;10,00;7,00;1,06;6,36;3,18
2019-11-10;31,00;15,00;24,00;14,00;0,50;19,00;10,00;0,50;9,00;10,00;7,00;0,00;4,00;1,11;14,39;2,21;0,00;6,64;7,75;3,32;7,75;2,21;6,64;1,11;0,00;14,39;9,96;5,54;5,54;2,21;12,18;0,00;7,75;0,00;0,50;4,00;0,00;0,00;0,50;14,00;8,00;3,32;6,64;5,54
2019-11-17;39,00;18,00;29,00;14,00;0,50;18,00;14,00;0,00;10,00;10,00;7,00;1,00;2,00;0,00;19,50;2,29;0,00;8,03;3,44;1,15;9,18;0,00;5,74;1,15;1,15;11,47;8,03;3,44;3,44;5,74;2,29;0,00;6,88;0,00;0,00;6,00;0,00;0,50;0,00;9,00;9,00;1,15;6,88;2,29
2019-11-24;28,00;15,00;26,00;17,00;0,50;18,00;9,00;1,00;9,00;8,00;9,00;0,00;1,00;0,00;15,56;3,11;0,52;4,15;5,19;1,04;6,22;0,52;5,19;0,00;0,00;10,37;9,33;5,19;5,19;4,15;6,22;0,52;12,44;0,00;0,00;5,00;0,00;1,00;1,00;11,00;7,00;1,04;8,30;4,15
2019-12-01;32,00;23,00;26,00;19,00;2,00;26,00;12,00;0,00;11,00;7,00;5,00;0,50;5,00;0,00;21,71;3,43;0,00;6,86;3,43;1,14;9,14;1,14;10,29;0,57;0,57;12,57;10,29;6,86;9,14;6,86;5,71;0,00;11,43;0,00;0,00;5,00;0,00;0,00;1,00;10,00;6,00;1,14;6,86;8,00
2019-12-08;37,00;19,00;29,00;20,00;0,00;24,00;16,00;1,00;14,00;11,00;10,00;0,00;2,00;0,00;30,27;1,12;0,00;8,97;7,85;0,56;6,73;0,00;13,45;0,00;0,00;15,70;7,85;4,48;7,85;12,33;8,97;0,56;17,94;0,50;0,00;6,00;0,00;0,50;1,00;13,00;8,00;0,56;4,48;6,73
2019-12-15;49,00;25,00;29,00;25,00;0,50;23,00;21,00;0,00;15,00;10,00;14,00;0,50;2,00;0,00;25,61;1,11;0,56;16,70;8,91;1,11;12,25;0,00;15,59;0,00;0,00;15,59;18,93;4,45;7,80;5,57;7,80;0,00;7,80;0,00;0,00;10,00;0,00;0,50;0,50;22,00;10,00;2,23;7,80;8,91
2019-12-22;75,00;39,29;61,90;45,24;3,57;52,38;45,24;0,00;28,57;27,38;21,43;2,38;4,76;0,00;40,00;1,00;1,00;21,00;16,00;3,00;21,00;3,00;21,00;0,00;0,00;23,00;15,00;5,00;14,00;11,00;17,00;1,00;20,00;1,19;1,19;15,48;0,00;1,19;2,38;38,10;21,43;3,00;10,00;11,00
2019-12-29;75,00;44,05;71,43;48,81;1,19;44,05;47,62;1,19;27,38;32,14;21,43;1,19;7,14;1,00;47,00;6,00;2,00;22,00;14,00;1,00;20,00;1,00;31,00;1,00;0,00;20,00;18,00;5,00;13,00;12,00;22,00;1,00;15,00;0,00;1,19;14,29;0,00;1,19;1,19;38,10;17,86;1,00;10,00;12,00
2020-01-05;47,00;28,84;33,11;27,77;1,07;26,70;25,64;0,00;18,16;12,82;13,89;1,07;1,07;0,00;30,00;2,00;0,50;18,00;4,00;3,00;10,00;1,00;13,00;1,00;0,00;21,00;13,00;7,00;9,00;8,00;13,00;1,00;16,00;0,00;0,00;9,61;0,00;0,53;0,53;19,23;13,89;1,00;9,00;6,00
2020-01-12;39,00;23,00;48,00;23,00;1,00;25,00;20,00;0,00;17,00;12,00;10,00;1,00;4,00;0,51;30,79;4,11;0,00;9,24;12,32;2,05;14,37;3,08;10,26;0,00;0,00;15,39;11,29;9,24;10,26;8,21;14,37;0,51;11,29;1,00;0,00;5,00;0,00;0,50;1,00;23,00;16,00;0,51;7,18;4,11
2020-01-19;47,00;23,00;41,00;33,00;0,50;22,00;26,00;0,00;14,00;13,00;14,00;0,00;2,00;0,00;39,17;2,24;0,00;20,14;10,07;2,24;16,79;3,36;19,02;0,56;0,00;16,79;16,79;3,36;11,19;10,07;11,19;0,56;15,67;0,00;0,00;8,00;0,00;3,00;0,50;48,00;23,00;2,24;12,31;15,67
2020-01-26;56,00;32,67;49,00;40,83;0,00;50,17;30,33;0,58;24,50;19,83;19,83;1,17;4,67;0,00;34,00;3,00;0,50;21,00;11,00;2,00;17,00;2,00;12,00;0,00;0,00;17,00;12,00;10,00;12,00;9,00;16,00;0,00;13,00;0,00;0,00;7,00;0,00;1,17;0,00;38,50;17,50;2,00;9,00;12,00
2020-02-02;53,00;26,00;42,00;36,00;0,50;33,00;38,00;0,00;24,00;22,00;16,00;0,00;3,00;0,00;34,57;3,46;1,15;21,89;17,28;0,00;20,74;1,15;11,52;0,00;0,00;26,50;20,74;14,98;16,13;18,43;18,43;0,00;12,67;0,00;0,00;8,00;0,00;2,00;0,50;31,00;17,00;2,30;13,83;21,89
2020-02-09;70,00;30,00;52,00;37,00;1,00;33,00;41,00;1,00;22,00;20,00;15,00;0,00;2,00;0,00;33,33;2,22;0,00;16,67;14,44;0,56;24,44;2,22;14,44;0,56;0,00;20,00;20,00;6,67;16,67;14,44;18,89;0,00;15,56;0,00;0,00;10,00;0,00;2,00;0,00;36,00;18,00;1,11;11,11;18,89
2020-02-16;65,00;22,00;46,00;31,00;1,00;44,00;35,00;0,00;19,00;19,00;14,00;2,00;2,00;0,00;30,47;3,05;0,00;21,33;14,22;2,03;21,33;1,02;16,25;0,00;0,51;28,44;18,28;11,17;14,22;13,20;11,17;0,51;15,23;0,00;0,00;8,00;0,00;0,50;2,00;29,00;23,00;4,06;11,17;12,19
2020-02-23;63,00;29,40;46,20;36,75;0,00;37,80;36,75;0,53;17,85;18,90;19,95;1,05;0,53;0,00;30,00;5,00;0,50;20,00;14,00;1,00;16,00;0,50;10,00;0,00;0,50;22,00;14,00;7,00;16,00;13,00;15,00;0,00;17,00;0,00;0,00;10,50;0,00;2,10;0,53;25,20;25,20;3,00;15,00;19,00
2020-03-01;62,00;26,96;60,65;43,13;1,35;37,74;37,74;0,00;24,26;18,87;12,13;0,67;2,70;0,50;29,00;2,00;0,00;12,00;11,00;0,50;12,00;1,00;10,00;0,00;0,50;18,00;16,00;7,00;10,00;9,00;10,00;0,00;10,00;0,00;0,00;12,13;0,67;1,35;0,00;28,30;24,26;2,00;11,00;14,00
2020-03-08;39,00;35,23;57,87;27,68;2,52;42,77;36,48;0,63;23,90;18,87;11,32;1,26;2,52;0,00;26,00;4,00;0,00;11,00;10,00;1,00;13,00;1,00;6,00;0,00;0,50;18,00;10,00;8,00;12,00;9,00;9,00;0,00;12,00;0,00;0,00;12,58;0,00;2,52;0,00;12,58;16,35;1,00;8,00;5,00
2020-03-15;16,00;10,00;8,00;8,00;0,00;12,00;6,00;0,00;5,00;2,00;4,00;0,00;1,00;0,67;10,67;1,33;0,67;6,67;4,00;1,33;4,00;0,67;5,33;0,00;0,00;5,33;5,33;4,00;4,00;4,00;6,67;0,00;4,00;0,00;0,00;2,00;0,00;0,00;0,50;5,00;1,00;0,00;0,67;2,67
2020-03-22;7,00;2,00;3,00;2,00;0,00;3,00;2,00;0,50;2,00;3,00;0,00;0,00;0,00;0,50;3,00;0,00;0,50;3,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;2,00;1,00;0,50;1,00;0,50;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,50;4,00;0,50;0,00;0,50;0,00
2020-03-29;9,00;1,13;4,50;2,25;1,13;4,50;2,25;0,00;1,13;1,13;0,56;0,00;2,25;0,00;3,00;1,00;0,00;3,00;0,50;0,00;1,00;0,00;1,00;0,00;0,00;1,00;3,00;1,00;1,00;0,00;0,50;0,50;1,00;0,00;0,00;1,13;0,00;0,00;0,00;3,38;1,13;0,00;0,50;0,50
2020-04-05;11,00;2,20;3,30;3,30;0,00;3,30;1,10;0,00;2,20;1,10;1,10;0,00;0,55;0,00;1,00;0,50;0,50;7,00;1,00;0,50;3,00;0,00;6,00;0,00;0,00;2,00;2,00;1,00;2,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,40;0,00;0,00;0,00;0,00
2020-04-12;11,00;1,10;16,50;2,20;0,55;4,40;3,30;0,55;2,20;2,20;1,10;0,00;0,00;0,00;4,00;0,50;0,00;2,00;0,50;0,50;1,00;0,00;0,50;0,00;0,00;3,00;3,00;1,00;0,50;1,00;0,50;0,00;0,50;0,00;0,00;1,10;0,00;0,00;0,00;2,20;0,55;0,00;0,00;0,00
