Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;50,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;54,29;15,71;6,52;0,00;0,00;6,52;0,00;6,52;0,00;13,04;0,00;0,00;0,00;0,00;6,52;6,52;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;51,00;0,00;9,44;9,44;9,44;9,44;0,00;9,44;0,00;0,00;0,00;51,00;91,26;6,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;20,78;0,00;0,00;0,00;0,00;0,00
2019-01-20;38,00;7,31;0,00;7,31;0,00;7,31;0,00;0,00;0,00;8,44;8,44;29,56;23,22;5,00;5,00;5,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;16,00;27,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;7,31;0,00;0,00;0,00
2019-01-27;32,00;5,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;5,82;5,82;0,00;0,00;11,29;20,71;0,00;20,71;11,29;11,29;0,00;11,29;20,71;11,29;0,00;11,29;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;43,00;5,00;5,00;11,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;10,03;31,53;0,00;0,00;0,00;0,00;0,00;23,45;0,00;0,00;0,00;0,00;0,00;0,00;23,45;23,45;0,00;5,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;54,00;0,00;11,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;21,89;11,57;0,00;0,00;11,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,57;0,00;5,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;29,00;0,00;0,00;37,53;10,24;10,24;0,00;0,00;0,00;0,00;0,00;9,67;55,58;6,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;10,24;0,00;0,00;0,00;0,00;0,00
2019-02-24;46,00;0,00;33,45;10,45;0,00;10,45;0,00;0,00;10,45;12,27;0,00;0,00;70,53;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;10,45;0,00;0,00;0,00;0,00;10,45;0,00;0,00;0,00;0,00
2019-03-03;23,00;6,00;6,00;6,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;5,75;23,00;0,00;0,00;23,00;23,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;46,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;0,00;0,00;11,00;0,00;0,00;6,00;0,00;0,00;0,00;5,74;5,74;27,26;0,00;0,00;24,39;8,61;0,00;8,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
