Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;21,00;2,00;47,00;1,00;3,00
2019-01-13;23,00;2,00;34,00;1,00;1,00
2019-01-20;18,00;2,00;31,00;1,00;4,00
2019-01-27;18,00;1,00;38,00;1,00;5,00
2019-02-03;21,00;1,00;32,00;2,00;2,00
2019-02-10;16,00;1,00;25,00;2,00;3,00
2019-02-17;19,00;2,00;30,00;3,00;3,00
2019-02-24;19,00;2,00;28,00;2,00;2,00
2019-03-03;22,00;1,00;42,00;1,00;2,00
2019-03-10;15,00;1,00;40,00;2,00;1,00
2019-03-17;14,00;1,00;31,00;1,00;2,00
2019-03-24;17,00;1,00;33,00;0,50;1,00
2019-03-31;14,00;2,00;31,00;1,00;1,00
2019-04-07;20,00;1,00;36,00;1,00;1,00
2019-04-14;14,00;0,50;32,00;1,00;1,00
2019-04-21;15,00;1,00;36,00;1,00;0,50
2019-04-28;14,00;1,00;31,00;1,00;1,00
2019-05-05;16,00;1,00;36,00;2,00;2,00
2019-05-12;20,00;1,00;38,00;2,00;4,00
2019-05-19;24,00;0,50;31,00;1,00;1,00
2019-05-26;19,00;1,00;34,00;1,00;3,00
2019-06-02;21,00;0,50;90,00;2,00;1,00
2019-06-09;17,00;0,50;47,00;1,00;1,00
2019-06-16;16,00;1,00;33,00;1,00;2,00
2019-06-23;13,00;2,00;32,00;1,00;4,00
2019-06-30;18,00;0,00;29,00;0,50;3,00
2019-07-07;14,00;0,00;27,00;3,00;2,00
2019-07-14;15,00;2,00;34,00;2,00;2,00
2019-07-21;16,00;0,50;32,00;1,00;3,00
2019-07-28;15,00;0,50;32,00;1,00;1,00
2019-08-04;18,00;0,50;35,00;2,00;3,00
2019-08-11;18,00;0,50;31,00;1,00;2,00
2019-08-18;18,00;1,00;28,00;0,50;2,00
2019-08-25;26,00;1,00;34,00;2,00;2,00
2019-09-01;17,00;1,00;24,00;1,00;1,00
2019-09-08;12,00;1,00;28,00;1,00;2,00
2019-09-15;18,00;2,00;30,00;1,00;3,00
2019-09-22;14,00;1,00;25,00;0,50;1,00
2019-09-29;15,00;0,50;25,00;2,00;2,00
2019-10-06;16,00;2,00;27,00;2,00;2,00
2019-10-13;15,00;2,00;22,00;1,00;0,00
2019-10-20;15,00;2,00;29,00;0,50;1,00
2019-10-27;15,00;1,00;25,00;1,00;2,00
2019-11-03;15,00;1,00;22,00;1,00;3,00
2019-11-10;14,00;1,00;26,00;2,00;2,00
2019-11-17;16,00;2,00;19,00;1,00;1,00
2019-11-24;15,00;1,00;20,00;1,00;1,00
2019-12-01;17,00;1,00;29,00;2,00;1,00
2019-12-08;14,00;3,00;27,00;1,00;1,00
2019-12-15;16,00;1,00;31,00;1,00;1,00
