Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;97,00;93,71;29,59;82,08;0,00;9,95;37,00;29,00;17,00;17,00;8,00;19,00;26,00;2,00;5,00;24,00;6,00;10,00;3,00;9,00;13,00;6,00;5,00;5,00;2,00;6,00;4,00;2,00;4,00;0,00;2,00;0,00;0,00
2019-01-13;95,00;83,53;31,12;85,00;1,25;17,50;35,00;30,00;22,00;17,00;9,00;22,00;18,00;2,00;7,00;22,00;3,00;9,00;3,00;12,00;11,00;11,00;5,00;5,00;2,00;5,00;3,00;0,00;2,00;1,00;1,00;0,50;0,50
2019-01-20;87,00;70,58;27,91;84,51;1,24;14,91;32,00;26,00;22,00;20,00;9,00;28,00;18,00;2,00;4,00;21,00;5,00;9,00;4,00;10,00;13,00;3,00;4,00;4,00;0,50;7,00;6,00;2,00;4,00;0,50;1,00;0,00;0,00
2019-01-27;100,00;77,05;29,51;62,50;1,25;17,50;20,00;32,00;18,00;15,00;9,00;18,00;19,00;2,00;5,00;19,00;3,00;10,00;3,00;6,00;8,00;4,00;5,00;3,00;1,00;7,00;5,00;1,00;1,00;1,00;2,00;0,00;0,50
2019-02-03;80,00;88,33;28,33;57,50;0,00;20,00;35,00;31,00;19,00;21,00;10,00;17,00;21,00;1,00;9,00;19,00;5,00;11,00;3,00;8,00;10,00;5,00;3,00;2,00;1,00;9,00;4,00;1,00;2,00;0,00;1,00;0,00;1,00
2019-02-10;89,00;90,65;26,37;59,33;1,24;19,78;21,00;27,00;12,00;21,00;8,00;22,00;27,00;2,00;7,00;15,00;6,00;10,00;2,00;7,00;10,00;3,00;5,00;2,00;1,00;6,00;3,00;1,00;4,00;0,50;0,00;0,50;0,00
2019-02-17;77,00;91,74;22,94;49,68;1,24;19,87;25,00;29,00;20,00;15,00;12,00;17,00;24,00;3,00;9,00;17,00;18,00;9,00;3,00;10,00;9,00;5,00;8,00;4,00;1,00;4,00;4,00;2,00;4,00;1,00;2,00;1,00;1,00
2019-02-24;91,00;76,38;27,63;59,03;1,23;17,22;25,00;22,00;15,00;27,00;7,00;19,00;28,00;1,00;4,00;17,00;4,00;12,00;3,00;7,00;8,00;5,00;6,00;2,00;1,00;5,00;5,00;2,00;3,00;1,00;0,50;0,00;0,50
2019-03-03;80,00;96,33;22,86;57,50;0,00;12,50;23,00;20,00;10,00;16,00;8,00;20,00;24,00;2,00;5,00;20,00;4,00;11,00;3,00;9,00;7,00;3,00;5,00;1,00;1,00;6,00;4,00;1,00;2,00;1,00;2,00;1,00;0,00
2019-03-10;80,00;83,27;26,12;57,50;0,00;17,50;29,00;24,00;14,00;21,00;11,00;16,00;25,00;3,00;6,00;16,00;5,00;9,00;5,00;7,00;8,00;4,00;6,00;3,00;1,00;7,00;3,00;2,00;4,00;1,00;1,00;1,00;1,00
