Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;44,00;7,00;31,00;9,00;5,00;4,00
2019-01-13;52,00;6,00;31,00;6,00;3,00;6,00
2019-01-20;40,00;7,00;31,00;10,00;4,00;5,00
2019-01-27;36,00;4,00;27,00;7,00;2,00;3,00
2019-02-03;35,00;7,00;31,00;8,00;2,00;3,00
2019-02-10;40,00;6,00;35,00;6,00;2,00;4,00
2019-02-17;38,00;12,00;31,00;8,00;1,00;7,00
2019-02-24;36,00;6,00;26,00;6,00;1,00;4,00
2019-03-03;35,00;9,00;29,00;6,00;1,00;1,00
2019-03-10;27,00;6,00;24,00;7,00;1,00;3,00
2019-03-17;34,00;9,00;20,00;5,00;1,00;4,00
2019-03-24;37,00;8,00;21,00;4,00;1,00;5,00
2019-03-31;40,00;7,00;26,00;7,00;4,00;4,00
2019-04-07;43,00;7,00;26,00;7,00;3,00;4,00
2019-04-14;39,00;7,00;24,00;4,00;3,00;4,00
2019-04-21;40,00;10,00;22,00;5,00;4,00;3,00
2019-04-28;35,00;7,00;23,00;7,00;4,00;4,00
2019-05-05;43,00;6,00;23,00;6,00;2,00;4,00
2019-05-12;37,00;9,00;20,00;6,00;2,00;3,00
2019-05-19;39,00;5,00;22,00;5,00;2,00;2,00
2019-05-26;39,00;8,00;19,00;4,00;2,00;2,00
2019-06-02;39,00;7,00;19,00;4,00;4,00;5,00
2019-06-09;39,00;9,00;16,00;3,00;5,00;4,00
2019-06-16;36,00;7,00;24,00;7,00;6,00;4,00
2019-06-23;44,00;9,00;22,00;5,00;2,00;5,00
2019-06-30;42,00;11,00;25,00;6,00;2,00;9,00
2019-07-07;41,00;13,00;23,00;5,00;3,00;9,00
2019-07-14;41,00;6,00;21,00;7,00;5,00;7,00
2019-07-21;39,00;10,00;26,00;6,00;4,00;6,00
2019-07-28;48,00;9,00;27,00;7,00;6,00;6,00
2019-08-04;48,00;11,00;30,00;8,00;5,00;9,00
2019-08-11;45,00;9,00;29,00;9,00;4,00;4,00
2019-08-18;44,00;7,00;28,00;7,00;4,00;4,00
2019-08-25;40,00;10,00;31,00;7,00;6,00;4,00
2019-09-01;40,00;9,00;21,00;8,00;3,00;3,00
2019-09-08;41,00;5,00;27,00;5,00;3,00;4,00
2019-09-15;40,00;7,00;22,00;5,00;6,00;4,00
2019-09-22;37,00;7,00;20,00;6,00;4,00;5,00
2019-09-29;42,00;7,00;19,00;5,00;4,00;4,00
2019-10-06;39,00;10,00;27,00;8,00;3,00;4,00
2019-10-13;46,00;9,00;24,00;6,00;4,00;5,00
2019-10-20;60,00;24,00;24,00;8,00;4,00;5,00
2019-10-27;43,00;8,00;25,00;7,00;3,00;6,00
2019-11-03;51,00;10,00;29,00;6,00;4,00;3,00
2019-11-10;43,00;9,00;26,00;6,00;5,00;7,00
2019-11-17;38,00;8,00;25,00;5,00;4,00;6,00
2019-11-24;42,00;7,00;22,00;5,00;4,00;2,00
2019-12-01;37,00;7,00;23,00;5,00;3,00;4,00
2019-12-08;39,00;13,00;22,00;4,00;4,00;3,00
2019-12-15;35,00;7,00;22,00;5,00;3,00;4,00
2019-12-22;42,00;7,00;38,00;7,00;9,00;5,00
2019-12-29;52,00;7,00;37,00;8,00;7,00;4,00
2020-01-05;47,00;7,00;34,00;6,00;8,00;4,00
2020-01-12;50,00;10,00;33,00;8,00;6,00;4,00
2020-01-19;44,00;5,00;29,00;8,00;7,00;2,00
2020-01-26;42,00;7,00;42,00;8,00;6,00;5,00
2020-02-02;44,00;6,00;39,00;5,00;5,00;3,00
2020-02-09;48,00;7,00;34,00;6,00;5,00;3,00
2020-02-16;47,00;7,00;28,00;9,00;6,00;7,00
2020-02-23;41,00;8,00;27,00;7,00;4,00;5,00
2020-03-01;43,00;7,00;28,00;5,00;5,00;6,00
2020-03-08;49,00;7,00;31,00;4,00;2,00;6,00
2020-03-15;37,00;7,00;20,00;4,00;1,00;3,00
