Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;73,00;584,00;571,83;571,83;365,00;29,20;222,65;146,00;243,33;192,23;143,57;221,43;157,23;325,69;95,46;28,08;154,11;657,00;24,33;89,22;20,00;53,00;42,00;59,00;35,20;117,32;16,95;45,63;40,00;18,00;20,00;7,00;18,00;2,00;4,00
2020-01-12;100,00;618,75;556,25;543,75;353,57;10,71;232,14;135,71;229,27;219,51;160,98;190,24;188,89;383,33;83,33;22,22;133,33;758,33;25,00;75,00;25,00;55,00;41,00;57,00;32,89;106,58;18,42;43,42;29,00;20,00;14,00;4,00;18,00;2,00;2,00
2020-01-19;82,00;624,46;454,15;630,77;317,30;17,83;210,35;149,74;212,24;214,65;166,41;183,29;125,73;295,20;109,33;10,93;147,60;713,40;24,60;57,40;40,00;84,00;61,00;71,00;46,29;92,58;38,35;42,32;44,00;19,00;9,00;4,00;27,00;4,00;0,00
2020-01-26;78,00;526,50;409,50;481,00;330,57;14,86;241,43;133,71;221,81;192,56;158,44;187,69;139,29;267,43;89,14;16,71;109,20;741,00;31,20;62,40;28,00;58,00;37,00;65,00;43,63;88,58;31,73;26,44;26,00;18,00;17,00;4,00;15,00;0,00;7,00
2020-02-02;87,00;515,79;509,57;528,21;300,88;10,88;293,63;112,38;183,67;166,75;135,33;205,42;163,13;271,88;92,44;21,75;126,55;609,00;23,73;63,27;17,00;59,00;61,00;72,00;35,59;101,50;22,41;46,14;25,00;11,00;13,00;13,00;8,00;6,00;4,00
2020-02-09;80,00;572,31;504,62;504,62;312,73;18,18;258,18;149,09;210,91;169,70;162,42;176,97;149,33;293,33;90,67;16,00;128,00;800,00;40,00;72,00;33,00;60,00;42,00;82,00;45,90;131,15;32,79;45,90;25,00;20,00;11,00;9,00;29,00;4,00;0,00
2020-02-16;74,00;579,67;394,67;511,83;325,60;14,80;247,90;151,70;193,35;167,10;124,13;179,03;126,86;301,29;95,14;15,86;131,56;698,89;16,44;74,00;25,00;56,00;51,00;65,00;27,26;75,30;14,28;38,95;31,00;9,00;13,00;7,00;25,00;2,00;4,00
2020-02-23;64,00;576,00;409,60;499,20;288,00;10,67;241,78;110,22;152,62;169,85;164,92;155,08;122,67;533,33;80,00;21,33;104,00;576,00;24,00;72,00;23,00;60,00;34,00;51,00;26,12;97,96;15,67;31,35;16,00;5,00;9,00;5,00;21,00;2,00;2,00
2020-03-01;55,00;488,89;323,89;495,00;297,00;3,67;260,33;102,67;148,26;169,78;93,26;153,04;126,50;280,50;60,50;22,00;94,29;510,71;23,57;70,71;16,00;57,00;54,00;50,00;23,57;96,90;24,88;23,57;18,00;12,00;21,00;9,00;4,00;0,00;2,00
2020-03-08;43,00;423,86;356,29;436,14;279,50;21,50;308,17;96,75;169,61;176,78;162,44;160,06;96,75;311,75;48,38;10,75;103,20;533,20;25,80;51,60;23,00;59,00;44,00;59,00;24,76;110,76;15,64;16,94;21,00;3,00;9,00;0,00;16,00;2,00;9,00
2020-03-15;45,00;295,71;180,00;154,29;191,25;1,88;191,25;71,25;45,00;100,00;82,50;107,50;67,50;450,00;33,75;16,88;52,50;300,00;22,50;52,50;17,00;48,00;29,00;26,00;17,21;86,03;5,29;37,06;21,00;2,00;10,00;0,00;10,00;0,00;0,00
2020-03-22;23,00;149,50;80,50;132,25;126,50;3,83;126,50;23,00;38,33;81,78;66,44;86,89;28,75;207,00;17,25;5,75;53,67;145,67;15,33;30,67;11,00;38,00;15,00;16,00;12,18;27,06;0,00;20,29;7,00;0,00;5,00;7,00;5,00;0,00;2,00
2020-03-29;13,00;149,50;84,50;123,50;91,00;3,25;81,25;22,75;26,00;67,60;41,60;78,00;19,50;143,00;45,50;13,00;26,00;104,00;13,00;19,50;5,00;20,00;28,00;13,00;5,20;18,20;5,20;10,40;3,00;7,00;0,00;0,00;7,00;0,00;0,00
2020-04-05;15,00;202,50;112,50;165,00;97,50;3,75;90,00;22,50;27,50;47,50;55,00;92,50;15,00;105,00;20,00;10,00;30,00;142,50;15,00;22,50;12,00;30,00;22,00;18,00;8,18;8,18;4,09;19,09;12,00;8,00;0,00;0,00;7,00;0,00;2,00
2020-04-12;23,00;138,00;63,25;97,75;107,33;3,83;103,50;34,50;34,50;66,70;48,30;62,10;17,25;109,25;17,25;11,50;38,33;138,00;15,33;23,00;5,00;12,00;30,00;20,00;7,67;19,17;1,28;17,89;5,00;5,00;5,00;0,00;13,00;0,00;2,00
2020-04-19;20,00;153,33;86,67;146,67;84,00;4,00;100,00;24,00;50,00;62,50;55,00;72,50;25,00;110,00;25,00;5,00;70,00;170,00;10,00;40,00;7,00;18,00;21,00;33,00;5,33;20,00;1,33;5,33;5,00;3,00;5,00;0,00;7,00;0,00;2,00
2020-04-26;10,00;110,00;75,00;100,00;96,67;3,33;130,00;20,00;57,50;45,00;42,50;67,50;30,00;115,00;20,00;5,00;50,00;150,00;5,00;30,00;5,00;27,00;14,00;13,00;7,14;12,86;8,57;18,57;6,00;5,00;3,00;2,00;11,00;2,00;0,00
2020-05-03;20,00;166,67;100,00;146,67;88,00;2,00;96,00;40,00;32,50;72,50;40,00;82,50;30,00;100,00;25,00;5,00;90,00;190,00;10,00;20,00;8,00;15,00;18,00;10,00;12,00;24,00;6,67;10,67;10,00;5,00;7,00;2,00;8,00;2,00;0,00
2020-05-10;23,00;155,25;74,75;103,50;88,17;3,83;92,00;38,33;58,78;61,33;38,33;74,11;28,75;109,25;28,75;11,50;53,67;184,00;7,67;30,67;6,00;31,00;19,00;31,00;5,41;25,71;6,76;8,12;8,00;3,00;3,00;2,00;10,00;0,00;2,00
2020-05-17;17,00;153,00;96,33;113,33;112,20;13,60;105,40;23,80;63,14;51,00;60,71;63,14;28,33;124,67;22,67;5,67;68,00;187,00;8,50;25,50;15,00;20,00;23,00;28,00;11,77;23,54;10,46;18,31;13,00;7,00;2,00;2,00;3,00;0,00;3,00
2020-05-24;21,00;182,00;91,00;140,00;94,50;3,50;84,00;38,50;49,00;56,00;56,00;100,33;15,75;84,00;15,75;5,25;56,00;140,00;21,00;28,00;12,00;24,00;26,00;26,00;14,44;9,19;5,25;10,50;16,00;5,00;2,00;2,00;5,00;0,00;0,00
2020-05-31;29,00;127,60;92,80;104,40;108,75;7,25;83,38;54,38;50,75;67,67;67,67;72,50;29,00;104,40;23,20;5,80;43,50;137,75;14,50;21,75;19,00;16,00;26,00;27,00;9,23;26,36;5,27;13,18;11,00;3,00;3,00;3,00;10,00;0,00;5,00
2020-06-07;35,00;140,00;105,00;151,67;105,00;3,50;87,50;31,50;37,50;62,50;52,50;95,00;35,00;105,00;23,33;11,67;61,25;218,75;8,75;35,00;14,00;17,00;25,00;19,00;19,44;24,63;2,59;16,85;6,00;16,00;2,00;5,00;24,00;3,00;0,00
2020-06-14;37,00;246,67;92,50;185,00;136,90;3,70;114,70;44,40;66,60;108,53;64,13;98,67;26,43;79,29;26,43;5,29;37,00;207,20;14,80;37,00;18,00;41,00;20,00;41,00;15,31;30,62;5,10;24,24;11,00;10,00;8,00;7,00;36,00;5,00;0,00
2020-06-21;50,00;243,75;137,50;250,00;121,43;7,14;103,57;53,57;54,76;66,67;69,05;109,52;38,89;133,33;38,89;5,56;83,33;258,33;8,33;33,33;28,00;32,00;25,00;28,00;15,79;23,68;1,32;7,89;10,00;7,00;17,00;7,00;32,00;2,00;2,00
2020-06-28;55,00;268,89;158,89;220,00;132,00;7,33;113,67;47,67;83,70;90,87;69,35;110,00;38,50;126,50;44,00;11,00;78,57;251,43;23,57;39,29;11,00;29,00;21,00;36,00;22,26;27,50;7,86;27,50;19,00;6,00;16,00;8,00;26,00;3,00;3,00
2020-07-05;60,00;306,67;213,33;266,67;123,75;11,25;112,50;48,75;72,00;88,80;69,60;120,00;49,09;120,00;38,18;10,91;102,86;265,71;17,14;25,71;17,00;27,00;15,00;39,00;27,39;28,70;3,91;22,17;22,00;14,00;12,00;7,00;7,00;3,00;0,00
2020-07-12;70,00;292,73;273,64;369,09;173,16;11,05;143,68;51,58;43,45;82,07;89,31;164,14;37,69;118,46;37,69;5,38;77,78;272,22;31,11;38,89;25,00;39,00;21,00;21,00;18,49;34,34;10,57;19,81;14,00;7,00;29,00;5,00;14,00;5,00;5,00
2020-07-19;76,00;361,00;247,00;380,00;144,76;10,86;119,43;61,52;78,45;68,65;115,23;161,81;43,43;135,71;43,43;10,86;84,44;304,00;16,89;42,22;18,00;27,00;22,00;35,00;32,76;24,90;14,41;34,07;16,00;4,00;25,00;16,00;24,00;4,00;4,00
2020-07-26;80,00;283,08;160,00;166,15;145,45;21,82;105,45;36,36;60,61;101,82;82,42;157,58;21,33;112,00;37,33;10,67;88,00;360,00;16,00;24,00;22,00;38,00;24,00;36,00;22,30;47,21;9,18;28,85;15,00;7,00;16,00;2,00;22,00;0,00;2,00
2020-08-02;40,00;326,67;213,33;133,33;149,09;18,18;112,73;36,36;61,18;108,24;84,71;134,12;34,29;131,43;34,29;17,14;112,00;304,00;8,00;48,00;29,00;40,00;28,00;40,00;25,81;36,13;16,77;32,26;11,00;5,00;7,00;2,00;18,00;7,00;4,00
2020-08-09;76,00;247,00;177,33;164,67;159,24;7,24;90,48;43,43;105,42;88,26;85,81;174,06;38,00;179,14;32,57;10,86;92,89;320,89;16,89;67,56;31,00;42,00;38,00;44,00;19,66;45,86;0,00;23,59;14,00;9,00;5,00;4,00;20,00;7,00;0,00
2020-08-16;30,00;192,00;138,00;162,00;150,00;3,75;101,25;75,00;85,38;73,85;87,69;177,69;40,00;135,00;45,00;20,00;67,50;210,00;15,00;30,00;14,00;45,00;27,00;48,00;10,43;33,91;9,13;30,00;9,00;13,00;5,00;2,00;20,00;2,00;0,00
2020-08-23;43,00;184,29;165,86;141,29;211,42;7,17;71,67;111,08;83,61;83,61;105,11;181,56;32,25;193,50;26,88;16,13;103,20;275,20;17,20;51,60;11,00;32,00;39,00;45,00;27,36;39,09;9,12;35,18;14,00;11,00;4,00;4,00;14,00;2,00;0,00
