Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;11,00;16,00;6,00;100,00;64,00;363,00
2020-01-12;11,00;12,00;5,00;72,00;47,00;289,67
2020-01-19;10,00;15,00;3,00;88,00;47,00;220,00
2020-01-26;14,00;11,00;8,00;68,00;49,00;220,50
2020-02-02;2,00;19,00;13,00;50,00;53,00;216,00
2020-02-09;3,00;14,00;5,00;43,00;56,00;174,00
2020-02-16;5,00;11,00;6,00;63,00;32,00;330,00
2020-02-23;6,00;14,00;5,00;50,00;35,00;141,00
2020-03-01;5,00;6,00;6,00;54,00;35,00;210,00
2020-03-08;3,00;7,00;12,00;63,00;45,00;162,00
2020-03-15;3,00;10,00;4,00;56,00;50,00;147,00
2020-03-22;4,00;8,00;3,00;18,00;24,00;112,00
2020-03-29;4,00;4,00;0,00;27,00;18,00;84,00
2020-04-05;3,00;6,00;9,00;26,00;21,00;75,00
2020-04-12;3,00;6,00;0,00;24,00;14,00;66,00
2020-04-19;1,00;7,00;4,00;21,00;13,00;36,00
2020-04-26;1,00;8,00;7,00;22,00;7,00;42,00
2020-05-03;4,00;4,00;3,00;22,00;28,00;100,00
2020-05-10;3,00;4,00;4,00;17,00;12,00;54,00
2020-05-17;8,00;14,00;0,00;41,00;16,00;56,00
2020-05-24;9,00;6,00;0,00;33,00;21,00;72,00
2020-05-31;4,00;12,00;3,00;30,00;16,00;88,00
2020-06-07;4,00;5,00;4,00;24,00;23,00;76,00
2020-06-14;4,00;7,00;3,00;28,00;10,00;104,00
2020-06-21;3,00;6,00;6,00;36,00;24,00;111,00
2020-06-28;4,00;7,00;6,00;28,00;21,00;112,00
2020-07-05;9,00;6,00;1,00;28,00;25,00;99,00
2020-07-12;2,00;5,00;3,00;14,00;14,00;140,00
2020-07-19;3,00;5,00;0,00;33,00;29,00;93,00
2020-07-26;6,00;5,00;5,00;34,00;17,00;117,00
2020-08-02;5,00;11,00;3,00;33,00;17,00;160,00
2020-08-09;14,00;9,00;6,00;45,00;25,00;112,00
2020-08-16;6,00;5,00;6,00;21,00;14,00;84,00
2020-08-23;9,00;11,00;3,00;44,00;24,00;93,00
2020-08-30;8,00;6,00;2,00;27,00;22,00;144,00
2020-09-06;8,00;5,00;3,00;22,00;23,00;160,00
2020-09-13;11,00;18,00;0,00;19,00;30,00;150,33
2020-09-20;6,00;12,00;6,00;29,00;26,00;114,00
2020-09-27;2,00;11,00;0,00;30,00;36,00;132,00
2020-10-04;6,00;2,00;2,00;40,00;32,00;84,00
2020-10-11;7,00;3,00;7,00;30,00;20,00;105,00
2020-10-18;5,00;6,00;5,00;32,00;44,00;145,00
