Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2020-01-05;16,00;5,00;59,00;7,00;11,00
2020-01-12;18,00;4,00;89,00;7,00;11,00
2020-01-19;17,00;7,00;57,00;2,00;2,00
2020-01-26;16,00;0,00;60,00;7,00;9,00
2020-02-02;14,00;5,00;59,00;5,00;2,00
2020-02-09;25,00;0,00;54,00;7,00;0,00
2020-02-16;20,00;9,00;61,00;0,00;5,00
2020-02-23;18,00;7,00;40,00;2,00;7,00
2020-03-01;18,00;4,00;42,00;4,00;4,00
2020-03-08;13,00;0,00;43,00;4,00;2,00
2020-03-15;17,00;9,00;39,00;4,00;4,00
2020-03-22;16,00;0,00;31,00;10,00;4,00
2020-03-29;6,00;2,00;49,00;8,00;2,00
2020-04-05;17,00;0,00;42,00;6,00;12,00
2020-04-12;21,00;6,00;54,00;4,00;2,00
2020-04-19;12,00;6,00;39,00;6,00;10,00
2020-04-26;36,00;4,00;54,00;2,00;6,00
2020-05-03;20,00;2,00;35,00;4,00;4,00
2020-05-10;18,00;8,00;32,00;8,00;2,00
2020-05-17;12,00;0,00;47,00;2,00;4,00
2020-05-24;6,00;9,00;39,00;9,00;9,00
2020-05-31;10,00;2,00;46,00;0,00;2,00
2020-06-07;12,00;2,00;41,00;0,00;4,00
2020-06-14;22,00;0,00;30,00;4,00;0,00
2020-06-21;13,00;6,00;35,00;4,00;2,00
2020-06-28;14,00;16,00;63,00;4,00;4,00
2020-07-05;19,00;4,00;36,00;0,00;0,00
2020-07-12;22,00;2,00;31,00;0,00;4,00
2020-07-19;18,00;2,00;32,00;2,00;14,00
2020-07-26;16,00;5,00;34,00;2,00;5,00
2020-08-02;23,00;0,00;27,00;2,00;14,00
2020-08-09;11,00;2,00;36,00;5,00;7,00
2020-08-16;20,00;9,00;45,00;4,00;4,00
2020-08-23;13,00;4,00;42,00;4,00;4,00
2020-08-30;9,00;0,00;39,00;9,00;2,00
2020-09-06;20,00;2,00;32,00;0,00;0,00
2020-09-13;12,00;7,00;32,00;0,00;0,00
2020-09-20;18,00;5,00;38,00;0,00;7,00
2020-09-27;5,00;2,00;37,00;0,00;5,00
2020-10-04;30,00;2,00;39,00;2,00;0,00
2020-10-11;5,00;2,00;46,00;5,00;0,00
2020-10-18;9,00;7,00;19,00;0,00;2,00
2020-10-25;21,00;0,00;28,00;2,00;2,00
2020-11-01;9,00;4,00;43,00;0,00;0,00
2020-11-08;13,00;2,00;40,00;0,00;0,00
2020-11-15;16,00;9,00;50,00;5,00;7,00
2020-11-22;7,00;0,00;43,00;2,00;4,00
2020-11-29;25,00;5,00;34,00;2,00;2,00
2020-12-06;7,00;0,00;38,00;2,00;2,00
2020-12-13;17,00;5,00;50,00;0,00;5,00
2020-12-20;8,00;0,00;42,00;8,00;5,00
2020-12-27;9,00;5,00;40,00;12,00;2,00
2021-01-03;9,00;5,00;36,00;5,00;2,00
2021-01-10;13,00;2,00;29,00;4,00;2,00
2021-01-17;25,00;5,00;32,00;0,00;0,00
2021-01-24;16,00;0,00;32,00;0,00;2,00
2021-01-31;20,00;0,00;34,00;0,00;2,00
2021-02-07;16,00;0,00;44,00;0,00;5,00
2021-02-14;26,00;0,00;29,00;0,00;7,00
2021-02-21;11,00;2,00;39,00;0,00;2,00
2021-02-28;14,00;2,00;42,00;2,00;7,00
2021-03-07;17,00;2,00;29,00;2,00;2,00
2021-03-14;18,00;2,00;34,00;0,00;0,00
2021-03-21;10,00;7,00;41,00;0,00;0,00
2021-03-28;3,00;0,00;46,00;3,00;3,00
2021-04-04;32,00;0,00;22,00;2,00;2,00
2021-04-11;8,00;5,00;28,00;3,00;3,00
2021-04-18;13,00;0,00;26,00;3,00;3,00
2021-04-25;5,00;0,00;12,00;2,00;2,00
2021-05-02;5,00;2,00;29,00;2,00;0,00
2021-05-09;5,00;5,00;25,00;0,00;2,00
2021-05-16;2,00;2,00;30,00;2,00;2,00
2021-05-23;10,00;0,00;15,00;0,00;0,00
2021-05-30;8,00;3,00;19,00;0,00;5,00
2021-06-06;10,00;0,00;18,00;3,00;0,00
2021-06-13;8,00;0,00;28,00;0,00;3,00
2021-06-20;10,00;0,00;18,00;0,00;3,00
2021-06-27;15,00;2,00;22,00;2,00;0,00
2021-07-04;5,00;5,00;30,00;2,00;0,00
2021-07-11;3,00;0,00;26,00;0,00;0,00
2021-07-18;13,00;0,00;45,00;0,00;5,00
2021-07-25;23,00;0,00;100,00;3,00;3,00
2021-08-01;16,00;3,00;44,00;3,00;0,00
2021-08-08;16,00;0,00;16,00;0,00;0,00
2021-08-15;21,00;5,00;28,00;8,00;3,00
2021-08-22;3,00;0,00;29,00;0,00;0,00
2021-08-29;22,00;5,00;33,00;0,00;5,00
2021-09-05;14,00;0,00;31,00;0,00;3,00
2021-09-12;0,00;3,00;35,00;3,00;3,00
2021-09-19;22,00;3,00;16,00;0,00;0,00
2021-09-26;3,00;0,00;8,00;0,00;0,00
2021-10-03;6,00;4,00;25,00;0,00;0,00
2021-10-10;10,00;4,00;27,00;0,00;2,00
2021-10-17;13,00;4,00;20,00;2,00;6,00
2021-10-24;17,00;4,00;21,00;2,00;2,00
2021-10-31;11,00;2,00;44,00;2,00;4,00
2021-11-07;15,00;7,00;31,00;2,00;0,00
2021-11-14;11,00;2,00;97,00;4,00;4,00
2021-11-21;7,00;2,00;25,00;2,00;0,00
2021-11-28;9,00;4,00;24,00;0,00;2,00
2021-12-05;17,00;8,00;28,00;2,00;2,00
2021-12-12;8,00;26,00;14,00;0,00;0,00
2021-12-19;16,00;2,00;43,00;0,00;2,00
2021-12-26;15,00;2,00;39,00;0,00;2,00
2022-01-02;17,00;2,00;35,00;0,00;6,00
2022-01-09;36,00;0,00;42,00;0,00;4,00
