Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;11,00;11,00;20,00;66,00;46,00;50,88
2020-01-12;11,00;6,00;18,00;70,00;47,00;49,50
2020-01-19;10,00;6,00;14,00;56,00;55,00;47,14
2020-01-26;8,00;6,00;10,00;74,00;33,00;41,33
2020-02-02;8,00;6,00;15,00;45,00;40,00;41,33
2020-02-09;9,00;3,00;15,00;72,00;57,00;45,00
2020-02-16;10,00;6,00;16,00;67,00;47,00;60,00
2020-02-23;8,00;8,00;16,00;80,00;33,00;45,33
2020-03-01;8,00;6,00;12,00;70,00;33,00;38,67
2020-03-08;6,00;7,00;15,00;92,00;28,00;30,00
2020-03-15;4,00;3,00;10,00;85,00;19,00;26,67
2020-03-22;7,00;3,00;4,00;39,00;14,00;25,20
2020-03-29;3,00;3,00;4,00;41,00;17,00;18,00
2020-04-05;6,00;5,00;8,00;26,00;14,00;21,00
2020-04-12;7,00;3,00;5,00;33,00;16,00;19,60
2020-04-19;6,00;4,00;5,00;37,00;14,00;16,80
2020-04-26;7,00;4,00;7,00;37,00;16,00;18,20
2020-05-03;5,00;2,00;6,00;38,00;17,00;18,75
2020-05-10;6,00;2,00;6,00;40,00;19,00;27,00
2020-05-17;5,00;5,00;5,00;46,00;21,00;30,00
2020-05-24;7,00;4,00;6,00;44,00;17,00;19,60
2020-05-31;4,00;5,00;6,00;49,00;24,00;21,33
2020-06-07;6,00;3,00;8,00;45,00;18,00;18,00
2020-06-14;4,00;4,00;9,00;46,00;19,00;22,67
2020-06-21;5,00;3,00;6,00;45,00;18,00;16,25
2020-06-28;5,00;6,00;6,00;58,00;17,00;23,75
2020-07-05;6,00;7,00;5,00;55,00;18,00;36,00
2020-07-12;6,00;5,00;7,00;44,00;20,00;32,40
2020-07-19;2,00;5,00;3,00;48,00;18,00;26,00
2020-07-26;4,00;8,00;7,00;50,00;18,00;32,00
2020-08-02;5,00;4,00;10,00;43,00;15,00;31,67
2020-08-09;4,00;5,00;8,00;43,00;20,00;29,33
2020-08-16;5,00;7,00;9,00;49,00;16,00;26,25
2020-08-23;6,00;4,00;8,00;45,00;15,00;26,40
2020-08-30;4,00;4,00;5,00;46,00;19,00;30,67
2020-09-06;4,00;6,00;8,00;43,00;18,00;21,33
2020-09-13;4,00;5,00;4,00;45,00;19,00;21,33
2020-09-20;3,00;3,00;6,00;48,00;20,00;17,00
2020-09-27;6,00;5,00;7,00;50,00;18,00;34,50
2020-10-04;6,00;2,00;5,00;47,00;25,00;22,80
2020-10-11;5,00;6,00;8,00;47,00;24,00;25,00
2020-10-18;8,00;3,00;7,00;49,00;26,00;21,33
2020-10-25;6,00;3,00;4,00;50,00;16,00;31,50
2020-11-01;4,00;5,00;4,00;39,00;17,00;16,00
2020-11-08;5,00;7,00;7,00;47,00;16,00;23,75
