Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;21,00;0,00;37,00;11,00;5,00
2019-01-13;10,00;5,00;21,00;5,00;0,00
2019-01-20;21,00;5,00;31,00;5,00;10,00
2019-01-27;11,00;0,00;43,00;0,00;0,00
2019-02-03;27,00;5,00;27,00;0,00;5,00
2019-02-10;16,00;0,00;27,00;5,00;16,00
2019-02-17;44,00;0,00;28,00;0,00;0,00
2019-02-24;17,00;6,00;29,00;0,00;17,00
2019-03-03;11,00;5,00;22,00;0,00;0,00
2019-03-10;21,00;16,00;33,00;5,00;0,00
2019-03-17;28,00;17,00;28,00;6,00;6,00
2019-03-24;17,00;11,00;6,00;11,00;0,00
2019-03-31;22,00;6,00;22,00;0,00;0,00
2019-04-07;33,00;11,00;38,00;0,00;16,00
2019-04-14;6,00;0,00;12,00;6,00;0,00
2019-04-21;23,00;6,00;35,00;0,00;12,00
2019-04-28;5,00;0,00;16,00;0,00;5,00
2019-05-05;21,00;10,00;26,00;5,00;10,00
2019-05-12;16,00;5,00;16,00;0,00;5,00
2019-05-19;11,00;0,00;32,00;0,00;5,00
2019-05-26;5,00;5,00;22,00;5,00;11,00
2019-06-02;21,00;11,00;32,00;0,00;0,00
2019-06-09;16,00;0,00;28,00;6,00;11,00
2019-06-16;27,00;6,00;17,00;0,00;0,00
2019-06-23;22,00;11,00;39,00;11,00;6,00
2019-06-30;22,00;5,00;33,00;0,00;16,00
2019-07-07;21,00;0,00;38,00;11,00;0,00
2019-07-14;22,00;17,00;22,00;0,00;0,00
2019-07-21;46,00;0,00;41,00;0,00;12,00
2019-07-28;22,00;0,00;34,00;6,00;6,00
2019-08-04;40,00;6,00;17,00;0,00;6,00
2019-08-11;16,00;0,00;33,00;5,00;5,00
2019-08-18;28,00;11,00;17,00;6,00;11,00
2019-08-25;11,00;0,00;28,00;11,00;17,00
2019-09-01;16,00;0,00;32,00;5,00;11,00
2019-09-08;21,00;0,00;37,00;16,00;0,00
2019-09-15;16,00;0,00;38,00;5,00;5,00
2019-09-22;57,00;10,00;42,00;21,00;5,00
2019-09-29;26,00;5,00;32,00;5,00;5,00
2019-10-06;52,00;0,00;47,00;0,00;0,00
2019-10-13;26,00;10,00;42,00;0,00;5,00
2019-10-20;25,00;15,00;66,00;0,00;5,00
2019-10-27;5,00;10,00;35,00;10,00;5,00
2019-11-03;10,00;0,00;20,00;0,00;0,00
2019-11-10;20,00;0,00;20,00;0,00;5,00
2019-11-17;25,00;5,00;25,00;5,00;0,00
2019-11-24;15,00;5,00;44,00;5,00;15,00
2019-12-01;5,00;10,00;10,00;5,00;5,00
2019-12-08;10,00;20,00;20,00;5,00;0,00
2019-12-15;15,00;0,00;21,00;5,00;0,00
2019-12-22;23,00;17,00;46,00;0,00;0,00
2019-12-29;16,00;0,00;54,00;0,00;0,00
2020-01-05;28,00;10,00;33,00;5,00;5,00
2020-01-12;46,00;9,00;56,00;0,00;14,00
2020-01-19;24,00;0,00;24,00;5,00;10,00
2020-01-26;24,00;0,00;24,00;0,00;0,00
2020-02-02;19,00;5,00;24,00;5,00;14,00
2020-02-09;27,00;5,00;32,00;0,00;5,00
2020-02-16;19,00;5,00;19,00;0,00;10,00
2020-02-23;9,00;0,00;14,00;5,00;0,00
2020-03-01;27,00;14,00;14,00;5,00;5,00
2020-03-08;26,00;0,00;17,00;0,00;0,00
2020-03-15;17,00;4,00;9,00;0,00;0,00
2020-03-22;13,00;0,00;35,00;0,00;0,00
2020-03-29;17,00;13,00;22,00;9,00;0,00
2020-04-05;19,00;5,00;33,00;10,00;5,00
2020-04-12;23,00;9,00;14,00;0,00;0,00
2020-04-19;13,00;0,00;31,00;18,00;0,00
2020-04-26;8,00;9,00;9,00;9,00;17,00
2020-05-03;13,00;9,00;26,00;0,00;4,00
2020-05-10;17,00;4,00;26,00;0,00;9,00
2020-05-17;27,00;9,00;18,00;5,00;0,00
2020-05-24;27,00;0,00;4,00;4,00;0,00
2020-05-31;13,00;0,00;18,00;4,00;4,00
2020-06-07;22,00;4,00;22,00;4,00;0,00
2020-06-14;100,00;4,00;18,00;4,00;4,00
2020-06-21;23,00;5,00;19,00;0,00;5,00
2020-06-28;4,00;0,00;18,00;13,00;9,00
2020-07-05;32,00;5,00;9,00;5,00;0,00
2020-07-12;14,00;5,00;29,00;0,00;0,00
2020-07-19;20,00;5,00;20,00;0,00;5,00
2020-07-26;5,00;0,00;25,00;0,00;5,00
2020-08-02;20,00;0,00;30,00;5,00;10,00
2020-08-09;29,00;0,00;29,00;5,00;5,00
2020-08-16;19,00;5,00;10,00;0,00;5,00
