Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;8,00;0,00;0,00;16,00;16,00;8,00;0,00;16,00;8,00;0,00;0,00;36,00;36,00;39,00;0,00;0,00;24,00;0,00;0,00;150,00;0,00;0,00;16,00;8,00;8,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;0,00;23,00;8,00;15,00;8,00;8,00;0,00;0,00;0,00;0,00;15,65;38,00;0,00;0,00;15,00;0,00;0,00;0,00;91,65;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;22,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,60;22,00;0,00;7,00;15,00;0,00;6,60;0,00;37,40;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;37,00;22,00;7,00;15,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;6,94;60,13;15,00;7,00;7,00;0,00;6,53;0,00;50,06;0,00;0,00;15,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;38,00;15,00;8,00;15,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;6,71;22,35;0,00;8,00;8,00;0,00;6,71;0,00;69,29;0,00;0,00;8,00;0,00;15,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;31,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;6,64;6,64;0,00;0,00;15,00;15,00;0,00;0,00;99,64;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;16,00;0,00;8,00;0,00;24,00;0,00;0,00;16,00;0,00;0,00;0,00;16,00;25,14;8,00;0,00;0,00;0,00;0,00;0,00;82,29;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;31,00;0,00;8,00;31,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;6,64;22,14;0,00;0,00;8,00;0,00;0,00;0,00;53,14;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;49,00;0,00;0,00;25,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;33,41;0,00;0,00;0,00;16,00;0,00;0,00;82,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;40,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;40,00;0,00;8,00;8,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
