Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;130,67;125,33;58,67;82,67;72,00;2,67;57,33;82,67;41,14;98,29;123,43;52,57;45,71;57,14;52,57;13,71;33,00;46,00;29,00;55,00;8,00;50,00;18,00;14,00;12,00;5,00;56,00;4,00;6,00;9,00;1,00;5,00;1,00;0,00
2019-01-13;25,00;122,22;130,56;58,33;97,22;61,84;2,63;64,47;67,11;45,00;92,50;160,00;62,50;47,73;61,36;59,09;22,73;31,00;36,00;22,00;40,00;8,00;38,00;25,00;19,00;8,00;7,00;64,00;6,00;4,00;4,00;2,00;9,00;3,00;1,00
2019-01-20;28,00;142,80;137,20;72,80;112,00;82,67;2,67;68,00;72,00;46,67;70,00;149,33;51,33;53,67;44,33;42,00;21,00;27,00;39,00;27,00;45,00;9,00;56,00;28,00;16,00;12,00;10,00;55,00;3,00;7,00;6,00;1,00;7,00;4,00;1,00
2019-01-27;16,00;136,00;144,00;85,33;74,67;53,33;1,33;72,00;73,33;38,86;91,43;137,14;61,71;36,57;50,29;48,00;20,57;37,00;32,00;18,00;42,00;9,00;47,00;23,00;12,00;9,00;3,00;67,00;4,00;4,00;4,00;1,00;10,00;2,00;0,00
2019-02-03;15,00;159,00;123,00;66,00;90,00;53,18;1,36;72,27;66,82;47,50;100,00;157,50;67,50;57,50;72,50;62,50;25,00;38,00;52,00;21,00;51,00;9,00;69,00;24,00;19,00;13,00;1,00;59,00;2,00;5,00;2,00;6,00;5,00;2,00;2,00
2019-02-10;19,00;138,43;124,86;57,00;65,14;66,50;4,07;73,29;76,00;40,38;83,13;147,25;61,75;57,00;66,50;52,25;30,88;50,00;43,00;21,00;35,00;15,00;49,00;21,00;16,00;13,00;3,00;54,00;4,00;2,00;3,00;5,00;9,00;0,00;3,00
2019-02-17;24,00;162,00;150,00;69,00;99,00;49,33;0,00;64,00;66,67;43,20;108,00;132,00;67,20;45,60;62,40;55,20;19,20;42,00;37,00;25,00;44,00;12,00;51,00;23,00;15,00;9,00;4,00;34,00;5,00;5,00;2,00;2,00;5,00;3,00;1,00
2019-02-24;21,00;171,00;156,00;75,00;99,00;51,80;2,80;82,60;89,60;49,88;120,75;149,63;73,50;51,33;65,33;49,00;35,00;32,00;33,00;30,00;40,00;13,00;50,00;24,00;21,00;11,00;7,00;48,00;4,00;7,00;9,00;5,00;6,00;4,00;2,00
2019-03-03;22,00;148,50;145,75;66,00;68,75;56,38;1,38;77,00;85,25;41,56;102,67;144,22;66,00;56,22;66,00;58,67;26,89;20,00;41,00;23,00;54,00;9,00;44,00;26,00;7,00;18,00;0,00;74,00;2,00;8,00;7,00;4,00;8,00;5,00;2,00
2019-03-10;26,00;156,00;141,56;78,00;104,00;53,37;1,37;80,74;64,32;44,91;89,82;139,45;70,91;56,73;66,18;47,27;26,00;35,00;44,00;33,00;52,00;15,00;57,00;17,00;27,00;13,00;3,00;60,00;5,00;4,00;5,00;3,00;6,00;3,00;3,00
