Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;75,00;99,49;6,12;16,84;4,59;3,00
2019-01-13;68,00;92,18;6,04;13,60;3,02;6,00
2019-01-20;60,00;90,77;6,15;15,38;1,54;4,00
2019-01-27;65,00;88,21;7,74;12,38;3,10;3,00
2019-02-03;60,00;87,69;7,69;13,85;6,15;2,00
2019-02-10;60,00;80,00;7,69;12,31;4,62;2,00
2019-02-17;56,00;77,78;6,22;10,89;3,11;3,00
2019-02-24;57,00;87,81;7,70;12,32;3,08;3,00
2019-03-03;53,00;78,74;6,06;10,60;4,54;3,00
2019-03-10;51,00;70,50;10,50;9,00;3,00;3,00
2019-03-17;53,00;69,66;4,54;7,57;3,03;3,00
2019-03-24;49,00;65,84;6,13;7,66;3,06;2,00
2019-03-31;43,00;59,89;4,61;7,68;3,07;3,00
2019-04-07;47,00;66,71;4,55;6,06;3,03;3,00
2019-04-14;40,00;60,00;4,62;7,69;3,08;2,00
2019-04-21;39,00;62,40;4,68;9,36;3,12;6,00
2019-04-28;38,00;59,28;4,56;6,08;3,04;3,00
2019-05-05;41,00;57,70;4,56;7,59;3,04;2,00
2019-05-12;37,00;52,42;4,63;6,17;3,08;2,00
2019-05-19;34,00;57,18;4,64;6,18;1,55;3,00
2019-05-26;30,00;49,50;4,50;6,00;1,50;3,00
2019-06-02;39,00;53,04;4,68;7,80;3,12;3,00
2019-06-09;37,00;52,42;3,08;6,17;1,54;2,00
2019-06-16;39,00;57,00;3,00;7,50;3,00;3,00
2019-06-23;40,00;56,92;4,62;6,15;3,08;3,00
2019-06-30;42,00;55,50;4,50;6,00;1,50;3,00
2019-07-07;45,00;60,52;4,66;6,21;1,55;3,00
2019-07-14;43,00;61,43;3,07;7,68;3,07;3,00
2019-07-21;42,00;66,00;4,50;6,00;3,00;3,00
2019-07-28;52,00;64,24;4,59;9,18;6,12;3,00
2019-08-04;48,00;71,23;4,65;9,29;3,10;4,00
2019-08-11;49,00;67,38;6,13;9,19;3,06;3,00
2019-08-18;46,00;69,00;4,60;9,20;3,07;4,00
2019-08-25;52,00;62,71;6,12;9,18;4,59;4,00
