Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;15,00;97,50;7,50;0,00;7,50;30,00;8,00;8,00;22,00;39,00;4,00;5,00;7,00;6,67;31,67;8,33;1,67;1,00;3,00;1,00;3,00;5,00;4,00;7,00;6,00;0,00;1,00;1,00;0,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;25,00;100,00;3,85;0,00;11,54;33,00;13,00;5,00;15,00;37,00;7,00;13,00;7,00;5,00;25,00;8,33;5,00;1,00;6,00;4,00;2,00;6,00;4,00;4,00;4,00;0,00;0,00;1,00;1,00;2,00;3,00;0,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;26,00;81,71;11,14;0,00;5,57;26,00;13,00;7,00;24,00;34,00;11,00;16,00;4,00;6,50;22,75;3,25;0,81;1,00;4,00;1,00;1,00;10,00;4,00;9,00;4,00;1,00;0,00;1,00;1,00;1,00;3,00;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;17,00;103,89;5,67;0,00;3,78;24,00;16,00;7,00;21,00;36,00;6,00;10,00;8,00;3,40;20,40;6,80;5,10;2,00;3,00;5,00;0,00;7,00;2,00;7,00;6,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;84,00;7,00;0,00;7,00;26,00;8,00;8,00;28,00;37,00;8,00;21,00;7,00;7,78;23,33;7,78;1,56;2,00;4,00;5,00;2,00;3,00;5,00;2,00;4,00;0,00;1,00;2,00;0,00;2,00;6,00;2,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-10;19,00;96,90;9,50;0,00;11,40;23,00;14,00;12,00;22,00;33,00;9,00;10,00;3,00;6,33;22,17;9,50;3,17;2,00;4,00;3,00;2,00;9,00;5,00;9,00;3,00;0,00;2,00;2,00;2,00;3,00;2,00;1,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;26,00;85,43;9,29;0,00;9,29;20,00;16,00;9,00;19,00;28,00;9,00;12,00;5,00;3,25;24,38;11,38;3,25;5,00;5,00;0,00;1,00;7,00;3,00;9,00;8,00;0,00;1,00;0,00;1,00;3,00;2,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;94,00;6,00;0,00;6,00;24,00;15,00;8,00;24,00;34,00;6,00;6,00;8,00;6,67;30,00;10,00;3,33;4,00;3,00;3,00;3,00;5,00;3,00;9,00;3,00;0,00;0,00;1,00;1,00;2,00;4,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-03-03;20,00;83,64;5,45;0,00;5,45;25,00;14,00;9,00;27,00;27,00;9,00;12,00;7,00;8,33;26,67;11,67;3,33;3,00;3,00;7,00;2,00;4,00;4,00;5,00;6,00;0,00;0,00;1,00;0,00;4,00;1,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;25,00;98,08;7,69;0,00;13,46;14,00;13,00;10,00;19,00;36,00;10,00;4,00;13,00;6,67;35,00;5,00;1,67;5,00;4,00;4,00;4,00;7,00;4,00;5,00;7,00;0,00;1,00;3,00;0,00;5,00;3,00;1,00;1,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
