Semaine;Chamonix (FR);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;89,00;72,00;36,00;46,00;12,00;39,00;19,00;96,00;34,00;10,00;16,00;29,00;3,00;103,49;5,17;41,40;39,33;0,00;23,00;11,00;2,00;11,00;13,00;1,00;47,00;36,00;13,00;22,00;0,00;4,00;4,00;1,00;2,00;18,00;2,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;100,00;63,00;38,00;37,00;13,00;27,00;11,00;73,00;31,00;4,00;14,00;30,00;2,00;94,79;7,29;29,17;45,83;1,00;18,00;11,00;1,00;8,00;11,00;1,00;42,00;35,00;13,00;20,00;0,00;2,00;2,00;1,00;1,00;11,00;4,00;2,00;1,00;0,00;0,00;0,00
2019-01-20;79,00;51,00;31,00;28,00;13,00;26,00;17,00;35,00;32,00;2,00;7,00;29,00;1,00;77,96;6,24;28,07;29,11;2,00;51,00;7,00;2,00;8,00;12,00;1,00;34,00;30,00;9,00;10,00;1,00;4,00;2,00;1,00;2,00;11,00;1,00;1,00;1,00;1,00;1,00;1,00
2019-01-27;80,00;49,00;34,00;18,00;13,00;28,00;14,00;39,00;24,00;4,00;10,00;32,00;2,00;87,27;7,27;28,05;32,21;0,00;18,00;10,00;0,00;6,00;6,00;2,00;37,00;31,00;5,00;13,00;0,00;1,00;5,00;2,00;0,00;9,00;3,00;2,00;1,00;0,00;1,00;1,00
2019-02-03;87,00;45,00;29,00;16,00;8,00;19,00;9,00;44,00;24,00;8,00;13,00;22,00;2,00;75,61;6,21;29,00;22,79;0,00;20,00;8,00;2,00;7,00;8,00;2,00;35,00;25,00;9,00;8,00;1,00;2,00;5,00;1,00;0,00;11,00;1,00;2,00;1,00;0,00;1,00;0,00
2019-02-10;70,00;39,00;25,00;21,00;8,00;13,00;10,00;32,00;25,00;3,00;8,00;26,00;2,00;71,03;5,15;29,85;19,56;3,00;20,00;4,00;1,00;5,00;17,00;0,00;34,00;22,00;6,00;9,00;0,00;4,00;2,00;1,00;0,00;11,00;2,00;1,00;1,00;0,00;0,00;0,00
2019-02-17;67,00;51,00;21,00;21,00;13,00;17,00;7,00;39,00;36,00;1,00;10,00;21,00;2,00;61,85;6,18;21,65;22,68;2,00;26,00;5,00;1,00;8,00;10,00;0,00;28,00;28,00;6,00;11,00;0,00;2,00;1,00;1,00;1,00;11,00;2,00;1,00;0,00;1,00;1,00;0,00
2019-02-24;65,00;42,00;36,00;16,00;3,00;21,00;12,00;41,00;22,00;3,00;3,00;20,00;1,00;56,75;3,10;30,95;14,44;1,00;16,00;8,00;1,00;7,00;7,00;1,00;26,00;21,00;8,00;11,00;1,00;2,00;2,00;1,00;1,00;7,00;3,00;1,00;1,00;0,00;0,00;0,00
2019-03-03;64,00;30,00;25,00;14,00;10,00;18,00;7,00;36,00;24,00;2,00;7,00;27,00;1,00;64,00;3,15;20,98;24,13;1,00;17,00;7,00;1,00;3,00;6,00;0,00;28,00;42,00;5,00;9,00;1,00;2,00;1,00;1,00;1,00;7,00;1,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;53,00;35,00;27,00;19,00;8,00;14,00;10,00;28,00;23,00;2,00;4,00;25,00;1,00;50,92;1,04;16,63;18,71;1,00;11,00;5,00;1,00;5,00;8,00;0,00;24,00;18,00;4,00;8,00;0,00;1,00;3,00;1,00;1,00;2,00;2,00;0,00;1,00;0,00;0,00;0,00
2019-03-17;50,00;40,00;17,00;7,00;8,00;19,00;8,00;30,00;26,00;1,00;9,00;16,00;1,00;47,96;1,02;13,27;10,20;0,00;11,00;5,00;0,00;6,00;7,00;0,00;21,00;20,00;6,00;6,00;1,00;1,00;0,00;1,00;0,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-24;48,00;34,00;17,00;10,00;6,00;17,00;6,00;26,00;22,00;1,00;1,00;17,00;1,00;45,96;5,11;16,34;12,26;1,00;10,00;7,00;0,00;4,00;3,00;0,00;20,00;8,00;6,00;3,00;0,00;1,00;1,00;0,00;0,00;5,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-03-31;37,00;30,00;17,00;9,00;5,00;13,00;9,00;25,00;18,00;3,00;4,00;16,00;1,00;31,86;3,08;9,25;7,19;0,00;10,00;6,00;0,00;3,00;4,00;1,00;17,00;22,00;5,00;4,00;0,00;0,00;1,00;1,00;0,00;4,00;3,00;1,00;0,00;0,00;0,00;0,00
