Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;49,00;98,00;24,50;24,50;1274,00;24,50;24,50;2450,00;24,50;14,00;21,00;679,00;196,00;803,60;9,80;39,20;980,00;12,25;16,33;183,75;12,25;2,88;11,53;288,24;37,47;0,00;10,00;7,00;5,00;13,07;0,00;326,67;0,00;175,27;1,88;179,04;0,00;27,00;0,00;0,00;0,00;2,00;0,00
2019-01-13;37,00;37,00;37,00;18,50;777,00;18,50;9,25;1350,50;18,50;7,40;7,40;555,00;192,40;453,25;4,63;27,75;592,00;8,22;8,22;160,33;0,00;2,85;5,69;187,85;22,77;0,00;5,00;0,00;13,00;3,08;0,00;240,50;0,00;125,80;1,85;155,40;0,00;15,00;2,00;2,00;0,00;0,00;0,00
2019-01-20;51,00;25,50;25,50;12,75;357,00;12,75;12,75;892,50;25,50;14,57;7,29;327,86;174,86;346,80;5,10;20,40;499,80;4,25;17,00;165,75;0,00;5,67;8,50;119,00;22,67;0,00;2,00;2,00;11,00;6,38;0,00;239,06;0,00;122,04;0,00;91,07;3,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;30,50;15,25;30,50;366,00;20,33;10,17;711,67;10,17;6,78;6,78;264,33;203,33;325,33;5,08;40,67;447,33;8,13;16,27;122,00;8,13;2,90;2,90;133,62;26,14;0,00;7,00;0,00;3,00;6,42;3,21;260,05;3,21;122,00;0,00;83,18;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;47,00;23,50;23,50;23,50;658,00;11,75;23,50;752,00;23,50;6,71;0,00;241,71;114,14;319,60;4,70;28,20;441,80;8,55;8,55;162,36;4,27;2,94;8,81;120,44;23,50;3,00;5,00;2,00;8,00;3,13;0,00;197,40;0,00;78,96;0,00;86,48;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;38,00;19,00;38,00;19,00;494,00;9,50;9,50;532,00;9,50;7,60;7,60;311,60;167,20;294,50;9,50;19,00;427,50;8,44;4,22;168,89;4,22;5,85;8,77;114,00;26,31;0,00;0,00;0,00;8,00;6,33;3,17;196,33;3,17;106,40;0,00;87,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;58,00;29,00;29,00;14,50;348,00;9,67;9,67;464,00;0,00;0,00;14,50;159,50;145,00;270,67;9,67;38,67;377,00;4,14;4,14;145,00;0,00;0,00;0,00;87,00;37,70;6,00;3,00;3,00;0,00;16,11;3,22;183,67;3,22;95,42;0,00;101,03;0,00;15,00;0,00;0,00;3,00;0,00;0,00
2019-02-24;28,00;28,00;28,00;14,00;364,00;14,00;14,00;672,00;28,00;14,00;7,00;231,00;147,00;224,00;9,33;18,67;354,67;8,00;4,00;152,00;8,00;0,00;0,00;78,40;11,20;0,00;5,00;3,00;0,00;15,56;0,00;158,67;0,00;89,60;1,87;59,73;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;65,00;32,50;16,25;32,50;325,00;10,83;0,00;563,33;21,67;7,22;14,44;303,33;187,78;287,86;4,64;18,57;343,57;8,13;4,06;154,38;8,13;5,91;11,82;91,59;26,59;0,00;3,00;0,00;14,00;6,50;6,50;185,25;0,00;78,00;0,00;66,86;5,00;20,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;15,50;31,00;15,50;372,00;10,33;0,00;537,33;20,67;6,89;6,89;268,67;151,56;258,33;0,00;31,00;341,00;4,13;12,40;140,53;0,00;8,86;2,95;73,81;14,76;3,00;0,00;2,00;8,00;6,20;0,00;127,10;0,00;73,27;0,00;75,15;3,00;5,00;0,00;0,00;0,00;2,00;0,00
2019-03-17;44,00;44,00;44,00;22,00;484,00;11,00;0,00;330,00;11,00;7,33;7,33;190,67;110,00;220,00;0,00;22,00;308,00;4,00;0,00;116,00;4,00;2,93;0,00;93,87;5,87;3,00;0,00;0,00;8,00;6,29;0,00;119,43;0,00;78,43;0,00;22,96;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;43,00;21,50;43,00;43,00;430,00;10,75;21,50;279,50;21,50;3,58;0,00;164,83;107,50;107,50;0,00;10,75;268,75;4,30;0,00;68,80;0,00;0,00;2,87;65,93;5,73;0,00;0,00;3,00;8,00;6,14;0,00;113,64;0,00;28,04;0,00;33,65;0,00;5,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;38,00;19,00;19,00;19,00;266,00;0,00;9,50;152,00;9,50;7,60;0,00;121,60;114,00;76,00;4,75;19,00;199,50;0,00;4,22;88,67;0,00;0,00;0,00;78,92;5,85;0,00;0,00;0,00;8,00;0,00;0,00;72,83;0,00;54,29;0,00;9,05;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;28,00;14,00;14,00;0,00;168,00;14,00;14,00;168,00;14,00;0,00;7,00;119,00;161,00;65,33;0,00;9,33;177,33;0,00;4,00;68,00;0,00;0,00;0,00;61,60;8,40;0,00;0,00;0,00;6,00;3,11;0,00;62,22;0,00;35,47;0,00;13,07;3,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;22,00;11,00;11,00;11,00;154,00;11,00;11,00;132,00;11,00;3,67;3,67;139,33;139,33;99,00;0,00;22,00;165,00;4,40;0,00;61,60;0,00;0,00;5,50;55,00;2,75;0,00;3,00;0,00;3,00;9,43;3,14;62,86;0,00;40,33;0,00;11,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;35,00;17,50;17,50;0,00;210,00;8,75;8,75;87,50;8,75;0,00;3,50;70,00;98,00;61,25;4,38;8,75;140,00;0,00;4,38;48,13;4,38;0,00;0,00;49,58;2,92;0,00;3,00;0,00;3,00;0,00;0,00;54,09;0,00;31,32;1,84;29,47;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;33,00;16,50;16,50;16,50;198,00;16,50;0,00;198,00;16,50;3,30;0,00;52,80;79,20;66,00;5,50;22,00;198,00;4,13;8,25;70,13;0,00;3,00;0,00;63,00;3,00;0,00;0,00;0,00;0,00;3,30;0,00;66,00;0,00;42,17;0,00;29,33;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;42,00;21,00;21,00;21,00;168,00;10,50;10,50;147,00;10,50;0,00;0,00;49,00;84,00;73,50;0,00;10,50;199,50;0,00;0,00;37,80;0,00;0,00;3,00;60,00;0,00;0,00;0,00;0,00;0,00;6,46;0,00;54,92;0,00;34,70;1,83;27,39;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;28,00;14,00;14,00;0,00;56,00;14,00;14,00;196,00;14,00;0,00;0,00;56,00;56,00;37,33;0,00;9,33;177,33;0,00;0,00;44,00;0,00;0,00;0,00;39,20;0,00;0,00;3,00;0,00;0,00;0,00;0,00;56,00;0,00;37,33;0,00;18,67;0,00;3,00;5,00;0,00;0,00;0,00;0,00
2019-05-19;35,00;0,00;17,50;17,50;70,00;8,75;8,75;122,50;8,75;3,50;7,00;49,00;84,00;52,50;0,00;8,75;148,75;0,00;4,38;74,38;4,38;0,00;2,92;40,83;2,92;0,00;0,00;2,00;0,00;3,18;3,18;76,36;3,18;35,00;0,00;22,11;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;34,00;17,00;17,00;0,00;102,00;17,00;17,00;306,00;0,00;0,00;0,00;47,60;81,60;56,67;0,00;11,33;272,00;8,50;4,25;106,25;0,00;2,83;2,83;56,67;2,83;0,00;3,00;3,00;3,00;3,09;0,00;52,55;0,00;54,78;0,00;28,33;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-06-02;57,00;14,25;14,25;14,25;85,50;9,50;9,50;209,00;9,50;3,56;3,56;92,63;78,38;85,50;0,00;9,50;171,00;4,07;0,00;97,71;4,07;0,00;0,00;59,85;2,85;0,00;5,00;0,00;3,00;6,33;3,17;57,00;0,00;23,90;0,00;27,58;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;39,00;19,50;19,50;19,50;78,00;9,75;0,00;195,00;0,00;0,00;0,00;62,40;140,40;117,00;0,00;9,75;312,00;8,67;4,33;73,67;0,00;0,00;3,00;60,00;0,00;0,00;3,00;0,00;3,00;6,50;0,00;100,75;0,00;48,29;0,00;42,71;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;44,00;22,00;22,00;22,00;132,00;0,00;0,00;220,00;0,00;0,00;3,67;95,33;95,33;114,40;0,00;8,80;228,80;8,00;4,00;96,00;4,00;0,00;0,00;79,20;0,00;0,00;0,00;3,00;6,00;6,29;0,00;94,29;0,00;71,50;1,83;33,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;49,00;0,00;24,50;24,50;147,00;0,00;0,00;269,50;12,25;0,00;0,00;84,00;91,00;88,20;4,90;9,80;196,00;8,17;0,00;81,67;4,08;2,88;2,88;46,12;2,88;0,00;0,00;3,00;0,00;0,00;0,00;49,00;0,00;33,92;0,00;35,81;0,00;8,00;3,00;0,00;0,00;0,00;0,00
2019-06-30;38,00;19,00;19,00;19,00;152,00;9,50;9,50;228,00;0,00;0,00;0,00;68,40;83,60;47,50;4,75;9,50;199,50;16,89;4,22;63,33;0,00;0,00;0,00;64,31;0,00;0,00;3,00;0,00;0,00;3,17;0,00;57,00;0,00;72,20;0,00;20,90;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-07-07;56,00;14,00;28,00;0,00;112,00;14,00;0,00;420,00;14,00;0,00;3,50;112,00;126,00;112,00;0,00;18,67;289,33;4,00;8,00;120,00;8,00;0,00;0,00;112,00;5,89;0,00;0,00;0,00;6,00;3,11;3,11;71,56;0,00;63,47;0,00;35,47;0,00;3,00;5,00;3,00;0,00;0,00;0,00
2019-07-14;45,00;22,50;45,00;22,50;180,00;11,25;11,25;337,50;11,25;0,00;7,50;127,50;120,00;126,00;0,00;9,00;252,00;12,27;4,09;57,27;16,36;0,00;3,00;93,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;106,07;0,00;56,25;0,00;37,50;0,00;13,00;3,00;0,00;0,00;0,00;0,00
2019-07-21;100,00;33,33;66,67;16,67;133,33;25,00;12,50;350,00;12,50;0,00;7,14;128,57;207,14;160,00;10,00;10,00;220,00;4,17;4,17;66,67;0,00;0,00;2,94;73,53;0,00;0,00;0,00;19,00;0,00;22,58;3,23;125,81;0,00;84,91;0,00;58,49;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;53,00;13,25;13,25;13,25;106,00;13,25;0,00;450,50;13,25;0,00;0,00;119,25;139,13;148,40;10,60;10,60;318,00;0,00;4,08;77,46;0,00;0,00;5,89;85,39;0,00;0,00;0,00;0,00;0,00;3,12;3,12;96,65;0,00;56,66;0,00;38,38;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-08-04;57,00;14,25;14,25;14,25;142,50;14,25;14,25;484,50;14,25;0,00;7,13;171,00;149,63;142,50;9,50;19,00;323,00;4,07;4,07;85,50;0,00;0,00;0,00;93,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;101,33;0,00;66,50;0,00;43,70;0,00;11,00;3,00;3,00;0,00;0,00;0,00
2019-08-11;59,00;14,75;14,75;14,75;177,00;9,83;9,83;373,67;9,83;0,00;7,38;118,00;110,63;147,50;0,00;4,92;324,50;8,43;0,00;96,93;4,21;0,00;5,90;100,30;2,95;3,00;0,00;3,00;0,00;0,00;0,00;111,79;0,00;73,75;1,84;53,47;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;47,00;23,50;23,50;23,50;282,00;0,00;11,75;376,00;0,00;0,00;0,00;141,00;120,86;112,80;4,70;18,80;272,60;4,27;4,27;94,00;4,27;0,00;5,88;67,56;14,69;0,00;0,00;0,00;0,00;9,40;0,00;109,67;0,00;78,96;0,00;50,76;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;47,00;23,50;23,50;23,50;235,00;11,75;11,75;305,50;0,00;0,00;0,00;120,86;100,71;84,60;0,00;9,40;263,20;4,27;8,55;76,91;4,27;0,00;0,00;88,13;8,81;0,00;3,00;0,00;0,00;3,13;0,00;75,20;0,00;82,72;0,00;28,20;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;60,00;15,00;15,00;0,00;150,00;0,00;10,00;260,00;10,00;3,75;0,00;97,50;135,00;100,00;0,00;10,00;280,00;0,00;4,29;85,71;0,00;0,00;0,00;84,00;3,00;0,00;2,00;0,00;0,00;0,00;3,16;85,26;0,00;54,38;0,00;43,13;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;36,00;36,00;18,00;18,00;180,00;9,00;9,00;234,00;9,00;0,00;0,00;122,40;151,20;117,00;4,50;18,00;297,00;8,00;8,00;72,00;4,00;0,00;0,00;135,00;6,00;0,00;3,00;0,00;8,00;3,27;0,00;98,18;0,00;51,16;0,00;54,95;3,00;8,00;3,00;3,00;0,00;0,00;0,00
2019-09-15;46,00;23,00;46,00;23,00;230,00;11,50;11,50;299,00;11,50;3,29;13,14;105,14;98,57;92,00;0,00;9,20;303,60;4,18;0,00;96,18;0,00;0,00;8,63;89,13;2,88;0,00;3,00;0,00;3,00;6,13;0,00;116,53;0,00;55,20;0,00;20,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00
