Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;24,00;154,29;202,29;147,43;147,43;101,54;1,85;62,77;94,15;144,00;51,43;116,57;67,20;100,80;110,40;38,40;50,18;69,82;4,36;9,00;36,00;19,00;6,00;13,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;0,50
2019-01-13;22,00;141,43;210,57;135,14;141,43;110,00;1,83;66,00;100,83;165,00;51,33;124,67;71,50;121,00;132,00;44,00;51,70;78,10;4,40;10,00;38,00;26,00;5,00;11,00;4,00;5,00;4,00;3,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;188,57;138,29;138,29;102,67;1,83;78,83;97,17;154,00;51,33;121,00;66,00;110,00;132,00;49,50;51,70;77,00;7,70;8,00;34,00;20,00;4,00;11,00;2,00;4,00;2,00;3,00;2,00;3,00;1,00;1,00
2019-01-27;17,00;146,20;204,00;149,60;125,80;59,50;0,85;69,70;90,10;125,80;54,40;119,00;79,33;124,67;119,00;56,67;48,88;78,63;4,25;10,00;36,00;24,00;7,00;12,00;1,00;2,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;143,50;185,50;157,50;119,00;52,50;1,75;70,00;98,00;126,00;52,50;126,00;60,67;126,00;107,33;46,67;50,62;74,31;6,46;10,00;35,00;22,00;5,00;9,00;2,00;7,00;3,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;188,80;140,80;121,60;58,67;1,78;72,89;106,67;115,20;44,80;118,40;74,67;117,33;117,33;64,00;52,27;76,80;5,33;9,00;35,00;22,00;4,00;11,00;1,00;7,00;3,00;4,00;1,00;7,00;1,00;1,00
2019-02-17;18,00;135,00;159,00;135,00;96,00;61,20;1,80;72,00;100,80;136,80;64,80;144,00;63,00;103,50;108,00;49,50;49,76;72,00;9,53;8,00;34,00;23,00;6,00;8,00;1,00;5,00;3,00;2,00;0,50;9,00;1,00;1,00
2019-02-24;16,00;147,20;172,80;160,00;118,40;64,00;1,78;81,78;96,00;124,80;57,60;121,60;74,67;149,33;112,00;64,00;46,93;68,27;5,33;11,00;30,00;16,00;7,00;12,00;1,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;170,00;207,40;166,60;129,20;61,20;1,70;68,00;100,30;149,60;71,40;139,40;63,75;106,25;102,00;51,00;55,25;70,13;7,44;6,00;35,00;24,00;9,00;19,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;19,00;155,17;190,00;152,00;117,17;60,45;1,73;76,00;105,36;123,50;69,67;123,50;66,50;123,50;109,25;57,00;42,22;78,11;5,28;10,00;30,00;20,00;6,00;16,00;1,00;7,00;3,00;2,00;3,00;10,00;1,00;0,50
