Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;20,00;32,00;3,00;74,00;11,00;44,62
2019-01-13;17,00;25,00;6,00;80,00;11,00;58,73
2019-01-20;19,00;31,00;3,00;63,00;10,00;47,50
2019-01-27;23,00;22,00;11,00;74,00;9,00;49,07
2019-02-03;21,00;27,00;17,00;54,00;13,00;39,00
2019-02-10;19,00;34,00;17,00;49,00;5,00;33,25
2019-02-17;11,00;26,00;15,00;50,00;8,00;34,57
2019-02-24;12,00;22,00;12,00;61,00;10,00;52,50
2019-03-03;12,00;28,00;17,00;59,00;8,00;36,00
2019-03-10;18,00;25,00;19,00;58,00;18,00;52,36
2019-03-17;12,00;28,00;19,00;47,00;10,00;42,00
2019-03-24;11,00;20,00;19,00;42,00;5,00;45,57
2019-03-31;13,00;32,00;4,00;38,00;4,00;31,78
2019-04-07;10,00;20,00;5,00;43,00;9,00;35,00
2019-04-14;7,00;20,00;4,00;43,00;3,00;30,80
2019-04-21;10,00;15,00;4,00;50,00;4,00;20,00
2019-04-28;11,00;22,00;6,00;52,00;4,00;22,00
2019-05-05;7,00;24,00;3,00;36,00;6,00;21,00
2019-05-12;4,00;15,00;4,00;43,00;3,00;26,67
2019-05-19;9,00;11,00;3,00;37,00;8,00;21,00
2019-05-26;7,00;14,00;4,00;40,00;4,00;15,40
2019-06-02;9,00;13,00;6,00;44,00;3,00;28,50
2019-06-09;14,00;18,00;6,00;66,00;2,00;28,00
2019-06-16;28,00;19,00;5,00;63,00;4,00;34,22
2019-06-23;12,00;21,00;4,00;44,00;7,00;22,50
2019-06-30;11,00;16,00;4,00;44,00;6,00;36,14
2019-07-07;9,00;26,00;6,00;47,00;9,00;40,50
2019-07-14;13,00;17,00;4,00;59,00;1,00;33,22
2019-07-21;15,00;22,00;0,00;48,00;6,00;43,33
2019-07-28;10,00;20,00;4,00;50,00;3,00;50,00
2019-08-04;13,00;23,00;5,00;53,00;4,00;78,00
2019-08-11;11,00;17,00;2,00;50,00;10,00;48,71
2019-08-18;13,00;16,00;2,00;64,00;10,00;46,22
2019-08-25;13,00;20,00;5,00;54,00;6,00;48,75
2019-09-01;15,00;26,00;5,00;56,00;6,00;39,00
2019-09-08;8,00;24,00;5,00;44,00;4,00;35,20
2019-09-15;13,00;24,00;2,00;47,00;2,00;28,89
2019-09-22;9,00;19,00;1,00;60,00;5,00;36,00
2019-09-29;13,00;20,00;3,00;55,00;10,00;35,75
2019-10-06;16,00;19,00;3,00;55,00;5,00;40,00
2019-10-13;9,00;20,00;3,00;51,00;5,00;42,00
2019-10-20;10,00;17,00;3,00;39,00;4,00;43,33
2019-10-27;14,00;19,00;2,00;43,00;7,00;57,56
2019-11-03;13,00;21,00;7,00;49,00;6,00;56,33
2019-11-10;22,00;18,00;7,00;56,00;9,00;58,14
2019-11-17;15,00;18,00;8,00;48,00;6,00;54,00
2019-11-24;7,00;21,00;5,00;46,00;8,00;40,60
2019-12-01;11,00;17,00;4,00;64,00;5,00;51,86
2019-12-08;19,00;17,00;4,00;51,00;7,00;49,08
2019-12-15;13,00;18,00;3,00;49,00;4,00;42,25
2019-12-22;14,00;31,00;4,00;45,00;11,00;73,11
2019-12-29;9,00;23,00;5,00;62,00;13,00;70,50
2020-01-05;20,00;29,00;7,00;76,00;11,00;64,62
2020-01-12;19,00;29,00;6,00;72,00;14,00;59,92
2020-01-19;19,00;31,00;4,00;58,00;11,00;55,42
2020-01-26;15,00;34,00;5,00;58,00;4,00;45,00
2020-02-02;12,00;29,00;4,00;52,00;6,00;43,50
2020-02-09;9,00;27,00;2,00;52,00;4,00;49,50
2020-02-16;12,00;25,00;4,00;53,00;8,00;43,50
2020-02-23;10,00;43,00;5,00;43,00;7,00;41,67
2020-03-01;13,00;22,00;4,00;38,00;5,00;34,67
2020-03-08;14,00;23,00;3,00;67,00;8,00;54,44
2020-03-15;9,00;24,00;1,00;44,00;2,00;90,00
2020-03-22;7,00;10,00;1,00;11,00;4,00;36,75
2020-03-29;7,00;14,00;3,00;15,00;1,00;18,20
2020-04-05;4,00;10,00;3,00;16,00;3,00;36,00
