Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;70,00;12,00;14,00;7,00;2,00;28,00;5,00;5,00;7,00;12,00;9,00;28,00;37,00;14,00;2,00;18,00;5,00;0,00;2,00;14,00;0,00;0,00;12,00;0,00;0,00;2,00;5,00;0,00;7,00;7,00;0,00;9,00;0,00;2,00;2,00;2,00;0,00;2,50;0,00;57,50;17,50;0,00;18,00;2,00
2019-01-13;45,00;18,00;9,00;13,00;15,00;13,00;4,00;19,00;2,00;18,00;0,00;26,00;44,00;4,00;0,00;20,00;7,00;4,00;0,00;15,00;0,00;0,00;2,00;7,00;0,00;9,00;0,00;0,00;0,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;2,65;64,85;17,21;2,00;7,00;14,00
2019-01-20;54,00;10,00;16,00;8,00;2,00;25,00;14,00;4,00;4,00;10,00;0,00;12,00;27,00;2,00;4,00;21,00;0,00;2,00;2,00;4,00;0,00;0,00;10,00;0,00;2,00;2,00;0,00;0,00;6,00;4,00;2,00;10,00;0,00;2,00;2,00;0,00;0,00;3,86;6,43;66,86;25,71;4,00;27,00;15,00
2019-01-27;36,00;13,00;2,00;4,00;2,00;10,00;0,00;5,00;8,00;29,00;4,00;13,00;25,00;0,00;0,00;6,00;0,00;8,00;4,00;10,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;10,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;6,67;77,33;29,33;0,00;10,00;2,00
2019-02-03;52,00;9,00;2,00;4,00;4,00;16,00;2,00;2,00;0,00;2,00;0,00;7,00;31,00;2,00;2,00;4,00;2,00;2,00;0,00;9,00;4,00;0,00;4,00;0,00;2,00;4,00;0,00;0,00;2,00;0,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;2,54;6,34;81,17;8,88;0,00;25,00;5,00
2019-02-10;27,00;7,00;7,00;9,00;0,00;2,00;7,00;5,00;0,00;0,00;0,00;9,00;38,00;0,00;0,00;11,00;7,00;0,00;2,00;13,00;0,00;2,00;4,00;0,00;2,00;4,00;0,00;0,00;2,00;7,00;7,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;10,80;63,45;16,20;0,00;7,00;2,00
2019-02-17;47,00;0,00;2,00;9,00;2,00;15,00;4,00;2,00;4,00;4,00;7,00;4,00;35,00;2,00;0,00;7,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;2,54;3,81;62,24;6,35;7,00;11,00;5,00
2019-02-24;22,00;9,00;11,00;0,00;2,00;4,00;2,00;0,00;0,00;4,00;0,00;9,00;24,00;2,00;2,00;7,00;2,00;0,00;0,00;22,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;2,20;0,00;33,00;11,00;4,00;13,00;0,00
2019-03-03;42,00;2,00;9,00;9,00;0,00;11,00;5,00;0,00;2,00;0,00;0,00;9,00;27,00;2,00;2,00;9,00;5,00;0,00;0,00;9,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;5,00;2,00;2,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,45;16,26;5,00;11,00;5,00
2019-03-10;64,00;9,00;11,00;7,00;7,00;18,00;5,00;0,00;5,00;2,00;0,00;5,00;27,00;0,00;5,00;9,00;0,00;0,00;2,00;11,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;2,00;0,00;7,00;0,00;2,00;0,00;2,61;2,61;30,04;9,14;2,00;5,00;2,00
