Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;90,00;55,00;40,00;49,00;18,00;70,00;36,00;41,00;11,00;37,00;21,00;98,00;34,00;10,00;16,00;27,00;3,00;103,45;4,14;43,45;41,38;0,00;23,00;11,00;2,00;10,00;13,00;1,00;45,00;37,00;14,00;23,00;0,00;3,07;4,09;1,02;1,02;18,41;2,05;1,02;0,00;0,00;1,00;0,00
2019-01-13;100,00;45,00;40,00;37,00;7,00;60,00;37,00;36,00;12,00;26,00;13,00;71,00;30,00;3,00;14,00;29,00;2,00;96,91;6,19;28,87;45,36;1,00;19,00;10,00;1,00;9,00;11,00;1,00;43,00;36,00;14,00;19,00;0,00;3,00;3,00;1,00;1,00;11,00;5,00;2,00;1,00;0,00;0,00;0,00
2019-01-20;81,00;39,00;43,00;31,00;6,00;53,00;32,00;26,00;12,00;26,00;16,00;35,00;30,00;1,00;8,00;28,00;1,00;76,85;6,23;27,00;28,04;1,00;50,00;6,00;3,00;8,00;12,00;1,00;33,00;31,00;9,00;10,00;1,00;3,08;3,08;1,03;2,05;10,25;1,03;1,03;1,03;1,00;1,00;1,00
2019-01-27;79,00;32,00;29,00;35,00;13,00;49,00;35,00;17,00;13,00;29,00;14,00;37,00;21,00;5,00;11,00;32,00;3,00;89,39;8,32;29,11;30,14;0,00;18,00;9,00;0,00;7,00;6,00;2,00;36,00;31,00;5,00;13,00;0,00;1,00;6,00;3,00;0,00;8,00;3,00;2,00;0,00;0,00;0,00;1,00
2019-02-03;87,00;28,00;37,00;26,00;16,00;44,00;30,00;16,00;9,00;18,00;8,00;44,00;22,00;8,00;14,00;19,00;2,00;76,64;6,21;30,04;24,86;0,00;19,00;7,00;2,00;5,00;9,00;2,00;33,00;23,00;9,00;8,00;0,00;2,00;5,00;1,00;0,00;11,00;1,00;3,00;1,00;0,00;1,00;0,00
2019-02-10;70,00;35,00;31,00;26,00;3,00;36,00;24,00;18,00;9,00;13,00;9,00;32,00;25,00;2,00;7,00;27,00;2,00;73,13;6,27;31,34;19,85;3,00;17,00;3,00;1,00;5,00;16,00;0,00;35,00;22,00;6,00;10,00;0,00;4,12;2,06;1,03;0,00;11,32;1,03;1,03;1,03;0,00;0,00;0,00
2019-02-17;65,00;32,00;34,00;28,00;6,00;52,00;21,00;20,00;13,00;17,00;8,00;39,00;35,00;1,00;11,00;22,00;2,00;65,00;6,19;21,67;22,70;1,00;23,00;6,00;1,00;7,00;9,00;0,00;29,00;27,00;7,00;10,00;0,00;2,00;1,00;1,00;1,00;11,00;1,00;1,00;0,00;1,00;1,00;0,00
2019-02-24;64,00;25,00;31,00;23,00;4,00;43,00;37,00;17,00;3,00;19,00;13,00;42,00;20,00;3,00;3,00;18,00;1,00;59,87;3,10;29,94;15,48;1,00;16,00;9,00;1,00;7,00;7,00;1,00;28,00;21,00;7,00;11,00;0,00;2,06;2,06;1,03;1,03;7,23;3,10;1,03;1,03;0,00;0,00;0,00
2019-03-03;64,00;30,00;32,00;24,00;5,00;29,00;25,00;13,00;10,00;18,00;7,00;37,00;24,00;2,00;8,00;25,00;1,00;65,05;4,20;19,93;25,18;1,00;19,00;6,00;1,00;3,00;5,00;0,00;28,00;45,00;5,00;9,00;0,00;2,06;1,03;1,03;1,03;7,23;1,03;1,03;0,00;0,00;1,00;0,00
2019-03-10;54,00;33,00;23,00;26,00;7,00;35,00;27,00;15,00;8,00;14,00;9,00;26,00;25,00;2,00;4,00;26,00;1,00;51,92;1,04;16,62;19,73;1,00;11,00;4,00;1,00;5,00;9,00;0,00;25,00;18,00;4,00;8,00;0,00;0,00;3,06;1,02;1,02;2,04;2,04;0,00;1,02;0,00;0,00;0,00
2019-03-17;51,00;25,00;25,00;21,00;4,00;38,00;19,00;6,00;8,00;19,00;8,00;31,00;25,00;1,00;10,00;13,00;1,00;49,96;1,04;12,49;11,45;0,00;11,00;6,00;0,00;6,00;8,00;0,00;22,00;21,00;6,00;6,00;1,00;1,02;0,00;1,02;0,00;3,06;1,02;0,00;1,02;0,00;0,00;0,00
2019-03-24;49,00;30,00;20,00;18,00;5,00;34,00;18,00;9,00;6,00;16,00;6,00;24,00;21,00;1,00;1,00;16,00;1,00;46,91;5,21;17,72;12,51;1,00;10,00;6,00;0,00;4,00;3,00;0,00;21,00;8,00;5,00;3,00;0,00;1,04;1,04;0,00;0,00;5,21;1,04;0,00;0,00;1,00;0,00;0,00
2019-03-31;37,00;26,00;17,00;14,00;6,00;30,00;17,00;8,00;5,00;14,00;9,00;25,00;17,00;1,00;5,00;16,00;1,00;28,78;3,08;9,25;8,22;0,00;10,00;4,00;0,00;2,00;3,00;1,00;17,00;22,00;4,00;5,00;0,00;0,00;1,03;1,03;0,00;3,08;3,08;1,03;0,00;0,00;0,00;0,00
2019-04-07;35,00;32,00;20,00;12,00;4,00;26,00;8,00;7,00;2,00;13,00;5,00;20,00;17,00;1,00;2,00;14,00;5,00;25,74;4,12;19,56;8,24;0,00;9,00;5,00;1,00;5,00;1,00;1,00;22,00;10,00;3,00;6,00;0,00;2,06;1,03;1,03;0,00;3,09;1,03;1,03;1,03;0,00;0,00;0,00
2019-04-14;21,00;24,00;11,00;6,00;3,00;18,00;7,00;3,00;4,00;5,00;6,00;11,00;17,00;1,00;4,00;11,00;1,00;24,15;1,05;15,75;6,30;1,00;5,00;2,00;0,00;1,00;1,00;0,00;7,00;14,00;2,00;5,00;0,00;1,05;1,05;2,10;1,05;1,05;2,10;1,05;0,00;0,00;0,00;0,00
2019-04-21;30,00;12,00;12,00;4,00;3,00;14,00;7,00;4,00;3,00;3,00;5,00;9,00;6,00;0,00;3,00;8,00;1,00;23,79;1,03;12,41;6,21;0,00;3,00;3,00;0,00;1,00;3,00;0,00;5,00;5,00;2,00;3,00;0,00;2,14;1,07;0,00;0,00;1,07;1,07;1,07;0,00;0,00;0,00;0,00
2019-04-28;31,00;8,00;9,00;2,00;3,00;11,00;5,00;8,00;1,00;1,00;3,00;13,00;10,00;3,00;1,00;9,00;1,00;15,50;1,03;15,50;6,20;0,00;2,00;1,00;1,00;2,00;3,00;0,00;4,00;4,00;1,00;3,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;7,00;9,00;3,00;3,00;12,00;7,00;2,00;1,00;3,00;1,00;5,00;12,00;1,00;1,00;7,00;1,00;19,00;1,00;16,00;4,00;0,00;3,00;1,00;1,00;2,00;2,00;0,00;3,00;5,00;2,00;3,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;3,00;5,00;3,00;0,00;4,00;3,00;4,00;3,00;1,00;2,00;4,00;8,00;1,00;1,00;5,00;1,00;13,65;1,05;13,65;3,15;0,00;2,00;2,00;0,00;1,00;3,00;1,00;3,00;3,00;1,00;3,00;0,00;1,00;1,00;1,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;20,00;7,37;6,32;1,05;0,00;10,53;5,26;3,16;3,16;3,16;1,05;5,26;12,63;0,00;3,16;4,21;1,05;24,44;0,00;11,11;5,56;0,00;4,21;1,05;1,05;1,05;1,05;1,05;5,26;5,26;1,05;3,16;1,05;2,00;1,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-05-26;33,00;3,00;7,00;3,00;3,00;8,00;5,00;5,00;3,00;1,00;3,00;9,00;20,00;2,00;2,00;7,00;1,00;15,47;1,03;17,53;3,09;1,00;3,00;1,00;1,00;2,00;3,00;0,00;7,00;3,00;0,00;5,00;0,00;2,06;4,13;0,00;1,03;1,03;1,03;1,03;0,00;0,00;0,00;0,00
2019-06-02;36,00;5,14;13,37;4,11;4,11;10,29;6,17;6,17;3,09;5,14;2,06;8,23;10,29;1,03;2,06;6,17;2,06;23,29;1,06;11,65;4,24;0,00;6,17;3,09;0,00;1,03;3,09;1,03;5,14;4,11;2,06;3,09;0,00;4,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;1,03;1,03;0,00
2019-06-09;39,00;7,00;12,00;9,00;1,00;3,00;5,00;3,00;1,00;6,00;3,00;10,00;11,00;1,00;1,00;5,00;3,00;23,61;1,03;16,42;7,18;0,00;7,00;1,00;0,00;3,00;4,00;1,00;6,00;6,00;1,00;7,00;1,00;1,00;0,00;0,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-06-16;39,00;7,00;9,00;5,00;3,00;10,00;6,00;8,00;1,00;5,00;3,00;6,00;10,00;1,00;2,00;4,00;1,00;19,50;3,08;16,42;8,21;2,00;0,00;3,00;1,00;1,00;1,00;0,00;7,00;3,00;3,00;5,00;1,00;3,00;0,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;39,00;5,00;14,00;3,00;3,00;7,00;1,00;7,00;2,00;4,00;2,00;4,00;14,00;1,00;2,00;7,00;2,00;29,51;3,16;9,49;10,54;1,00;3,00;5,00;1,00;1,00;4,00;0,00;6,00;6,00;4,00;3,00;1,00;1,03;0,00;0,00;1,03;1,03;1,03;0,00;0,00;0,00;0,00;0,00
2019-06-30;40,00;5,00;11,00;9,00;1,00;18,00;5,00;8,00;0,00;4,00;1,00;7,00;11,00;2,00;1,00;10,00;2,00;29,47;1,05;12,63;6,32;0,00;5,00;1,00;0,00;1,00;3,00;1,00;6,00;4,00;2,00;3,00;0,00;1,03;0,00;0,00;0,00;1,03;0,00;1,03;0,00;0,00;0,00;0,00
