Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;46,00;920,00;1119,33;199,33;552,00;552,00;7,67;337,33;92,00;173,38;102,62;134,46;180,46;138,00;414,00;80,50;11,50;262,20;377,20;18,40;101,20;22,08;86,48;51,52;51,52;15,77;36,80;39,43;15,77;8,00;4,00;2,00;4,00;24,00;2,00;2,00
2019-01-13;44,00;894,67;997,33;205,33;542,67;704,00;11,00;462,00;132,00;176,00;113,67;139,33;205,33;132,00;374,00;77,00;11,00;249,33;386,22;24,44;136,89;22,00;86,17;42,17;53,17;18,67;28,00;50,67;24,00;8,00;5,00;3,00;8,00;18,00;1,00;3,00
2019-01-20;51,00;739,50;867,00;165,75;420,75;595,00;8,50;340,00;119,00;174,86;105,64;138,43;204,00;122,40;346,80;61,20;10,20;265,20;428,40;25,50;112,20;20,78;90,67;54,78;60,44;20,13;29,53;40,26;14,76;9,00;4,00;5,00;9,00;18,00;3,00;1,00
2019-01-27;40,00;773,33;853,33;186,67;453,33;640,00;10,00;360,00;120,00;167,27;90,91;127,27;189,09;110,00;310,00;70,00;10,00;295,00;350,00;25,00;95,00;20,95;93,33;45,71;60,95;20,00;36,00;46,67;16,00;9,00;2,00;6,00;5,00;20,00;2,00;2,00
2019-02-03;50,00;712,50;800,00;162,50;412,50;516,67;8,33;350,00;100,00;160,71;103,57;135,71;196,43;110,00;330,00;70,00;20,00;270,00;385,00;20,00;100,00;24,07;81,48;42,59;46,30;14,47;38,16;47,37;18,42;5,00;4,00;4,00;5,00;14,00;1,00;4,00
2019-02-10;50,00;700,00;837,50;162,50;425,00;566,67;8,33;316,67;116,67;164,29;100,00;128,57;178,57;120,00;370,00;70,00;10,00;275,00;365,00;20,00;85,00;22,22;74,07;40,74;53,70;21,62;35,14;41,89;17,57;9,00;7,00;5,00;10,00;16,00;3,00;5,00
2019-02-17;44,00;924,00;997,33;205,33;586,67;770,00;11,00;440,00;154,00;198,00;106,33;143,00;220,00;154,00;418,00;66,00;22,00;283,56;386,22;24,44;97,78;22,00;84,33;44,00;58,67;16,00;37,33;45,33;17,33;7,00;3,00;2,00;14,00;14,00;2,00;4,00
2019-02-24;50,00;762,50;850,00;162,50;525,00;566,67;8,33;400,00;116,67;200,00;103,57;142,86;200,00;120,00;360,00;80,00;10,00;260,00;385,00;20,00;105,00;20,37;85,19;44,44;50,00;18,92;33,78;44,59;16,22;10,00;7,00;4,00;7,00;18,00;1,00;1,00
2019-03-03;56,00;938,00;1036,00;210,00;574,00;672,00;9,33;448,00;130,67;213,50;122,50;147,00;210,00;168,00;425,60;89,60;11,20;294,00;382,67;23,33;102,67;24,27;100,80;59,73;65,33;14,67;33,33;42,67;20,00;10,00;10,00;4,00;13,00;20,00;1,00;4,00
2019-03-10;63,00;1086,75;1134,00;236,25;661,50;777,00;10,50;504,00;147,00;192,50;98,00;136,50;234,50;136,50;388,50;73,50;10,50;281,08;470,08;19,38;121,15;24,09;94,50;44,47;68,56;26,25;35,44;53,81;21,00;15,00;4,00;3,00;7,00;23,00;1,00;6,00
2019-03-17;60,00;975,00;1050,00;210,00;585,00;680,00;10,00;420,00;140,00;180,00;91,76;155,29;183,53;144,00;444,00;84,00;12,00;290,00;460,00;25,00;120,00;26,25;97,50;54,38;60,00;20,00;36,00;41,33;22,67;5,00;6,00;4,00;11,00;32,00;0,50;4,00
2019-03-24;60,00;960,00;1035,00;210,00;600,00;720,00;10,00;420,00;140,00;180,00;123,53;148,24;194,12;156,00;432,00;84,00;24,00;275,00;430,00;20,00;130,00;18,75;91,88;54,38;54,38;21,33;33,33;44,00;18,67;9,00;6,00;2,00;10,00;21,00;2,00;4,00
2019-03-31;57,00;897,75;983,25;199,50;541,50;684,00;9,50;418,00;133,00;195,94;106,88;146,06;228,00;148,20;399,00;91,20;22,80;299,25;413,25;28,50;109,25;18,39;88,26;57,00;60,68;29,16;37,12;50,37;15,91;10,00;7,00;7,00;8,00;24,00;3,00;5,00
2019-04-07;60,00;915,00;1065,00;210,00;540,00;680,00;10,00;420,00;120,00;176,47;91,76;144,71;208,24;130,00;370,00;70,00;20,00;280,00;405,00;20,00;120,00;22,50;82,50;60,00;65,63;17,33;26,67;44,00;21,33;11,00;7,00;1,00;12,00;19,00;2,00;4,00
2019-04-14;63,00;1575,00;1102,50;236,25;693,00;777,00;10,50;441,00;147,00;196,00;112,00;129,50;210,00;136,50;378,00;73,50;21,00;319,85;378,00;19,38;101,77;29,65;81,53;42,62;55,59;16,09;26,81;45,57;22,79;12,00;6,00;3,00;10,00;28,00;3,00;5,00
2019-04-21;57,00;869,25;997,50;199,50;555,75;684,00;9,50;418,00;114,00;185,25;114,00;128,25;210,19;159,60;421,80;91,20;22,80;294,50;342,00;19,00;99,75;23,90;88,26;53,32;62,52;19,88;27,84;39,77;14,58;9,00;5,00;2,00;14,00;23,00;2,00;3,00
2019-04-28;70,00;826,00;994,00;224,00;574,00;595,00;8,75;455,00;122,50;185,50;108,50;147,00;206,50;163,33;443,33;93,33;23,33;310,00;390,00;25,00;125,00;22,11;84,74;58,95;58,95;19,81;31,70;54,15;15,85;9,00;4,00;4,00;13,00;27,00;3,00;3,00
2019-05-05;70,00;896,00;1008,00;196,00;588,00;612,50;8,75;1750,00;122,50;189,00;122,50;150,50;213,50;151,67;455,00;93,33;11,67;310,00;395,00;25,00;125,00;22,11;108,68;51,58;55,26;15,85;33,02;54,15;14,53;12,00;6,00;3,00;5,00;21,00;3,00;5,00
2019-05-12;64,00;870,40;972,80;192,00;537,60;656,00;8,00;608,00;128,00;216,89;145,78;156,44;213,33;160,00;437,33;85,33;21,33;324,92;452,92;24,62;132,92;28,24;96,00;54,59;58,35;25,33;36,00;48,00;25,33;10,00;6,00;6,00;15,00;26,00;4,00;6,00
2019-05-19;79,00;908,50;1000,67;197,50;618,83;829,50;9,88;513,50;158,00;226,23;129,27;179,55;233,41;169,29;485,29;90,29;33,86;335,75;414,75;39,50;133,31;27,56;99,21;49,60;62,47;25,02;40,82;47,40;15,80;11,00;3,00;3,00;11,00;34,00;4,00;2,00
2019-05-26;77,00;1047,20;1185,80;231,00;708,40;770,00;9,63;519,75;154,00;238,00;164,50;161,00;252,00;220,00;484,00;110,00;33,00;346,50;428,31;33,69;125,13;30,05;127,71;78,88;80,76;19,91;39,83;57,09;34,52;10,00;12,00;6,00;8,00;41,00;1,00;5,00
2019-06-02;84,00;980,00;1120,00;224,00;630,00;621,60;8,40;436,80;134,40;238,00;133,00;175,00;182,00;178,50;756,00;84,00;21,00;331,06;420,00;29,65;133,41;29,87;104,53;69,07;52,27;22,67;38,67;56,00;21,33;10,00;6,00;5,00;7,00;20,00;0,50;5,00
2019-06-09;78,00;1076,40;1201,20;218,40;686,40;721,50;9,75;448,50;156,00;219,82;124,09;184,36;205,64;167,14;479,14;89,14;22,29;331,50;404,63;34,13;151,13;29,71;100,29;66,86;72,43;25,12;40,98;59,49;17,19;7,00;4,00;4,00;14,00;31,00;1,00;3,00
2019-06-16;70,00;1022,00;1176,00;224,00;714,00;630,00;8,75;437,50;122,50;238,00;119,00;154,00;238,00;175,00;501,67;105,00;11,67;355,00;445,00;25,00;145,00;33,16;103,16;66,32;77,37;21,13;42,26;52,83;19,81;9,00;4,00;5,00;10,00;42,00;3,00;4,00
2019-06-23;76,00;1200,80;1307,20;258,40;820,80;722,00;9,50;513,00;152,00;246,10;119,43;159,24;285,90;162,86;466,86;86,86;10,86;365,75;394,25;28,50;142,50;31,51;114,93;63,02;68,59;26,67;41,33;56,00;26,67;8,00;8,00;4,00;12,00;38,00;2,00;4,00
2019-06-30;70,00;952,00;1092,00;238,00;658,00;595,00;8,75;402,50;122,50;203,00;119,00;136,50;227,50;151,67;455,00;93,33;11,67;350,00;385,00;40,00;135,00;35,00;93,95;53,42;62,63;18,49;36,98;62,08;21,13;9,00;6,00;4,00;10,00;23,00;3,00;7,00
