Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;80,00;4,27;103,47;59,73;18,13;26,00
2019-01-13;69,00;7,43;71,12;24,42;29,72;28,00
2019-01-20;60,00;3,21;73,93;33,21;34,29;9,00
2019-01-27;54,00;5,29;72,00;43,41;5,29;16,00
2019-02-03;48,00;4,27;65,07;52,27;3,20;9,00
2019-02-10;45,00;7,50;70,71;35,36;4,29;15,00
2019-02-17;52,00;4,33;60,67;54,17;5,42;10,00
2019-02-24;45,00;5,36;54,64;30,00;0,00;11,00
2019-03-03;55,00;2,16;87,35;34,51;5,39;11,00
2019-03-10;56,00;9,51;77,13;42,26;3,17;9,00
2019-03-17;48,00;5,33;52,27;57,60;7,47;17,00
2019-03-24;75,00;7,50;52,50;26,79;4,29;12,00
2019-03-31;70,00;11,85;59,23;35,54;20,46;15,00
2019-04-07;46,00;2,14;46,00;43,86;32,09;14,00
2019-04-14;53,00;8,48;45,58;34,98;18,02;12,00
2019-04-21;59,00;6,44;76,16;33,25;13,95;16,00
2019-04-28;40,00;25,26;45,26;50,53;5,26;15,00
2019-05-05;40,00;0,00;60,54;29,19;8,65;18,00
2019-05-12;45,00;12,86;54,64;39,64;15,00;9,00
2019-05-19;75,00;10,71;88,93;41,79;22,50;20,00
2019-05-26;42,00;7,54;87,23;21,54;15,08;18,00
2019-06-02;42,00;5,38;67,85;28,00;8,62;16,00
2019-06-09;46,00;3,21;60,98;33,16;16,05;23,00
2019-06-16;61,00;3,21;55,65;55,65;20,33;18,00
2019-06-23;58,00;18,98;66,44;28,47;16,87;19,00
2019-06-30;66,00;8,52;62,81;23,42;27,68;12,00
2019-07-07;46,00;6,42;74,88;38,51;28,88;21,00
2019-07-14;72,00;4,30;77,37;53,73;18,27;14,00
2019-07-21;69,00;4,31;76,55;49,59;19,41;24,00
2019-07-28;43,00;4,30;73,10;45,15;31,18;33,00
2019-08-04;49,00;6,39;57,52;44,74;35,15;14,00
2019-08-11;66,00;6,39;64,94;73,45;42,58;29,00
2019-08-18;47,00;7,48;75,84;39,52;32,05;10,00
2019-08-25;51,00;5,31;53,13;41,44;28,69;8,00
2019-09-01;50,00;2,13;88,30;35,11;30,85;17,00
2019-09-08;68,00;5,31;106,25;36,13;24,44;15,00
2019-09-15;77,00;3,21;65,24;29,94;27,81;17,00
2019-09-22;52,00;5,31;75,35;52,00;13,80;14,00
2019-09-29;53,00;7,42;74,20;45,58;18,02;14,00
2019-10-06;66,00;12,77;67,06;41,52;27,68;7,00
2019-10-13;55,00;3,24;53,92;32,35;26,96;16,00
2019-10-20;73,00;32,21;57,97;37,57;26,84;12,00
2019-10-27;51,00;9,56;68,00;61,63;40,38;18,00
2019-11-03;64,00;8,53;69,33;59,73;24,53;9,00
2019-11-10;57,00;10,75;59,15;23,66;30,11;9,00
2019-11-17;48,00;18,13;58,67;34,13;23,47;14,00
2019-11-24;57,00;3,17;61,22;23,22;17,94;13,00
2019-12-01;62,00;7,48;71,62;16,03;21,38;14,00
2019-12-08;56,00;15,85;64,45;33,81;22,19;15,00
2019-12-15;56,00;6,34;69,74;40,15;28,53;15,00
2019-12-22;54,00;2,12;86,82;54,00;26,47;22,00
2019-12-29;56,00;7,54;85,08;56,00;31,23;22,00
2020-01-05;58,00;6,44;80,56;45,11;31,15;18,00
2020-01-12;53,00;8,48;64,66;47,70;21,20;19,00
2020-01-19;61,00;5,35;73,84;27,82;27,82;27,00
2020-01-26;50,00;11,70;101,06;61,70;36,17;27,00
2020-02-02;43,00;5,38;89,23;32,25;30,10;17,00
2020-02-09;64,00;6,40;57,60;30,93;21,33;18,00
2020-02-16;79,00;5,34;74,73;52,31;23,49;15,00
2020-02-23;63,00;3,20;73,68;45,92;27,76;15,00
2020-03-01;48,00;6,40;42,67;34,13;6,40;16,00
2020-03-08;80,00;3,24;70,27;29,19;17,30;10,00
2020-03-15;78,00;5,34;54,49;22,44;7,48;14,00
2020-03-22;51,00;7,60;41,23;29,30;7,60;6,00
2020-03-29;48,00;13,87;36,27;28,80;8,53;5,00
2020-04-05;50,00;15,22;28,26;33,70;6,52;13,00
2020-04-12;80,00;6,40;40,53;14,93;9,60;6,00
2020-04-19;58,00;15,82;24,25;14,76;8,44;6,00
2020-04-26;40,00;10,81;30,27;36,76;7,57;6,00
2020-05-03;48,00;26,18;26,18;20,73;6,55;9,00
2020-05-10;50,00;4,26;27,66;11,70;4,26;6,00
2020-05-17;38,00;7,39;30,61;27,44;9,50;0,00
2020-05-24;37,00;13,06;31,56;25,03;1,09;9,00
2020-05-31;46,00;4,28;33,16;28,88;9,63;6,00
2020-06-07;27,00;4,32;24,84;16,20;14,04;3,00
2020-06-14;38,00;17,94;27,44;12,67;10,56;4,00
2020-06-21;47,00;19,23;36,32;16,02;10,68;12,00
2020-06-28;40,00;7,57;48,65;15,14;10,81;3,00
2020-07-05;37,00;8,46;43,34;9,51;3,17;3,00
2020-07-12;22,00;2,10;31,43;19,90;9,43;10,00
2020-07-19;52,00;2,12;12,73;26,53;5,31;2,00
2020-07-26;46,00;8,56;24,60;13,91;5,35;7,00
2020-08-02;46,00;3,21;55,63;14,98;11,77;3,00
2020-08-09;45,00;9,64;87,86;17,14;6,43;3,00
2020-08-16;67,00;5,40;42,15;14,05;27,02;11,00
2020-08-23;67,00;9,73;51,87;21,61;7,56;8,00
2020-08-30;64,00;6,40;30,93;19,20;9,60;10,00
2020-09-06;51,00;0,00;46,66;8,68;11,94;7,00
2020-09-13;44,00;8,38;24,10;23,05;6,29;7,00
2020-09-20;36,00;3,18;20,12;22,24;16,94;3,00
2020-09-27;38,00;3,17;19,00;17,94;3,17;11,00
2020-10-04;64,00;7,47;23,47;20,27;12,80;5,00
2020-10-11;86,00;3,23;17,20;13,98;11,83;9,00
2020-10-18;80,00;7,47;34,13;22,40;10,67;7,00
2020-10-25;100,00;5,32;15,96;6,38;5,32;8,00
2020-11-01;44,00;2,15;46,15;9,66;27,90;3,00
