Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;48,00;372,00;66,00;12,00;24,00;32,00;37,00;18,00;29,00;15,00;9,00;10,00;12,00;13,00;21,00;5,00;55,00;5,58;10,05;94,88;5,58;57,60;3,60;2,40;2,40;45,00;15,00;30,00;1,00;43,32;25,76;39,80;7,02;5,00;10,00;8,00
2019-01-13;46,00;350,75;51,75;17,25;23,00;33,00;33,00;17,00;30,00;15,00;9,00;9,00;11,00;12,00;18,00;5,00;59,00;6,73;11,22;88,63;5,61;58,11;2,42;2,42;2,42;45,00;14,00;31,00;2,00;46,00;25,95;38,92;7,08;4,00;9,00;8,00
2019-01-20;45,00;405,00;57,86;12,86;25,71;30,00;41,00;20,00;27,00;14,00;8,00;10,00;11,00;11,00;18,00;4,00;52,00;5,63;10,13;88,88;5,63;55,95;3,65;2,43;1,22;48,00;16,00;32,00;2,00;40,26;28,42;37,89;7,11;5,00;8,00;8,00
2019-01-27;37,00;376,17;49,33;18,50;18,50;27,00;29,00;17,00;28,00;14,00;9,00;8,00;13,00;11,00;18,00;4,00;53,00;5,61;10,09;70,64;5,61;55,50;2,47;2,47;2,47;60,00;17,00;20,00;2,00;41,77;26,26;35,81;8,35;5,00;5,00;6,00
2019-02-03;36,00;378,00;54,00;12,00;24,00;29,00;28,00;21,00;29,00;15,00;10,00;10,00;13,00;12,00;18,00;4,00;55,00;5,63;10,13;66,38;5,63;57,60;3,60;2,40;2,40;44,00;15,00;20,00;2,00;42,97;25,55;39,48;6,97;4,00;7,00;7,00
2019-02-10;36,00;402,00;48,00;18,00;24,00;30,00;29,00;21,00;32,00;15,00;9,00;9,00;14,00;12,00;19,00;4,00;56,00;7,88;11,25;65,25;4,50;57,60;2,40;2,40;2,40;46,00;15,00;20,00;2,00;41,81;26,71;39,48;9,29;6,00;6,00;7,00
2019-02-17;36,00;408,00;54,00;18,00;24,00;31,00;29,00;21,00;32,00;15,00;9,00;9,00;14,00;14,00;20,00;3,00;56,00;7,88;11,25;72,00;4,50;64,80;2,40;2,40;2,40;48,00;15,00;17,00;2,00;44,13;29,03;39,48;9,29;5,00;6,00;7,00
2019-02-24;39,00;416,00;58,50;19,50;32,50;30,00;29,00;23,00;33,00;15,00;10,00;9,00;14,00;11,00;20,00;4,00;57,00;9,18;10,32;66,53;4,59;75,56;2,44;2,44;2,44;46,00;15,00;21,00;2,00;46,09;30,73;39,00;9,45;5,00;4,00;7,00
2019-03-03;37,00;400,83;49,33;18,50;24,67;31,00;29,00;20,00;36,00;13,00;9,00;10,00;14,00;11,00;19,00;4,00;68,00;5,61;11,21;77,36;4,48;67,83;2,47;2,47;2,47;53,00;17,00;19,00;2,00;42,97;35,81;42,97;8,35;5,00;6,00;6,00
2019-03-10;41,00;380,71;52,71;17,57;23,43;30,00;27,00;20,00;36,00;14,00;8,00;8,00;15,00;11,00;18,00;3,00;57,00;5,69;14,81;69,47;7,97;60,29;2,41;2,41;2,41;47,00;15,00;16,00;2,00;44,51;26,94;37,49;9,37;5,00;5,00;7,00
2019-03-17;36,00;432,00;48,00;18,00;24,00;30,00;26,00;20,00;33,00;13,00;9,00;8,00;15,00;10,00;18,00;3,00;57,00;6,75;10,13;67,50;6,75;69,60;2,40;3,60;2,40;47,00;14,00;16,00;2,00;39,48;27,87;37,16;8,13;5,00;6,00;6,00
2019-03-24;42,00;396,00;48,00;12,00;24,00;29,00;29,00;19,00;34,00;14,00;9,00;8,00;13,00;11,00;18,00;5,00;59,00;5,68;11,35;68,11;6,81;66,71;2,47;2,47;2,47;45,00;15,00;18,00;2,00;43,17;28,00;37,33;8,17;6,00;5,00;7,00
2019-03-31;54,00;438,00;54,00;18,00;30,00;35,00;39,00;21,00;35,00;15,00;10,00;13,00;16,00;11,00;20,00;4,00;61,00;7,71;12,12;104,69;7,71;73,20;3,60;2,40;1,20;53,00;15,00;37,00;2,00;42,26;30,52;52,83;10,57;5,00;9,00;7,00
2019-04-07;60,00;420,00;54,00;18,00;30,00;37,00;38,00;20,00;38,00;16,00;10,00;15,00;16,00;11,00;21,00;4,00;61,00;7,92;11,32;83,77;6,79;77,14;3,67;2,45;1,22;51,00;13,00;38,00;2,00;44,71;32,94;45,88;10,59;6,00;9,00;9,00
2019-04-14;67,00;609,09;48,73;18,27;30,45;35,00;46,00;18,00;33,00;15,00;10,00;14,00;14,00;10,00;17,00;4,00;58,00;7,82;10,05;82,63;6,70;74,18;3,59;2,39;2,39;54,00;15,00;37,00;2,00;47,02;32,91;54,07;10,58;9,00;11,00;8,00
2019-04-21;65,00;437,27;47,27;11,82;29,55;33,00;36,00;19,00;31,00;13,00;9,00;13,00;14,00;12,00;17,00;5,00;61,00;8,97;11,21;82,93;5,60;76,04;3,68;2,45;2,45;53,00;14,00;36,00;2,00;43,73;36,64;37,82;11,82;8,00;9,00;9,00
2019-04-28;61,00;408,70;48,80;12,20;30,50;32,00;37,00;21,00;32,00;14,00;9,00;11,00;14,00;12,00;17,00;5,00;57,00;7,91;10,17;74,56;5,65;78,08;3,66;3,66;2,44;49,00;13,00;40,00;2,00;43,40;30,50;39,88;8,21;6,00;11,00;9,00
2019-05-05;58,00;399,56;45,11;12,89;32,22;35,00;36,00;27,00;35,00;14,00;10,00;12,00;12,00;12,00;18,00;4,00;53,00;8,92;11,15;74,73;6,69;73,71;2,42;2,42;2,42;48,00;13,00;36,00;3,00;41,76;27,84;35,96;9,28;6,00;10,00;9,00
